front,back
Em quais anos durou a Primeira Guerra Mundial?,1914–1918
Qual evento desencadeou a Primeira Guerra Mundial?,Assassinato do Arquiduque Francisco Ferdinando
Onde o Arquiduque Francisco Ferdinando foi assassinado?,Sarajevo
Qual país o Arquiduque Francisco Ferdinando representava?,Áustria-Hungria
Quem assassinou o Arquiduque Francisco Ferdinando?,Gavrilo Princip
De qual aliança a Áustria-Hungria fazia parte?,Potências Centrais
Qual país declarou guerra à Sérvia em 1914?,Áustria-Hungria
Qual aliança incluía Grã-Bretanha, França e Rússia?,Potências Aliadas
O que eram as Potências Centrais?,"Alemanha, Áustria-Hungria, Império Otomano, Bulgária"
Qual país invadiu a Bélgica em 1914?,Alemanha
Por que a Alemanha invadiu a Bélgica?,Para executar o Plano Schlieffen
O que era o Plano Schlieffen?,Plano alemão para derrotar a França rapidamente
A neutralidade de qual país foi violada quando a Alemanha invadiu a Bélgica?,Bélgica
Por que a Grã-Bretanha entrou na Primeira Guerra Mundial?,Invasão alemã da Bélgica
Que tipo de guerra dominou a Frente Ocidental?,Guerra de trincheiras
O que era a Frente Ocidental?,Combates na França e Bélgica
O que era a Frente Oriental?,Combates entre Alemanha e Rússia
Qual arma causou mortes massivas na Primeira Guerra Mundial?,Metralhadora
Qual nova arma causou medo e ferimentos na Primeira Guerra Mundial?,Gás venenoso
Qual foi o primeiro gás venenoso amplamente utilizado?,Gás cloro
Que equipamento de proteção foi desenvolvido contra o gás?,Máscaras de gás
Para que os tanques foram usados pela primeira vez?,Quebrar impasses nas trincheiras
Qual batalha foi uma das mais sangrentas da Primeira Guerra Mundial?,Batalha do Somme
Em que ano foi a Batalha do Somme?,1916
Qual batalha simbolizou a guerra de atrito?,Batalha de Verdun
O que significa atrito na guerra?,Desgastar o inimigo
Qual império entrou em colapso após a Primeira Guerra Mundial?,Império Otomano
Qual império entrou em colapso após a Primeira Guerra Mundial na Europa Central?,Áustria-Hungria
Qual império entrou em colapso após a Primeira Guerra Mundial na Europa Oriental?,Império Russo
Qual revolução fez a Rússia sair da Primeira Guerra Mundial?,Revolução Bolchevique
Quem liderou a Revolução Bolchevique?,Vladimir Lenin
Qual tratado tirou a Rússia da Primeira Guerra Mundial?,Tratado de Brest-Litovsk
Em que ano os Estados Unidos entraram na Primeira Guerra Mundial?,1917
Qual evento ajudou a empurrar os EUA para a Primeira Guerra Mundial?,Telegrama Zimmermann
O que era o Telegrama Zimmermann?,Proposta alemã ao México
Qual país a Alemanha encorajou o México a atacar?,Estados Unidos
O que era a guerra submarina irrestrita?,Atacar navios sem aviso
Quais navios os submarinos alemães afundavam?,Navios mercantes e de passageiros
O que era o Lusitânia?,Navio de passageiros britânico afundado pela Alemanha
Em que ano o Lusitânia foi afundado?,1915
Por que o afundamento do Lusitânia foi significativo?,Civis americanos foram mortos
Quem era o presidente dos EUA durante a Primeira Guerra Mundial?,Woodrow Wilson
O que eram os Quatorze Pontos de Wilson?,Princípios de paz após a Primeira Guerra Mundial
Qual era uma ideia-chave dos Quatorze Pontos?,Autodeterminação
Qual organização Wilson propôs?,Liga das Nações
Qual armistício encerrou os combates na Primeira Guerra Mundial?,Armistício de 11 de novembro de 1918
A que horas o armistício entrou em vigor?,11h
Qual tratado encerrou formalmente a Primeira Guerra Mundial?,Tratado de Versalhes
Em que ano o Tratado de Versalhes foi assinado?,1919
Qual país foi culpado pela Primeira Guerra Mundial no tratado?,Alemanha
Qual cláusula culpou a Alemanha pela guerra?,Cláusula de Culpa da Guerra
Quais penalidades a Alemanha enfrentou?,Reparações, perda de território, limites militares
Qual território a Alemanha perdeu para a França?,Alsácia-Lorena
O que aconteceu com as colônias alemãs?,Tomadas pelas potências aliadas
Como os alemães viam o Tratado de Versalhes?,Severo e humilhante
Quais novos países foram criados após a Primeira Guerra Mundial?,Polônia, Tchecoslováquia, Iugoslávia
O que era o nacionalismo?,Forte orgulho da própria nação
Como o nacionalismo contribuiu para a Primeira Guerra Mundial?,Aumentou tensões e rivalidades
O que era o militarismo?,Construção de forças armadas
O que era o imperialismo?,Competição por colônias
Qual sistema de alianças aumentou as tensões?,Alianças emaranhadas
Qual acrônimo explica as causas da Primeira Guerra Mundial?,M.A.I.N.
O que significa M em MAIN?,Militarismo
O que significa A em MAIN?,Alianças
O que significa I em MAIN?,Imperialismo
O que significa N em MAIN?,Nacionalismo
Como era a vida nas trincheiras?,Lama, doenças, ratos e bombardeios
O que era choque de guerra?,Trauma psicológico do combate
Quais avanços médicos ocorreram na Primeira Guerra Mundial?,Cirurgia plástica, transfusões de sangue
Qual papel as mulheres desempenharam na Primeira Guerra Mundial?,Fábricas, enfermeiras e funções de apoio
Como a Primeira Guerra Mundial mudou a guerra?,Introduziu a guerra industrial moderna
Quantos soldados morreram na Primeira Guerra Mundial?,Cerca de 9 milhões
Quantos civis morreram na Primeira Guerra Mundial?,Cerca de 7 milhões
Por que a Primeira Guerra Mundial é chamada de guerra total?,Sociedades inteiras foram mobilizadas
Para que a propaganda foi usada?,Apoiar o esforço de guerra
O que acabou com a monarquia alemã?,Revolução Alemã de 1918
Qual era o objetivo da Liga das Nações?,Prevenir guerras futuras
Por que a Liga das Nações falhou?,Falta de aplicação e ausência dos EUA
Como a Primeira Guerra Mundial contribuiu para a Segunda Guerra Mundial?,Tensões não resolvidas e ressentimento
