"front","back"
"Which bridge, completed in 1937, spans the Golden Gate strait in San Francisco?","Golden Gate Bridge — a 2,737m suspension bridge designed by Joseph Strauss, iconic for its International Orange color"
"What is the longest bridge in the world by total length?","Danyang–Kunshan Grand Bridge in China (164.8 km), part of the Beijing–Shanghai High-Speed Railway, completed in 2010"
"Which medieval bridge in Prague, lined with 30 Baroque statues, crosses the Vltava River?","Charles Bridge (Karlův most), built between 1357 and 1402 under King Charles IV"
"What famous bridge in Sydney, Australia is nicknamed 'The Coathanger'?","Sydney Harbour Bridge — a steel arch bridge opened in 1932, the world's largest steel arch bridge by deck width"
"Which bridge in London can be raised to allow ships to pass through?","Tower Bridge — a combined bascule and suspension bridge opened in 1894, often confused with London Bridge"
"What ancient Roman aqueduct bridge in southern France has three tiers of arches?","Pont du Gard — built in the 1st century AD near Nîmes, standing 49m tall, a UNESCO World Heritage Site"
"Which suspension bridge in New York, completed in 1883, was the first steel-wire suspension bridge?","Brooklyn Bridge — designed by John Augustus Roebling, connecting Manhattan and Brooklyn over the East River"
"What bridge in Venice, Italy features shops along its entire span?","Ponte Vecchio in Florence (not Venice!) — actually, the Rialto Bridge is Venice's most famous. The Rialto Bridge, built 1588–1591, was Venice's first stone bridge across the Grand Canal"
"Which Japanese bridge, rebuilt every 20 years, leads to the Ise Grand Shrine?","Uji Bridge (Ujibashi) at Ise Grand Shrine — a 101.8m wooden bridge symbolizing the transition from the everyday to the sacred"
"What is the highest bridge in the world by deck height?","Beipanjiang Bridge in China — 565m above the Beipan River in Guizhou province, opened in 2016"
"Which covered bridge design uses a lattice truss pattern and is common in New England?","Town lattice truss — patented by Ithiel Town in 1820, using diagonal planks in a crisscross pattern"
"What famous bridge in Istanbul connects Europe and Asia?","The Bosphorus Bridge (now 15 July Martyrs Bridge), opened in 1973, was the first bridge across the Bosphorus strait"
"Which bridge in Mostar, Bosnia was destroyed in 1993 and rebuilt in 2004?","Stari Most (Old Bridge) — a 16th-century Ottoman bridge over the Neretva River, a UNESCO World Heritage Site"
"What type of bridge uses cables attached directly to towers to support the deck?","Cable-stayed bridge — differs from suspension bridges where cables hang from a main cable between towers"
"Which bridge in San Francisco Bay replaced a section that collapsed in the 1989 earthquake?","The eastern span of the San Francisco–Oakland Bay Bridge, replaced with a new self-anchored suspension span opened in 2013"
"What famous natural bridge in Virginia, USA was once owned by Thomas Jefferson?","Natural Bridge — a 66m tall limestone arch carved by Cedar Creek, purchased by Jefferson in 1774"
"Which bridge in Portugal is named after a date and crosses the Tagus River in Lisbon?","Ponte 25 de Abril — named after the Carnation Revolution of April 25, 1974; opened in 1966, it resembles the Golden Gate Bridge"
"What is a viaduct?","A long bridge-like structure carrying a road or railway across a valley, consisting of multiple spans supported by arches or piers"
"Which French viaduct, designed by Norman Foster, is the tallest bridge structure in the world?","Millau Viaduct — 343m tall (taller than the Eiffel Tower), crossing the Tarn River valley in southern France, opened in 2004"
"What famous bridge in Florence, Italy has shops built along both sides?","Ponte Vecchio — a medieval stone arch bridge over the Arno River, famous for its jewelry shops; rebuilt after a 1345 flood"
"Which bridge connects Denmark and Sweden across the Øresund strait?","Øresund Bridge — a combined rail and road bridge-tunnel opened in 2000, 7.8 km long, connecting Copenhagen and Malmö"
"What type of bridge pivots or lifts to allow boat traffic to pass?","A movable bridge — types include bascule (drawbridge), swing, vertical-lift, and retractable bridges"
"Which iconic bridge in the Florida Keys was built by Henry Flagler's railroad?","Seven Mile Bridge — the original was part of the Overseas Railroad (1912); a modern highway bridge runs parallel (1982)"
"What ancient bridge technique uses a semicircular arch made of wedge-shaped stones?","Roman arch bridge construction — using voussoirs (wedge stones) with a keystone at the top, allowing bridges to span wider gaps than beams"
"Which bridge in India, a living root bridge, is grown from tree roots by the Khasi people?","The living root bridges of Meghalaya — made from the aerial roots of Ficus elastica trees, some over 500 years old"
"What bridge in China, built during the Sui Dynasty, is the world's oldest open-spandrel arch bridge?","Anji Bridge (Zhaozhou Bridge) — built around 605 AD by Li Chun, spanning 50.82m with a remarkably flat arch"
"Which famous bridge crosses the River Kwai in Thailand?","The Bridge over the River Kwai in Kanchanaburi — part of the Burma Railway built by POWs during WWII (1943)"
"What engineering innovation allows the Akashi Kaikyo Bridge to withstand earthquakes and typhoons?","A pendulum system in each tower and a tuned mass damper system; it's the world's longest suspension bridge at 3,911m main span (opened 1998)"
"Which pedestrian bridge in London wobbles so much on opening day it was temporarily closed?","The Millennium Bridge — opened June 2000, closed after 2 days due to lateral sway, reopened in 2002 with dampers installed"
"What bridge in Argentina and Uruguay crosses the Río de la Plata estuary?","There is no bridge across the Río de la Plata; a proposed Colonia–Buenos Aires bridge has been discussed but never built. The estuary is crossed by ferry."
"Which US bridge disaster in 1940 became a famous example of resonance in engineering?","The Tacoma Narrows Bridge collapse ('Galloping Gertie') — the bridge oscillated in wind and collapsed on November 7, 1940, in Washington state"
