"front","back"
"¿Qué fue la Guerra Fría?","Conflicto ideológico entre EE.UU. y URSS sin guerra directa"
"¿Cuándo comenzó la Guerra Fría?","1947"
"¿Cuándo terminó la Guerra Fría?","1991 con la caída de la Unión Soviética"
"¿Por qué se llamó Guerra Fría?","No hubo conflicto militar directo entre superpotencias"
"¿Cuáles eran las dos ideologías opuestas?","Capitalismo y comunismo"
"¿Quién lideraba el bloque occidental?","Estados Unidos"
"¿Quién lideraba el bloque oriental?","Unión Soviética"
"¿Qué era el Telón de Acero?","División entre Europa Occidental y Oriental"
"¿Quién acuñó el término Telón de Acero?","Winston Churchill en 1946"
"¿Qué era la Doctrina Truman?","Política de EE.UU. para contener el comunismo"
"¿Qué era la contención?","Estrategia para prevenir la expansión del comunismo"
"¿Qué fue el Plan Marshall?","Programa de ayuda de EE.UU. para reconstruir Europa Occidental"
"¿Cuándo se implementó el Plan Marshall?","1948"
"¿Qué era la OTAN?","Organización del Tratado del Atlántico Norte, alianza militar"
"¿Cuándo se formó la OTAN?","1949"
"¿Qué era el Pacto de Varsovia?","Alianza militar soviética con Europa del Este"
"¿Cuándo se formó el Pacto de Varsovia?","1955"
"¿Qué fue el Bloqueo de Berlín?","Intento soviético de aislar Berlín Occidental"
"¿Cuándo fue el Bloqueo de Berlín?","1948 a 1949"
"¿Qué fue el Puente Aéreo de Berlín?","Respuesta occidental transportando suministros a Berlín por avión"
"¿Qué era el Muro de Berlín?","Muro dividiendo Berlín Oriental y Occidental"
"¿Cuándo se construyó el Muro de Berlín?","1961"
"¿Cuándo cayó el Muro de Berlín?","1989"
"¿Qué fue la Guerra de Corea?","Conflicto entre Corea del Norte y Corea del Sur"
"¿Cuándo fue la Guerra de Corea?","1950 a 1953"
"¿Cómo terminó la Guerra de Corea?","Armisticio con Corea todavía dividida"
"¿Qué paralelo divide Corea?","Paralelo 38"
"¿Qué fue la Guerra de Vietnam?","Participación de EE.UU. contra Vietnam del Norte comunista"
"¿Cuándo alcanzó su punto máximo la participación de EE.UU. en Vietnam?","Años 1960 a 1975"
"¿Cómo terminó la Guerra de Vietnam?","Victoria comunista en 1975"
"¿Qué era la teoría del dominó?","Creencia de que si un país caía en el comunismo, otros seguirían"
"¿Qué fue la Revolución Cubana?","Derrocamiento de Batista por Castro en 1959"
"¿Quién fue Fidel Castro?","Líder comunista de Cuba"
"¿Qué fue la invasión de Bahía de Cochinos?","Intento fallido de EE.UU. de derrocar a Castro en 1961"
"¿Qué fue la Crisis de los Misiles de Cuba?","Confrontación sobre misiles soviéticos en Cuba"
"¿Cuándo fue la Crisis de los Misiles de Cuba?","Octubre de 1962"
"¿Quién era el presidente de EE.UU. durante la crisis?","John F. Kennedy"
"¿Quién era el líder soviético durante la crisis?","Nikita Khrushchev"
"¿Qué tan cerca estuvo el mundo de una guerra nuclear?","El punto más cercano durante la Crisis de los Misiles de Cuba"
"¿Qué era MAD?","Destrucción Mutua Asegurada"
"¿Qué previno MAD?","Guerra nuclear directa entre superpotencias"
"¿Qué era la carrera armamentista?","Competencia para construir más armas nucleares"
"¿Qué era la carrera espacial?","Competencia por la supremacía en exploración espacial"
"¿Qué fue el Sputnik?","Primer satélite artificial lanzado por la URSS"
"¿Cuándo se lanzó el Sputnik?","1957"
"¿Quién fue el primer humano en el espacio?","Yuri Gagarin en 1961"
"¿Quién fue el primer estadounidense en el espacio?","Alan Shepard en 1961"
"¿Cuándo los humanos pisaron la Luna por primera vez?","1969"
"¿Quién caminó primero en la Luna?","Neil Armstrong"
