front,back
O que é Estoicismo?,"Uma filosofia grega antiga focada em virtude, razão e viver de acordo com a natureza"
Quem fundou o Estoicismo?,Zenão de Cítio
Qual é o bem supremo no Estoicismo?,Virtude
Quais são as quatro virtudes cardeais estoicas?,Sabedoria, Coragem, Justiça, Temperança
O que o Estoicismo ensina sobre emoções?,Emoções devem ser compreendidas e guiadas pela razão
Qual é a visão estoica da felicidade?,Felicidade vem de viver virtuosamente, não de coisas externas
O que são externos no Estoicismo?,Coisas fora do nosso controle como riqueza, fama e saúde
O que é a Dicotomia do Controle?,A ideia de que algumas coisas estão sob nosso controle e outras não
O que está sob nosso controle segundo os Estoicos?,Nossos julgamentos, escolhas e ações
O que não está sob nosso controle segundo os Estoicos?,Eventos, ações de outras pessoas e resultados
Quem foi Epicteto?,Um ex-escravo que se tornou um importante filósofo estoico
Qual é a obra mais famosa de Epicteto?,O Enchirídion (Manual)
Quem foi Marco Aurélio?,Um imperador romano e filósofo estoico
Que livro Marco Aurélio escreveu?,Meditações
Quem foi Sêneca?,Um filósofo estoico romano, estadista e dramaturgo
Com o que a física estoica se preocupa?,A ordem racional do universo
O que é Logos no Estoicismo?,O princípio racional que governa o universo
O que é viver de acordo com a natureza?,Viver em harmonia com a razão e a ordem natural
Em que a ética estoica é focada?,Como viver uma vida virtuosa
Para que a lógica estoica é usada?,Raciocínio correto e evitar julgamentos falsos
O que é apatheia?,Liberdade de paixões destrutivas
O que é uma paixão no Estoicismo?,Uma emoção excessiva ou irracional
O que é indiferente preferido?,Algo não necessário para virtude mas naturalmente desejado
Dê exemplos de indiferentes preferidos,Saúde, riqueza, amizade
O que são indiferentes não preferidos?,Coisas naturalmente evitadas mas moralmente neutras
Qual é a visão estoica da morte?,A morte não é boa nem má
Como os Estoicos veem a dor?,A dor é externa e não é mal
O que é visualização negativa?,Imaginar perdas para apreciar o que você tem
O que é desconforto voluntário?,Praticar dificuldades para construir resiliência
Qual é a resposta estoica ao insulto?,Examinar o julgamento em vez de reagir emocionalmente
O que é destino no Estoicismo?,Eventos determinados pela ordem racional do universo
O que é amor fati?,Amor ao destino
O que é determinismo estoico?,A crença de que eventos acontecem de acordo com causa e efeito
Como os Estoicos veem o livre arbítrio?,A liberdade existe em nossos julgamentos e respostas
Qual é o papel da razão no Estoicismo?,A razão guia a vida ética
O que é oikeiosis?,O processo de reconhecer o que é apropriado para si mesmo
O que é cosmopolitismo estoico?,A ideia de que todos os humanos pertencem a uma comunidade
Como um Estoico deve tratar os outros?,Com justiça, racionalidade e compaixão
O que é humildade estoica?,Reconhecer as limitações humanas
O que é coragem estoica?,Agir corretamente apesar do medo
O que é temperança estoica?,Moderação e autocontrole
O que é justiça estoica?,Agir justamente pelo bem comum
O que é sabedoria estoica?,Saber o que é bom, mau e indiferente
Qual é a visão estoica sobre riqueza?,Riqueza é indiferente, não é fonte de virtude
Qual é a visão estoica sobre fama?,Fama está fora do nosso controle e é indiferente
Qual é a visão estoica sobre prazer?,Prazer não é o bem supremo
Qual é a pessoa ideal estoica?,O sábio
O que é um sábio estoico?,Uma pessoa perfeitamente racional e virtuosa
Os Estoicos acreditavam que sábios existem?,Eles acreditavam que sábios são extremamente raros
O que é progresso moral no Estoicismo?,Melhoria gradual em direção à virtude
O que é resiliência estoica?,Manter a virtude sob adversidade
O que é a disciplina do desejo estoica?,Alinhar desejos com o que está sob nosso controle
O que é a disciplina da ação estoica?,Agir ética e socialmente
O que é a disciplina do assentimento estoica?,Controlar julgamentos e crenças
O que é assentimento estoico?,Concordância com uma impressão
O que são impressões?,Percepções ou pensamentos iniciais
Por que as impressões são importantes?,Elas influenciam emoções e ações
O que é tranquilidade estoica?,Calma interior vinda da vida racional
O que é simplicidade estoica?,Valorizar o que é necessário
O que é aceitação estoica?,Aceitar o que não pode ser mudado
O que é responsabilidade estoica?,Assumir as próprias escolhas
O que é autodomínio estoico?,Controle sobre impulsos e desejos
O que é paciência estoica?,Suportar dificuldades sem reclamar
O que é gratidão estoica?,Apreciação sem apego
O que é atenção plena estoica?,Consciência de pensamentos e julgamentos
O que é prática estoica?,Exercícios diários para treinar a mente
O que é diário no Estoicismo?,Refletir sobre ações e pensamentos
O que é reflexão matinal?,Preparar-se para os desafios à frente
O que é reflexão noturna?,Revisar as ações do dia
O que é amizade estoica?,Encorajamento mútuo em direção à virtude
O que é liderança estoica?,Liderar pela razão e pelo exemplo
O que é legado estoico?,Viver virtuosamente independentemente de reconhecimento
Qual é o objetivo final estoico?,Uma vida de virtude e liberdade interior
