"front","back"
"¿Qué fue la Revolución Industrial?","Un período de gran industrialización y cambio tecnológico"
"¿Cuándo comenzó la Revolución Industrial?","Alrededor de 1760"
"¿Cuándo terminó la Revolución Industrial?","Alrededor de 1840"
"¿Dónde comenzó la Revolución Industrial?","Gran Bretaña"
"¿Qué fue la Segunda Revolución Industrial?","Una fase de rápida industrialización de 1870 a 1914"
"¿Qué alimentó la Primera Revolución Industrial?","Energía hidráulica y vapor"
"¿Qué alimentó la Segunda Revolución Industrial?","Electricidad y petróleo"
"¿Quién inventó la spinning jenny?","James Hargreaves"
"¿En qué año se inventó la spinning jenny?","1764"
"¿Qué hacía la spinning jenny?","Permitía que un trabajador hilara múltiples hilos a la vez"
"¿Quién inventó la water frame?","Richard Arkwright"
"¿Qué hacía la water frame?","Usaba energía hidráulica para hilar hilo de algodón"
"¿Quién inventó la spinning mule?","Samuel Crompton"
"¿Qué combinaba la spinning mule?","Características de la spinning jenny y la water frame"
"¿Quién inventó el telar mecánico?","Edmund Cartwright"
"¿Qué hacía el telar mecánico?","Mecanizó el tejido de telas"
"¿Quién inventó la máquina de vapor?","James Watt la mejoró en 1769"
"¿Qué añadió James Watt a la máquina de vapor?","Un condensador separado para eficiencia"
"¿Quién inventó la desmotadora de algodón?","Eli Whitney"
"¿En qué año se inventó la desmotadora de algodón?","1793"
"¿Qué hacía la desmotadora de algodón?","Separaba fibras de algodón de las semillas rápidamente"
"¿Quién inventó la locomotora?","George Stephenson"
"¿Cuál fue el primer ferrocarril público?","Ferrocarril Stockton y Darlington en 1825"
"¿Qué era el Rocket?","La famosa locomotora de vapor de George Stephenson"
"¿Quién inventó el telégrafo?","Samuel Morse"
"¿En qué año se patentó el telégrafo?","1837"
"¿Qué es el código Morse?","Un sistema de puntos y rayas para comunicación telegráfica"
"¿Quién inventó el teléfono?","Alexander Graham Bell"
"¿En qué año se inventó el teléfono?","1876"
"¿Quién inventó la bombilla?","Thomas Edison"
"¿En qué año se inventó la bombilla práctica?","1879"
"¿Qué era el sistema de fábrica?","Producción centralizada usando máquinas y trabajadores"
"¿Qué reemplazó al sistema doméstico?","El sistema de fábrica"
"¿Qué era el sistema doméstico?","Producción de bienes en hogares a mano"
"¿Quiénes eran los luditas?","Trabajadores que destruían máquinas en protesta"
"¿Por qué protestaban los luditas?","Miedo a perder empleos ante las máquinas"
"¿Qué era la urbanización?","Movimiento de personas de áreas rurales a ciudades"
"¿Qué ciudad se convirtió en el centro de manufactura textil?","Manchester"
"¿Qué recursos naturales ayudaron a Gran Bretaña a industrializarse?","Carbón y mineral de hierro"
"¿Por qué era importante el carbón?","Combustible para máquinas de vapor y producción de hierro"
"¿Qué es la fundición?","Extraer metal de mineral usando calor"
"¿Quién desarrolló el proceso Bessemer?","Henry Bessemer"
"¿Qué hacía el proceso Bessemer?","Producía acero en masa de forma barata"
"¿Qué reemplazó al hierro como principal metal industrial?","Acero"
"¿Para qué se usaban los canales?","Transportar mercancías pesadas como carbón"
"¿Quién construyó el Canal Bridgewater?","James Brindley para el Duque de Bridgewater"
"¿Cuál era la importancia de los ferrocarriles?","Transporte más rápido de mercancías y personas"
"¿Cómo eran las condiciones de trabajo en las primeras fábricas?","Largas horas y condiciones peligrosas"
"¿Cuántas horas trabajaban típicamente los trabajadores de fábrica?","12 a 16 horas por día"
"¿Los niños trabajaban en fábricas?","Sí, muchos niños trabajaban en fábricas"
"¿Qué eran los asilos de pobres?","Instituciones para pobres que no podían mantenerse"
"¿Qué era el trabajo infantil?","Empleo de niños en fábricas y minas"
"¿Qué ley limitó el trabajo infantil en Gran Bretaña?","Ley de Fábricas de 1833"
"¿Qué hizo la Ley de Fábricas de 1833?","Limitó las horas de trabajo para niños"
"¿Cuál era la edad mínima para trabajo en fábrica después de 1833?","Nueve años"
"¿Quiénes eran los cartistas?","Un movimiento que exigía reforma política para trabajadores"
"¿Qué exigían los cartistas?","Sufragio masculino universal y voto secreto"
"¿Qué eran los sindicatos?","Organizaciones de trabajadores para mejorar condiciones"
"¿Los primeros sindicatos eran legales?","No, frecuentemente eran ilegales"
"¿Qué ley legalizó los sindicatos en Gran Bretaña?","Ley Sindical de 1871"
"¿Qué era la clase media?","Una nueva clase social de propietarios de fábricas y profesionales"
"¿Cómo afectó la Revolución Industrial a la población?","La población creció rápidamente"
"¿Qué causó el crecimiento poblacional?","Mejor suministro de alimentos y avances médicos"
"¿Qué eran los barrios marginales?","Viviendas urbanas superpobladas e insalubres"
"¿Qué enfermedades se propagaron en las ciudades industriales?","Cólera y tifus"
"¿Qué era la economía de laissez-faire?","El gobierno no debe interferir en los negocios"
"¿Quién promovió la economía de laissez-faire?","Adam Smith"
"¿Qué libro escribió Adam Smith?","La Riqueza de las Naciones"
"¿Qué es el capitalismo?","Un sistema económico basado en propiedad privada y ganancia"
"¿Qué es el socialismo?","Un sistema económico que defiende la propiedad compartida"
"¿Quién escribió El Manifiesto Comunista?","Karl Marx y Friedrich Engels"
"¿Qué criticaba Karl Marx?","Explotación de trabajadores bajo el capitalismo"
"¿Qué fue el movimiento de cercamientos?","Consolidación de tierras comunes en granjas privadas"
"¿Cómo afectó el cercamiento a los agricultores?","Muchos perdieron acceso a la tierra y se mudaron a ciudades"
"¿Qué es la producción en masa?","Fabricación de grandes cantidades de bienes estandarizados"
"¿Qué son las piezas intercambiables?","Componentes idénticos que pueden reemplazarse entre sí"
"¿Quién fue pionero en las piezas intercambiables?","Eli Whitney"
"¿Qué industria inició la Revolución Industrial?","Industria textil"
"¿Qué materia prima era crucial para los textiles?","Algodón"
"¿De dónde obtenía Gran Bretaña su algodón?","Principalmente del sur americano"
"¿Cómo se extendió la Revolución Industrial?","De Gran Bretaña a Europa y América del Norte"
"¿Qué país se industrializó después de Gran Bretaña?","Bélgica"
"¿Cuándo se industrializó EE.UU. rápidamente?","Después de la Guerra Civil en la década de 1860"
"¿Qué fue la Edad Dorada?","Período de rápida industrialización de EE.UU. de 1870 a 1900"
"¿Quiénes eran los barones ladrones?","Industriales ricos como Carnegie y Rockefeller"
"¿Qué industria dominó Andrew Carnegie?","Industria del acero"
"¿Qué industria dominó John D. Rockefeller?","Industria del petróleo"
"¿Qué es un monopolio?","Control de una industria entera por una empresa"
"¿Qué eran las líneas de montaje?","Método de producción donde trabajadores añaden piezas en secuencia"
"¿Quién popularizó la línea de montaje?","Henry Ford"
"¿Qué fabricaba Henry Ford?","Automóviles"
"¿Qué era el Modelo T?","El auto producido en masa y accesible de Ford"
"¿Cómo afectó la industrialización al medio ambiente?","Contaminación y agotamiento de recursos"
"¿Qué es el smog?","Contaminación del aire causada por humo y niebla"
"¿Cómo cambió la Revolución Industrial la guerra?","Nuevas armas y producción en masa de armamento"
"¿Qué efecto a largo plazo tuvo la industrialización?","Creó economías industriales modernas"
