question,answer
Quem desenvolveu a teoria da relatividade geral?,Albert Einstein
Quem é considerado o pai da física moderna e descobriu as leis do movimento?,Isaac Newton
Quem descobriu a penicilina?,Alexander Fleming
Quem propôs a teoria da evolução por seleção natural?,Charles Darwin
Quem descobriu a radioatividade e ganhou dois Prêmios Nobel em ciências diferentes?,Marie Curie
Quem é creditado pela invenção do telefone?,Alexander Graham Bell
Quem desenvolveu a vacina contra a poliomielite?,Jonas Salk
Quem formulou o modelo heliocêntrico do sistema solar?,Nicolau Copérnico
Quem descobriu a estrutura do DNA junto com Francis Crick?,James Watson
Quem inventou a primeira lâmpada elétrica prática e o fonógrafo?,Thomas Edison
Quem é conhecido por suas leis do movimento planetário?,Johannes Kepler
Quem descobriu o elétron?,J.J. Thomson
Quem desenvolveu a primeira vacina bem-sucedida (contra varíola)?,Edward Jenner
Quem é o pai da química moderna e nomeou o oxigênio?,Antoine Lavoisier
Quem descobriu os raios X?,Wilhelm Röntgen
Quem propôs a teoria do Big Bang?,Georges Lemaître
Quem inventou a World Wide Web?,Tim Berners-Lee
Quem descobriu o nêutron?,James Chadwick
Quem formulou o princípio da incerteza na mecânica quântica?,Werner Heisenberg
Quem é conhecido pela equação de onda na mecânica quântica?,Erwin Schrödinger
Quem descobriu a carga do elétron com o experimento da gota de óleo?,Robert Millikan
Quem inventou a tabela periódica dos elementos?,Dmitri Mendeleev
Quem é o pai da microbiologia e desenvolveu a pasteurização?,Louis Pasteur
Quem descobriu a indução eletromagnética?,Michael Faraday
Quem propôs o modelo planetário do átomo?,Niels Bohr
Quem descobriu a circulação do sangue no corpo humano?,William Harvey
Quem inventou a dinamite e estabeleceu os Prêmios Nobel?,Alfred Nobel
Quem é conhecido por contribuições à ciência da computação e o teste de Turing?,Alan Turing
Quem descobriu a radiação infravermelha?,William Herschel
Quem desenvolveu o sistema de classificação para organismos vivos?,Carl Linnaeus
