"front","back"
"¿Quién pronunció el discurso 'Tengo un Sueño' en 1963?","Martin Luther King Jr., durante la Marcha sobre Washington por el Trabajo y la Libertad"
"¿Cuál fue la frase inicial del Discurso de Gettysburg de Lincoln (1863)?","'Hace ochenta y siete años nuestros padres fundaron en este continente una nueva nación, concebida en la Libertad'"
"¿Quién dijo 'Lucharemos en las playas' en 1940?","Winston Churchill, dirigiéndose a la Cámara de los Comunes tras la evacuación de Dunkerque"
"¿Qué discurso dio JFK el 20 de enero de 1961?","Su discurso inaugural, famoso por 'No preguntes qué puede hacer tu país por ti — pregunta qué puedes hacer tú por tu país'"
"¿Quién pronunció el discurso 'Estoy Preparado para Morir' en 1964?","Nelson Mandela, en el Juicio de Rivonia en Sudáfrica"
"¿Qué dijo FDR sobre el miedo en su discurso inaugural de 1933?","'Lo único que debemos temer es al miedo mismo'"
"¿Quién dio el discurso 'Derriben Este Muro' en 1987?","Ronald Reagan, en la Puerta de Brandemburgo en Berlín Occidental"
"¿Qué fue el Sermón de la Montaña?","Una colección de enseñanzas de Jesucristo, incluyendo las Bienaventuranzas, registrada en el Evangelio de Mateo"
"¿Quién dijo '¡Dadme libertad o dadme la muerte!' en 1775?","Patrick Henry, en la Segunda Convención de Virginia"
"¿Qué famoso discurso dio Sojourner Truth en 1851?","'¿Acaso No Soy una Mujer?', en la Convención de Mujeres en Akron, Ohio"
"¿Quién pronunció el discurso 'La Papeleta o la Bala' en 1964?","Malcolm X, en la Iglesia Metodista Cory en Cleveland, Ohio"
"¿Cuál fue el mensaje principal del discurso 'Libertad o Muerte' de Emmeline Pankhurst (1913)?","Que el sufragio femenino valía la pena luchar, incluso al costo de la propia vida"
"¿Quién dio el discurso 'Sangre, Esfuerzo, Lágrimas y Sudor' en 1940?","Winston Churchill, en su primer discurso como Primer Ministro ante la Cámara de los Comunes"
"¿Qué defendió Mahatma Gandhi en su discurso 'Abandonen la India' de 1942?","El fin inmediato del dominio británico en la India mediante la desobediencia civil no violenta"
"¿Quién dijo 'Un pequeño paso para el hombre, un gran salto para la humanidad' en 1969?","Neil Armstrong, al pisar la superficie de la Luna"
"¿Cuál fue el tema principal del discurso 'No Lucharé Más Para Siempre' del Jefe Joseph (1877)?","La rendición de la tribu Nez Perce tras una larga retirada, expresando agotamiento y tristeza"
"¿Quién dio el discurso 'Yes We Can' en 2008?","Barack Obama, durante la campaña de las primarias de New Hampshire"
"¿Qué famoso discurso dio la Reina Isabel I en 1588?","El Discurso de Tilbury, motivando a las tropas contra la Armada Española: 'Tengo el cuerpo de una mujer débil, pero tengo el corazón y el estómago de un rey'"
"¿Quién dio el discurso 'Ich bin ein Berliner' en 1963?","John F. Kennedy, en Berlín Occidental, expresando solidaridad con los habitantes de la ciudad"
"¿Cuál fue el mensaje clave del discurso de Frederick Douglass '¿Qué es el Cuatro de Julio para el Esclavo?' (1852)?","Que celebrar la libertad estadounidense era hipócrita mientras millones permanecían esclavizados"
"¿Quién pronunció el discurso 'Una Fecha que Vivirá en la Infamia' en 1941?","Franklin D. Roosevelt, pidiendo al Congreso que declarara la guerra tras el ataque a Pearl Harbor"
"¿Qué discurso dio Malala Yousafzai en las Naciones Unidas en 2013?","Un discurso abogando por la educación de las niñas en todo el mundo, diciendo 'Un niño, un maestro, un libro, un bolígrafo pueden cambiar el mundo'"
"¿Quién dijo 'Sr. Gorbachov, abra esta puerta' antes de la frase más famosa sobre el muro?","Ronald Reagan, en el mismo discurso de 1987 en Berlín"
"¿De qué trató el discurso 'Casa Dividida' de Abraham Lincoln (1858)?","De que la nación no podría perdurar permanentemente mitad esclava y mitad libre"
"¿Quién dio el discurso 'Átomos por la Paz' en 1953?","El presidente Dwight D. Eisenhower, ante la Asamblea General de las Naciones Unidas"
"¿Cuál fue la importancia del 'Discurso Secreto' de Nikita Jrushchov en 1956?","Denunció el culto a la personalidad y las purgas de Stalin ante el XX Congreso del Partido Comunista"
"¿Quién pronunció el discurso 'Ríos de Sangre' en 1968?","Enoch Powell, un polémico discurso británico contra la inmigración masiva"
"¿Qué discurso dio Susan B. Anthony tras ser arrestada por votar en 1873?","'¿Es un Crimen que un Ciudadano de los Estados Unidos Vote?', argumentando que la Constitución otorgaba el sufragio femenino"
"¿Quién dijo 'La dama no va a dar marcha atrás' en 1980?","Margaret Thatcher, en la Conferencia del Partido Conservador, negándose a revertir sus políticas económicas"
"¿Cuál fue el mensaje central del 'Discurso de Año Nuevo' de Vaclav Havel en 1990?","Un llamado a la verdad, la renovación moral y la responsabilidad en la transición de Checoslovaquia del comunismo a la democracia"
