"front","back"
"Bonjour","Olá / Bom dia"
"Bonsoir","Boa noite (ao anoitecer)"
"Bonne nuit","Boa noite (ao dormir)"
"Au revoir","Tchau / Até logo"
"Salut","Oi / Tchau (informal)"
"S'il vous plaît","Por favor (formal)"
"S'il te plaît","Por favor (informal)"
"Merci","Obrigado(a)"
"Merci beaucoup","Muito obrigado(a)"
"De rien","De nada"
"Excusez-moi","Com licença (formal)"
"Pardon","Desculpe / Perdão"
"Oui","Sim"
"Non","Não"
"Comment vous appelez-vous ?","Qual é o seu nome? (formal)"
"Je m'appelle...","Meu nome é..."
"Comment allez-vous ?","Como vai você? (formal)"
"Ça va ?","Como vai? (informal)"
"Ça va bien, merci","Estou bem, obrigado(a)"
"Je ne comprends pas","Eu não entendo"
"Parlez-vous anglais ?","Você fala inglês?"
"Pouvez-vous répéter, s'il vous plaît ?","Pode repetir, por favor?"
"Où est la salle de bain ?","Onde fica o banheiro?"
"Combien ça coûte ?","Quanto custa?"
"L'addition, s'il vous plaît","A conta, por favor"
"Je voudrais...","Eu gostaria de..."
"Avez-vous...?","Você tem...?"
"Je suis perdu(e)","Estou perdido(a)"
"Appelez la police !","Chame a polícia!"
"À quelle heure ?","A que horas?"
"Où est...?","Onde fica...?"
"C'est délicieux !","Está delicioso!"
