"front","back"
"What genre dominated dance clubs in the late 1970s?","Disco"
"What 1977 movie popularized disco music?","Saturday Night Fever"
"Who sang ""Stayin' Alive""?","Bee Gees"
"What band pioneered progressive rock with ""Bohemian Rhapsody""?","Queen"
"Who was the lead singer of Queen?","Freddie Mercury"
"What punk band released ""Anarchy in the U.K.""?","Sex Pistols"
"What New York club was the birthplace of punk rock?","CBGB"
"Who was the lead singer of The Ramones?","Joey Ramone"
"What reggae artist released ""Exodus"" in 1977?","Bob Marley"
"What was Bob Marley's band called?","The Wailers"
"Who released ""Hotel California""?","Eagles"
"What rock band released ""Stairway to Heaven""?","Led Zeppelin"
"Who was Led Zeppelin's guitarist?","Jimmy Page"
"What band released ""Dark Side of the Moon""?","Pink Floyd"
"How long did ""Dark Side of the Moon"" stay on the charts?","937 weeks"
"Who sang ""Imagine""?","John Lennon"
"What band did Stevie Nicks and Lindsey Buckingham join?","Fleetwood Mac"
"What was Fleetwood Mac's best-selling album?","Rumours (1977)"
"Who released ""Born to Run""?","Bruce Springsteen"
"What disco group sang ""Y.M.C.A.""?","Village People"
"Who was known as the ""Godfather of Punk""?","Iggy Pop"
"What British band sang ""London Calling""?","The Clash"
"Who released ""What's Going On""?","Marvin Gaye"
"Who was the ""Godfather of Soul""?","James Brown"
"What artist released ""Thriller"" at the end of the 70s?","Michael Jackson (released 1982, but Off the Wall was 1979)"
"Who released ""Let's Stay Together""?","Al Green"
"What funk band released ""Give Up the Funk""?","Parliament-Funkadelic"
"Who was the leader of Parliament-Funkadelic?","George Clinton"
"What singer released ""Piano Man""?","Billy Joel"
"What Australian band released ""Highway to Hell""?","AC/DC"
