"front","back"
"Quais são os quatro torneios de Grand Slam?","Australian Open, Roland Garros, Wimbledon, US Open"
"Qual Grand Slam é jogado na grama?","Wimbledon"
"Qual Grand Slam é jogado no saibro?","Roland Garros"
"Em qual superfície é jogado o Australian Open?","Quadra dura"
"Em qual superfície é jogado o US Open?","Quadra dura"
"O que é um Grand Slam no tênis?","Vencer os quatro torneios principais em um ano calendário"
"Quem ganhou mais títulos de Grand Slam no individual masculino?","Novak Djokovic com 24 títulos"
"Quem ganhou mais títulos de Grand Slam no individual feminino?","Margaret Court com 24 títulos (Era Aberta: Serena Williams com 23)"
"Qual é a sequência de pontuação no tênis?","Love (0), 15, 30, 40, game"
"O que é deuce?","Quando ambos os jogadores têm 40 pontos (40-40)"
"O que é vantagem no tênis?","O ponto após o deuce; o próximo ponto ganha o game"
"O que é um set no tênis?","Uma unidade de pontuação, tipicamente vencida pelo primeiro jogador a ganhar 6 games com 2 games de vantagem"
"O que é um tiebreak?","Um game especial jogado em 6-6 para decidir um set, primeiro a 7 pontos com 2 pontos de vantagem"
"O que é um ace?","Um saque que o adversário não consegue tocar"
"O que é uma dupla falta?","Duas faltas consecutivas de saque, resultando em perda de ponto"
"O que é uma quebra de saque?","Ganhar um game quando o adversário está sacando"
"O que é uma voleio?","Bater na bola antes que ela quique"
"O que é um golpe de fundo?","Um forehand ou backhand atingido após a bola quicar"
"O que é a linha de base?","A linha de fundo em cada extremidade da quadra"
"O que é a terra de ninguém no tênis?","A área entre a linha de base e a linha de saque, considerada uma posição fraca"
"Quem é Roger Federer?","Jogador suíço, 20 títulos de Grand Slam, considerado um dos maiores de todos os tempos"
"Quem é Rafael Nadal?","Jogador espanhol, 22 títulos de Grand Slam, dominante no saibro"
"Quem é Serena Williams?","Jogadora americana, 23 títulos de Grand Slam no individual na Era Aberta"
"O que é a Copa Davis?","Competição anual internacional por equipes no tênis masculino"
"O que é a Fed Cup (Billie Jean King Cup)?","Competição anual internacional por equipes no tênis feminino"
"O que é um let no tênis?","Um saque que toca a rede mas cai na área correta; o saque é repetido"
"O que é match point?","Um ponto que, se ganho, encerra a partida a favor do jogador que está vencendo"
"O que é a ATP?","Associação dos Tenistas Profissionais, órgão regulador do tênis masculino profissional"
"O que é a WTA?","Associação do Tênis Feminino, órgão regulador do tênis feminino profissional"
"O que significa cabeça de chave no tênis?","Classificar jogadores em um torneio para evitar que os melhores se encontrem nas fases iniciais"
