"front","back"
"Qual famoso transatlântico afundou em 15 de abril de 1912 após colidir com um iceberg?","RMS Titanic — afundou em sua viagem inaugural no Atlântico Norte, matando mais de 1.500 pessoas"
"Qual era o nome do galeão espanhol que afundou na Flórida em 1622 e foi encontrado por Mel Fisher em 1985?","Nuestra Señora de Atocha — carregava um tesouro estimado em US$ 450 milhões"
"Qual navio de guerra sueco afundou no porto de Estocolmo em sua viagem inaugural em 1628?","Vasa — emborcou e afundou a apenas 1.300 metros do início de sua primeira viagem por ser pesado demais na parte superior"
"Qual transatlântico britânico foi torpedeado por um submarino alemão em 1915, ajudando a levar os EUA à Primeira Guerra?","RMS Lusitania — afundou na costa da Irlanda, matando 1.198 pessoas"
"Qual navio carregava tesouros do Império Espanhol e afundou perto de Cartagena, Colômbia, em 1708?","San José — frequentemente chamado de 'Santo Graal dos naufrágios,' sua carga é estimada em bilhões de dólares"
"Qual famoso navio pirata, comandado por Barba Negra, encalhou na Carolina do Norte em 1718?","Queen Anne's Revenge — seus destroços foram descobertos em 1996 perto de Beaufort Inlet"
"Qual balsa de passageiros afundou no Mar Báltico em 1994, matando 852 pessoas?","MS Estonia — um dos piores desastres marítimos em águas europeias"
"Qual era o nome do navio que o explorador Ernest Shackleton perdeu no gelo antártico em 1915?","Endurance — foi esmagado pelo gelo no Mar de Weddell; seus destroços foram encontrados em 2022"
"Qual encouraçado japonês, o maior já construído, foi afundado por aviões americanos em 1945?","Yamato — foi afundado durante a Operação Ten-Go enquanto se dirigia a Okinawa"
"Qual navio de guerra alemão foi afundado por sua própria tripulação em 1919 em Scapa Flow, Escócia?","SMS Bayern — parte do afundamento em massa da Frota de Alto Mar alemã após a Primeira Guerra"
"Qual navio carregava uma réplica do Sino da Liberdade e afundou no Lago Michigan em 1860?","Lady Elgin — um vapor de excursão que colidiu com uma escuna, matando cerca de 300 pessoas"
"Qual famoso navio Henry Hudson usou para buscar a Passagem do Noroeste?","Discovery — a tripulação de Hudson se amotinou em 1611 e o abandonou na Baía de Hudson"
"Qual transatlântico foi deliberadamente afundado como recife artificial na costa da Flórida em 2006?","USNS General Hoyt S. Vandenberg — agora um dos maiores recifes artificiais do mundo"
"Qual navio-hospital da Primeira Guerra afundou no Mar Egeu em 1916?","HMHS Britannic — navio irmão do Titanic, afundou após atingir uma mina"
"Qual navio português afundou em 1606 perto de Moçambique carregando tesouros da Índia?","São João Baptista — uma das muitas carracas portuguesas perdidas na rota da Carreira da Índia"
"Qual navio de exploração ártica ficou preso no gelo e foi abandonado em 1845?","HMS Erebus — parte da expedição perdida de Franklin; seus destroços foram encontrados em 2014 no Ártico canadense"
"Qual navio de cruzeiro emborcou na ilha italiana de Giglio em 2012?","Costa Concordia — o capitão Francesco Schettino foi condenado por homicídio culposo de 32 pessoas"
"Qual antigo navio mercante grego, datado de 300 a.C., foi encontrado na costa de Chipre?","Navio de Kyrenia — um dos naufrágios antigos mais bem preservados, agora exibido em um museu em Chipre"
"Qual foi o primeiro navio a afundar outro usando torpedo em combate, em 1878?","Um barco torpedeiro russo afundou o navio otomano Intibah em 1878"
"Qual famoso navio da Companhia Holandesa das Índias Orientais naufragou na Austrália Ocidental em 1629?","Batavia — após o naufrágio, ocorreu um motim e massacre entre os sobreviventes"
"Qual navio foi encontrado abandonado em 1872 no que ficou conhecido como 'o maior mistério marítimo'?","Mary Celeste — encontrado à deriva no Atlântico sem tripulação, cujo destino permanece desconhecido"
"Qual navio de guerra britânico explodiu e afundou durante a Batalha da Jutlândia em 1916?","HMS Queen Mary — partiu-se após a detonação de seus paióis, matando 1.266 tripulantes"
"Qual petroleiro encalhou no Alasca em 1989, causando um dos piores derramamentos de óleo da história dos EUA?","Exxon Valdez — derramou 11 milhões de galões de petróleo bruto no Prince William Sound"
"Qual submarino confederado foi o primeiro a afundar um navio inimigo em combate?","H.L. Hunley — afundou o USS Housatonic em 1864, mas também foi perdido com toda a tripulação"
"Qual navio de tesouro afundou em um furacão na Flórida em 1715 como parte de uma frota espanhola?","A Frota de Tesouros de 1715 — onze navios foram perdidos, espalhando ouro e prata pela costa da Flórida"
"Qual famoso navio fazia parte da frota de Colombo e encalhou no Haiti em 1492?","Santa María — Colombo usou sua madeira para construir La Navidad, o primeiro assentamento europeu nas Américas"
"Qual transatlântico de luxo foi afundado pela marinha italiana na Segunda Guerra enquanto era usado como transporte de tropas?","SS Rex — o detentor italiano do Blue Riband foi afundado por foguetes da RAF em 1944 no porto de Trieste"
"Qual navio que transportava condenados afundou na costa da Tasmânia em 1835?","George III — um dos piores desastres com navios de condenados da Austrália, matando 134 pessoas"
"Qual famoso navio de guerra era a capitânia do Almirante Nelson e sobreviveu à Batalha de Trafalgar em 1805?","HMS Victory — pegadinha! O Victory sobreviveu e está preservado em Portsmouth. Nelson morreu a bordo."
"Qual navio do século XVII foi encontrado quase intacto no Mar Negro em 2018, datando de 400 a.C.?","Um navio comercial grego — o naufrágio intacto mais antigo já descoberto, encontrado a 2 km de profundidade onde a falta de oxigênio o preservou"
