question,answer
Who is the king of the Greek gods and ruler of Mount Olympus?,Zeus
Who is the Greek goddess of wisdom and warfare?,Athena
Who is the Greek god of the sea and earthquakes?,Poseidon
Who is the Greek god of the underworld?,Hades
Who is the Greek goddess of love and beauty?,Aphrodite
Who is the Greek god of war?,Ares
Who is the Greek god of music and the sun?,Apollo
Who is the Greek goddess of the hunt and the moon?,Artemis
Who is the Greek messenger god with winged sandals?,Hermes
Who is the Greek god of fire and metalworking?,Hephaestus
Who is the Greek goddess of the harvest and agriculture?,Demeter
Who is the Greek goddess of marriage and queen of the gods?,Hera
Who is the Greek god of wine and celebration?,Dionysus
What is the name of the winged horse in Greek mythology?,Pegasus
What creature has the head of a bull and the body of a man?,The Minotaur
What three-headed dog guards the entrance to the underworld?,Cerberus
What creature has snakes for hair and turns people to stone?,Medusa
Who stole fire from the gods and gave it to humanity?,Prometheus
Who is the Greek hero known for his twelve labors?,Heracles (Hercules)
Who is the Greek hero who killed the Minotaur?,Theseus
What is the name of the one-eyed giants in Greek mythology?,Cyclopes
Who sailed with the Argonauts to find the Golden Fleece?,Jason
Who is the Greek hero of the Trojan War known for his heel?,Achilles
What box released all evils into the world when opened?,Pandora's Box
Who flew too close to the sun with wax wings?,Icarus
What is Mount Olympus?,The home of the Greek gods
Who are the nine goddesses of arts and sciences?,The Muses
What river must souls cross to enter the underworld?,The River Styx
Who is the ferryman who carries souls across the River Styx?,Charon
What is the nectar of the gods called that grants immortality?,Ambrosia
