"front","back"
"What Japanese dish consists of vinegared rice topped with raw fish or seafood?","Sushi — the word means 'sour rice'; sashimi is raw fish without rice"
"What is the national dish of Thailand, a stir-fried noodle dish with shrimp, peanuts, and lime?","Pad Thai"
"Which Italian sauce is made from basil, pine nuts, garlic, Parmesan cheese, and olive oil?","Pesto (specifically Pesto alla Genovese, from Genoa)"
"What is the main ingredient in Japanese miso soup?","Miso paste, made from fermented soybeans"
"Which Indian bread is baked in a tandoor clay oven?","Naan"
"What French dish is a slow-cooked stew of beef braised in red wine?","Boeuf Bourguignon (Beef Burgundy)"
"What Korean side dish is made from salted and fermented vegetables, usually napa cabbage?","Kimchi"
"Which Mexican dish consists of a corn tortilla rolled around a filling and covered with sauce?","Enchilada"
"What is the Spanish rice dish cooked with saffron, seafood, and various meats?","Paella (originally from Valencia)"
"What Middle Eastern dip is made from chickpeas, tahini, lemon juice, and garlic?","Hummus"
"Which Vietnamese soup features rice noodles in a fragrant beef or chicken broth?","Phở (pronounced roughly 'fuh')"
"What Peruvian dish consists of raw fish cured in citrus juices?","Ceviche"
"What is the traditional Ethiopian bread that also serves as an eating utensil?","Injera — a spongy sourdough flatbread made from teff flour"
"Which Chinese cooking technique involves quickly frying food in a very hot wok with oil?","Stir-frying (chǎo)"
"What Greek dish layers eggplant, ground meat, and béchamel sauce?","Moussaka"
"What is the traditional Moroccan slow-cooked stew named after the clay pot it's cooked in?","Tagine"
"Which Brazilian dish is a black bean stew with pork, considered the national dish?","Feijoada"
"What Japanese broth is made by simmering kombu seaweed and bonito flakes?","Dashi — the foundation of Japanese cuisine"
"Which Lebanese dish consists of bulgur wheat, parsley, tomatoes, mint, and lemon juice?","Tabbouleh"
"What is the Australian savory spread made from yeast extract?","Vegemite"
"Which Turkish street food features seasoned meat cooked on a vertical rotisserie?","Döner kebab"
"What Jamaican style of cooking uses a spicy dry or wet rub on grilled meat?","Jerk (jerk chicken, jerk pork)"
"Which Argentine tradition involves grilling various meats over an open flame?","Asado — a social event as much as a cooking method"
"What is the Hawaiian dish of raw, marinated fish served as an appetizer?","Poke (pronounced 'po-keh')"
"Which Russian soup is made from beetroot and served hot or cold?","Borscht"
"What Indian yogurt-based side dish is used to cool down spicy food?","Raita"
"Which Indonesian satay sauce is made primarily from ground peanuts?","Peanut sauce (bumbu kacang), served with satay skewers"
"What is the traditional South African dried and cured meat snack?","Biltong"
"Which Portuguese custard tart has a crispy, flaky pastry shell?","Pastel de nata (plural: pastéis de nata)"
"What is the classic French technique of cooking food slowly in fat at low temperature?","Confit (as in duck confit / confit de canard)"
