"front","back"
"Qual é a capital dos Estados Unidos?","Washington D.C."
"Qual é a capital do Canadá?","Ottawa"
"Qual é a capital do México?","Cidade do México"
"Qual é a capital do Brasil?","Brasília"
"Qual é a capital da Argentina?","Buenos Aires"
"Qual é a capital do Chile?","Santiago"
"Qual é a capital da Colômbia?","Bogotá"
"Qual é a capital do Peru?","Lima"
"Qual é a capital da Venezuela?","Caracas"
"Qual é a capital do Equador?","Quito"
"Qual é a capital da Bolívia?","La Paz e Sucre"
"Qual é a capital do Paraguai?","Assunção"
"Qual é a capital do Uruguai?","Montevidéu"
"Qual é a capital de Cuba?","Havana"
"Qual é a capital da Jamaica?","Kingston"
"Qual é a capital do Haiti?","Porto Príncipe"
"Qual é a capital da República Dominicana?","Santo Domingo"
"Qual é a capital da Costa Rica?","San José"
"Qual é a capital do Panamá?","Cidade do Panamá"
"Qual é a capital da Guatemala?","Cidade da Guatemala"
"Qual é a capital do Reino Unido?","Londres"
"Qual é a capital da França?","Paris"
"Qual é a capital da Alemanha?","Berlim"
"Qual é a capital da Itália?","Roma"
"Qual é a capital da Espanha?","Madrid"
"Qual é a capital de Portugal?","Lisboa"
"Qual é a capital dos Países Baixos?","Amsterdã"
"Qual é a capital da Bélgica?","Bruxelas"
"Qual é a capital da Suíça?","Berna"
"Qual é a capital da Áustria?","Viena"
"Qual é a capital da Polônia?","Varsóvia"
"Qual é a capital da República Tcheca?","Praga"
"Qual é a capital da Hungria?","Budapeste"
"Qual é a capital da Grécia?","Atenas"
"Qual é a capital da Suécia?","Estocolmo"
"Qual é a capital da Noruega?","Oslo"
"Qual é a capital da Dinamarca?","Copenhague"
"Qual é a capital da Finlândia?","Helsinque"
"Qual é a capital da Irlanda?","Dublin"
"Qual é a capital da Rússia?","Moscou"
"Qual é a capital da Ucrânia?","Kiev"
"Qual é a capital da Romênia?","Bucareste"
"Qual é a capital da Bulgária?","Sófia"
"Qual é a capital da Sérvia?","Belgrado"
"Qual é a capital da Croácia?","Zagreb"
"Qual é a capital da Eslovênia?","Liubliana"
"Qual é a capital da Eslováquia?","Bratislava"
"Qual é a capital da Turquia?","Ancara"
"Qual é a capital da China?","Pequim"
"Qual é a capital do Japão?","Tóquio"
"Qual é a capital da Coreia do Sul?","Seul"
"Qual é a capital da Coreia do Norte?","Pyongyang"
"Qual é a capital da Índia?","Nova Délhi"
"Qual é a capital do Paquistão?","Islamabad"
"Qual é a capital de Bangladesh?","Daca"
"Qual é a capital da Indonésia?","Jacarta"
"Qual é a capital das Filipinas?","Manila"
"Qual é a capital do Vietnã?","Hanói"
"Qual é a capital da Tailândia?","Bangkok"
"Qual é a capital da Malásia?","Kuala Lumpur"
"Qual é a capital de Singapura?","Singapura"
"Qual é a capital de Mianmar?","Naypyidaw"
"Qual é a capital do Camboja?","Phnom Penh"
"Qual é a capital do Nepal?","Katmandu"
"Qual é a capital do Sri Lanka?","Colombo"
