"front","back"
"¿Qué es Python?","Un lenguaje de programación de alto nivel, interpretado y de propósito general, conocido por su legibilidad y simplicidad"
"¿Qué hace 'print()' en Python?","Muestra (imprime) el valor o mensaje especificado en la consola"
"¿Cómo se declara una variable en Python?","Simplemente asignando un valor: x = 10 (sin necesidad de declarar el tipo)"
"¿Cuáles son los tipos de datos básicos de Python?","int, float, str, bool, list, tuple, dict, set"
"¿Qué es una lista en Python?","Una colección ordenada y mutable de elementos: ej., mi_lista = [1, 2, 3]"
"¿Qué es una tupla en Python?","Una colección ordenada e inmutable de elementos: ej., mi_tupla = (1, 2, 3)"
"¿Qué es un diccionario en Python?","Una colección de pares clave-valor: ej., {'nombre': 'Alice', 'edad': 30}"
"¿Qué es un conjunto (set) en Python?","Una colección desordenada de elementos únicos: ej., mi_set = {1, 2, 3}"
"¿Cómo se escribe un comentario en Python?","Usando el símbolo #: # Esto es un comentario"
"¿Qué es una función en Python y cómo se define?","Un bloque de código reutilizable definido con la palabra clave 'def': def mi_funcion(): ..."
"¿Qué hace la función 'len()'?","Devuelve el número de elementos en un objeto (cadena, lista, etc.)"
"¿Qué es una f-string en Python?","Una cadena formateada con la sintaxis f'...' que permite insertar expresiones: f'Hola {nombre}'"
"¿Qué hace 'range()'?","Genera una secuencia de números, ej.: range(5) produce 0, 1, 2, 3, 4"
"¿Cómo se escribe un bucle 'for' en Python?","for elemento in iterable: (ej., for i in range(5): print(i))"
"¿Cómo se escribe un bucle 'while' en Python?","while condición: (ej., while x > 0: x -= 1)"
"¿Cuál es la diferencia entre '==' e 'is' en Python?","'==' verifica igualdad de valor; 'is' verifica identidad de objeto (misma dirección de memoria)"
"¿Qué son las list comprehensions en Python?","Una forma concisa de crear listas: [expresión for elemento in iterable if condición]"
"¿Qué hace 'import' en Python?","Carga un módulo o biblioteca para que sus funciones y clases puedan ser utilizadas"
"¿Qué es 'None' en Python?","El valor nulo de Python, que representa la ausencia de un valor"
"¿Qué es el manejo de excepciones en Python?","El uso de bloques try/except para capturar y gestionar errores en tiempo de ejecución"
"¿Qué hace 'append()' en una lista?","Agrega un elemento al final de la lista: mi_lista.append(4)"
"¿Qué hace 'split()' en una cadena?","Divide una cadena en una lista de subcadenas según un delimitador: 'a,b,c'.split(',') → ['a','b','c']"
"¿Cuál es el propósito de '__init__' en una clase?","Es el método constructor, llamado automáticamente al crear una nueva instancia de la clase"
"¿Qué es la herencia en Python?","Una clase (hija) puede heredar atributos y métodos de otra clase (padre): class Perro(Animal):"
"¿Qué hace la sentencia 'return'?","Sale de una función y devuelve un valor al llamador"
"¿Qué es una función lambda en Python?","Una función anónima de una sola línea: lambda x: x * 2"
"¿Qué hace 'sorted()'?","Devuelve una nueva lista ordenada a partir de los elementos de cualquier iterable"
"¿Qué es un módulo de Python?","Un archivo con código Python (funciones, clases, variables) que puede ser importado y reutilizado"
"¿Cuál es la diferencia entre 'break' y 'continue' en bucles?","'break' termina el bucle por completo; 'continue' omite el resto de la iteración actual y pasa a la siguiente"
"¿Qué hace 'isinstance()'?","Comprueba si un objeto es una instancia de una clase específica: isinstance(5, int) → True"
