"front","back"
"¿Cuál fue el dinosaurio más grande conocido por longitud?","Argentinosaurus, estimado en 30–40 metros de largo"
"¿En qué era geológica aparecieron los dinosaurios?","En la Era Mesozoica, específicamente en el período Triásico (~230 millones de años atrás)"
"¿Cuáles son los tres períodos de la Era Mesozoica?","Triásico, Jurásico y Cretácico"
"¿Qué significa la palabra 'dinosaurio'?","'Lagarto terrible' — del griego deinos (terrible) + sauros (lagarto)"
"¿Quién acuñó el término 'Dinosauria' en 1842?","Sir Richard Owen"
"¿Qué evento causó la extinción masiva de los dinosaurios no avianos?","El impacto del asteroide Chicxulub hace ~66 millones de años, combinado con actividad volcánica"
"¿Dónde se encuentra el cráter de Chicxulub?","Península de Yucatán, México"
"¿Cuál es el pariente vivo más cercano de los dinosaurios?","Las aves — técnicamente son dinosaurios terópodos vivos"
"¿Cuáles eran los dos principales órdenes de dinosaurios?","Saurischia (cadera de lagarto) y Ornithischia (cadera de ave)"
"¿Cuál fue el depredador terópodo grande más famoso?","Tyrannosaurus rex"
"¿Cuánto medían los brazos del T. rex?","Aproximadamente 1 metro — diminutos en relación a su cuerpo de 12 metros"
"¿Qué dinosaurio tenía el cuello más largo?","Mamenchisaurus, con un cuello de hasta 15 metros"
"¿Cuál era la velocidad máxima estimada de un Velociraptor?","Aproximadamente 40 km/h"
"¿Qué tamaño tenía un Velociraptor real comparado con el de las películas?","Mucho más pequeño — del tamaño de un pavo, ~2 metros incluyendo la cola"
"¿Qué dinosaurio tenía el cráneo más grueso?","Pachycephalosaurus, con un domo craneal de hasta 25 cm de grosor"
"¿Para qué servían las placas dorsales del Stegosaurus?","Probablemente termorregulación y exhibición, no armadura"
"¿Cuántos cuernos tenía el Triceratops?","Tres — dos grandes sobre los ojos y uno más pequeño en la nariz"
"¿Qué es un coprolito?","Heces fosilizadas de dinosaurio, usadas para estudiar su dieta"
"¿Qué reptiles voladores vivían junto a los dinosaurios?","Los pterosaurios (que técnicamente no eran dinosaurios)"
"¿Cuál fue el reptil volador más grande?","Quetzalcoatlus, con una envergadura de ~10–11 metros"
"¿Qué dinosaurio es conocido por su vela en la espalda?","Spinosaurus, que también era semiacuático"
"¿Era el Spinosaurus más grande que el T. rex?","Sí — estimado en 14–18 metros, comparado con los 12 metros del T. rex"
"¿Qué pequeño dinosaurio es famoso por su garra en forma de hoz?","Deinonychus (y su pariente Velociraptor)"
"¿Qué dinosaurio tenía más de 500 dientes en filas?","Nigersaurus, un saurópodo de África"
"¿Dónde se describió científicamente el primer fósil de dinosaurio?","Inglaterra — Megalosaurus fue descrito por William Buckland en 1824"
"¿Qué es el límite K-Pg?","La capa geológica que marca la extinción Cretácico–Paleógeno (hace 66 millones de años)"
"¿Qué dinosaurio tenía la cola más larga?","Diplodocus, con una cola de hasta 14 metros — usada como látigo"
"¿Los dinosaurios eran de sangre caliente o fría?","La evidencia actual sugiere que muchos eran mesotermos o de sangre caliente"
"¿Cuál es el dinosaurio más pequeño conocido?","El colibrí abeja es técnicamente un dinosaurio; entre no avianos: Microraptor (~77 cm)"
"¿En qué continentes se han encontrado fósiles de dinosaurios?","En los siete continentes, incluyendo la Antártida"
