front,back
Quem pintou a Mona Lisa?,Leonardo da Vinci
Quem pintou A Noite Estrelada?,Vincent van Gogh
Quem pintou O Grito?,Edvard Munch
Quem esculpiu David?,Michelangelo
Quem pintou o teto da Capela Sistina?,Michelangelo
Qual movimento artístico apresentava relógios derretendo e imagens oníricas?,Surrealismo
Qual movimento artístico usava cores vibrantes e pinceladas visíveis?,Impressionismo
Qual movimento artístico apresentava formas geométricas e múltiplas perspectivas?,Cubismo
Quem fundou o Cubismo?,Pablo Picasso e Georges Braque
Quem pintou Guernica?,Pablo Picasso
O que é o Renascimento?,Um renascimento cultural na Europa do século XIV ao XVII
Quem pintou O Nascimento de Vênus?,Sandro Botticelli
Quem pintou A Última Ceia?,Leonardo da Vinci
Qual movimento artístico rejeitou técnicas tradicionais pela expressão abstrata?,Expressionismo Abstrato
Quem é conhecido pela técnica de gotejamento?,Jackson Pollock
Quem pintou as Latas de Sopa Campbell?,Andy Warhol
Qual movimento artístico usava imagens da cultura popular?,Pop Art
Quem esculpiu O Pensador?,Auguste Rodin
Pelo que a arte Barroca é conhecida?,"Iluminação dramática, cores ricas e intensidade emocional"
Quem pintou Moça com Brinco de Pérola?,Johannes Vermeer
O que é chiaroscuro?,O uso de fortes contrastes entre luz e sombra
Quem pintou A Persistência da Memória?,Salvador Dalí
Qual movimento artístico buscava capturar luz e movimento?,Impressionismo
Quem é considerado o pai do Impressionismo?,Claude Monet
Quem pintou a série Nenúfares?,Claude Monet
O que é Pontilhismo?,Técnica usando pequenos pontos de cor para formar imagens
Quem desenvolveu o Pontilhismo?,Georges Seurat
Pelo que o Fauvismo é conhecido?,"Pinceladas selvagens e cores ousadas, não naturalistas"
Quem liderou o movimento Fauvista?,Henri Matisse
Qual movimento artístico surgiu na Rússia no início do século XX?,Construtivismo
Quem pintou O Beijo?,Gustav Klimt
O que é Art Nouveau?,"Um estilo decorativo com linhas fluidas, orgânicas"
O que é Art Déco?,Um estilo decorativo geométrico popular nos anos 1920-30
Quem projetou Fallingwater?,Frank Lloyd Wright
O que é a Bauhaus?,Uma escola de arte alemã que combinou artesanato e belas artes
Quem fundou a Bauhaus?,Walter Gropius
O que é Dadaísmo?,Movimento de vanguarda rejeitando lógica e razão
Quem criou o readymade "Fonte"?,Marcel Duchamp
O que é um afresco?,Técnica de pintura sobre gesso úmido
Quem pintou A Ronda Noturna?,Rembrandt van Rijn
Qual período artístico apresentava fundos escuros e poses dramáticas?,Barroco
Quem pintou As Meninas?,Diego Velázquez
O que é trompe l'oeil?,Técnica artística criando ilusões ópticas de espaço 3D
Quem pintou Gótico Americano?,Grant Wood
O que é Minimalismo?,Movimento artístico usando formas geométricas simples
Quem é conhecido por esculturas de aço em grande escala?,Richard Serra
O que é arte de instalação?,Arte projetada para um espaço ou ambiente específico
Quem embrulhou edifícios em tecido?,Christo e Jeanne-Claude
O que é arte de rua?,Arte criada em espaços públicos, geralmente sem permissão
Quem é o artista de rua anônimo conhecido por obras em estêncil?,Banksy
