"front","back"
"¿Qué significa la sigla SQL?","Structured Query Language (Lenguaje de Consulta Estructurado)"
"¿Qué comando SQL se usa para recuperar datos de una tabla?","SELECT"
"¿Qué comando SQL se usa para insertar nuevas filas en una tabla?","INSERT INTO"
"¿Qué comando SQL se usa para modificar filas existentes en una tabla?","UPDATE"
"¿Qué comando SQL se usa para eliminar filas de una tabla?","DELETE"
"¿Qué comando SQL crea una nueva tabla?","CREATE TABLE"
"¿Qué comando SQL elimina una tabla entera y sus datos?","DROP TABLE"
"¿Qué cláusula filtra las filas devueltas por una consulta SELECT?","WHERE"
"¿Qué cláusula agrupa filas con propiedades en común en una consulta SELECT?","GROUP BY"
"¿Qué cláusula filtra los resultados de una agregación GROUP BY?","HAVING"
"¿Qué cláusula ordena el conjunto de resultados de una consulta?","ORDER BY"
"¿Qué palabra clave elimina filas duplicadas de un resultado SELECT?","DISTINCT"
"¿Qué función SQL cuenta el número de filas?","COUNT()"
"¿Qué función SQL devuelve el valor más alto de una columna?","MAX()"
"¿Qué función SQL devuelve el valor más bajo de una columna?","MIN()"
"¿Qué función SQL devuelve la suma de una columna numérica?","SUM()"
"¿Qué función SQL devuelve el promedio de una columna numérica?","AVG()"
"¿Qué tipo de JOIN devuelve todas las filas coincidentes de ambas tablas?","INNER JOIN"
"¿Qué tipo de JOIN devuelve todas las filas de la tabla izquierda aunque no haya coincidencia en la derecha?","LEFT JOIN (LEFT OUTER JOIN)"
"¿Qué tipo de JOIN devuelve todas las filas de ambas tablas?","FULL OUTER JOIN"
"¿Qué es una CLAVE PRIMARIA (PRIMARY KEY)?","Una columna (o conjunto de columnas) que identifica de forma única cada fila de una tabla"
"¿Qué es una CLAVE FORÁNEA (FOREIGN KEY)?","Una columna que referencia la PRIMARY KEY de otra tabla, estableciendo una relación"
"¿Qué es un valor NULL en SQL?","Un marcador que indica que el valor es desconocido o está ausente"
"¿Qué operador comprueba valores NULL en SQL?","IS NULL"
"¿Qué cláusula SQL limita el número de filas devueltas?","LIMIT (MySQL/PostgreSQL) o TOP (SQL Server)"
"¿Qué hace el operador LIKE en SQL?","Busca un patrón específico en una columna usando comodines (% y _)"
"¿Qué es una subconsulta (subquery) en SQL?","Una consulta anidada dentro de otra consulta, utilizada para devolver datos a la consulta externa"
"¿Qué hace el operador IN en SQL?","Comprueba si un valor coincide con algún valor de una lista o subconsulta"
"¿Qué es un ÍNDICE (INDEX) en SQL?","Un objeto de base de datos que acelera la recuperación de datos en una columna de tabla"
"¿Qué hace la palabra clave ALIAS AS en SQL?","Renombra una columna o tabla con un nombre temporal para usar en la consulta"
"¿Qué es una VIEW en SQL?","Una tabla virtual basada en el resultado de una consulta SELECT almacenada"
"¿Qué es una transacción SQL?","Una secuencia de instrucciones SQL ejecutadas como una sola unidad, garantizando la integridad de los datos"
"¿Qué hace el comando COMMIT en una transacción SQL?","Guarda permanentemente todos los cambios realizados durante la transacción actual"
"¿Qué hace el comando ROLLBACK en una transacción SQL?","Deshace todos los cambios realizados durante la transacción actual"
