"front","back"
"O que é mecânica quântica?","O ramo da física que descreve o comportamento da matéria e energia em escalas atômicas e subatômicas"
"O que é a constante de Planck?","6,626 × 10⁻³⁴ J⋅s - a constante fundamental que relaciona energia à frequência"
"O que é dualidade onda-partícula?","O conceito de que toda matéria exibe propriedades tanto de onda quanto de partícula"
"O que é o Princípio da Incerteza de Heisenberg?","Você não pode saber simultaneamente a posição exata e o momento de uma partícula"
"O que é um fóton?","Um quantum de luz - a menor quantidade discreta de radiação eletromagnética"
"O que é o efeito fotoelétrico?","Emissão de elétrons quando luz atinge um material, provando a natureza de partícula da luz"
"O que é quantização?","A restrição de uma quantidade física a valores discretos em vez de contínuos"
"O que é um estado quântico?","Uma descrição matemática de um sistema quântico contendo toda informação mensurável"
"O que é superposição?","Um sistema quântico existindo em múltiplos estados simultaneamente até ser medido"
"O que é entrelaçamento quântico?","Quando partículas se tornam correlacionadas de modo que medir uma afeta instantaneamente a outra"
"O que é a equação de Schrödinger?","A equação fundamental que descreve como estados quânticos evoluem ao longo do tempo"
"O que é o gato de Schrödinger?","Um experimento mental ilustrando superposição - um gato tanto vivo quanto morto até ser observado"
"O que é a função de onda (ψ)?","Uma função matemática que descreve o estado quântico de uma partícula"
"O que é colapso da função de onda?","A transição de superposição para um estado definido após a medição"
"O que é a interpretação de Copenhague?","A visão de que sistemas quânticos não têm propriedades definidas até serem medidos"
"O que é a interpretação dos muitos mundos?","A visão de que todos os resultados possíveis de medições quânticas ocorrem em universos separados"
"O que é tunelamento quântico?","Quando partículas atravessam barreiras que classicamente não poderiam superar"
"O que é spin na mecânica quântica?","Uma propriedade intrínseca de momento angular de partículas não relacionada à rotação real"
"O que são férmions?","Partículas com spin semi-inteiro (elétrons, prótons, nêutrons) que obedecem ao princípio de exclusão de Pauli"
"O que são bósons?","Partículas com spin inteiro (fótons, glúons) que podem ocupar o mesmo estado quântico"
"O que é o princípio de exclusão de Pauli?","Dois férmions idênticos não podem ocupar o mesmo estado quântico simultaneamente"
"O que é um qubit?","Um bit quântico que pode existir em superposição de estados 0 e 1"
"O que é decoerência quântica?","A perda de comportamento quântico quando um sistema interage com seu ambiente"
"O que é o comprimento de onda de de Broglie?","O comprimento de onda associado a uma partícula: λ = h/p"
"O que é o experimento da dupla fenda?","Experimento mostrando dualidade onda-partícula onde partículas criam padrões de interferência"
"O que é teoria quântica de campos?","Estrutura que combina mecânica quântica com relatividade especial para descrever física de partículas"
"O que é o Modelo Padrão?","A teoria que descreve partículas e forças fundamentais (exceto gravidade)"
"O que é energia de ponto zero?","A menor energia possível que um sistema quântico pode ter (nunca exatamente zero)"
"O que é o princípio da superposição quântica?","Quaisquer dois estados quânticos podem ser somados para obter outro estado quântico válido"
"O que é o teorema de Bell?","Prova que nenhuma teoria de variáveis ocultas locais pode reproduzir todas as previsões da mecânica quântica"
