"front","back"
"¿Cuál es el órgano más grande del cuerpo humano?","La piel, que cubre aproximadamente 1,7 metros cuadrados en adultos"
"¿Cuántos huesos tiene el cuerpo humano adulto?","206 huesos"
"¿Cuál es el hueso más pequeño del cuerpo humano?","El estribo, en el oído medio"
"¿Cuál es el hueso más grande del cuerpo humano?","El fémur (hueso del muslo)"
"¿Qué órgano produce insulina?","El páncreas, específicamente las células beta en los islotes de Langerhans"
"¿Cuáles son las cuatro cámaras del corazón?","Aurícula izquierda, aurícula derecha, ventrículo izquierdo, ventrículo derecho"
"¿Cuál es la función de los glóbulos rojos?","Transportar oxígeno de los pulmones a los tejidos y devolver dióxido de carbono a los pulmones"
"¿Cuántos litros de sangre tiene un adulto promedio?","Aproximadamente 5 litros"
"¿Cuál es el músculo más largo del cuerpo humano?","El músculo sartorio, que va desde la cadera hasta la rodilla"
"¿Cuáles son los tres tipos de tejido muscular?","Músculo esquelético, liso y cardíaco"
"¿Cuál es la función del cerebelo?","Coordinación del movimiento, equilibrio y control motor fino"
"¿Qué órgano filtra la sangre y elimina los glóbulos rojos viejos?","El bazo"
"¿Cuál es la función del sistema linfático?","Drenar el exceso de líquido de los tejidos, transportar grasas y apoyar la defensa inmunológica"
"¿Cuántos pares de costillas tiene un ser humano?","12 pares (24 costillas en total)"
"¿Qué es la córnea?","La capa transparente en la parte frontal del ojo que ayuda a enfocar la luz"
"¿Cuál es la función del hígado?","Desintoxicación, síntesis de proteínas, producción de bilis y regulación del metabolismo"
"¿Cuáles son las dos divisiones principales del sistema nervioso?","El sistema nervioso central (cerebro y médula espinal) y el sistema nervioso periférico"
"¿Qué es la tráquea?","Un tubo que conecta la laringe con los bronquios, transportando aire a los pulmones"
"¿Cuántos lóbulos tiene el pulmón derecho?","Tres lóbulos (el pulmón izquierdo tiene dos)"
"¿Qué es el diafragma?","Un músculo en forma de cúpula debajo de los pulmones que se contrae para aspirar aire durante la respiración"
"¿Cuál es la función de las plaquetas?","Ayudar a la coagulación de la sangre y detener el sangrado en los sitios de heridas"
"¿A qué está unido el apéndice?","Al ciego, que es el inicio del intestino grueso"
"¿De qué es responsable el hipotálamo?","Regular la temperatura corporal, el hambre, la sed, el sueño y la liberación de hormonas"
"¿Cuál es la función de los riñones?","Filtrar la sangre para eliminar desechos, equilibrar electrolitos y producir orina"
"¿Qué conecta los músculos a los huesos?","Los tendones"
"¿Qué conecta los huesos con otros huesos?","Los ligamentos"
"¿Cuál es la arteria más grande del cuerpo?","La aorta"
"¿Cuántas vértebras componen la columna vertebral humana?","33 vértebras (7 cervicales, 12 torácicas, 5 lumbares, 5 sacras fusionadas, 4 coccígeas fusionadas)"
"¿Cuál es la función de la vesícula biliar?","Almacenar y concentrar la bilis producida por el hígado para la digestión de grasas"
"¿Cuáles son las tres capas de la piel?","Epidermis (externa), dermis (media) e hipodermis (capa subcutánea)"
