"front","back"
"What is a civilization?","A complex society with cities and organized government"
"Where did the first civilizations develop?","Near rivers in fertile valleys"
"What is Mesopotamia?","Land between the Tigris and Euphrates rivers"
"What does Mesopotamia mean?","Land between two rivers"
"Where is Mesopotamia located today?","Modern-day Iraq"
"Who were the Sumerians?","The first civilization in Mesopotamia"
"What did the Sumerians invent?","Writing called cuneiform"
"What is cuneiform?","Wedge-shaped writing on clay tablets"
"What were ziggurats?","Sumerian stepped temple towers"
"Who was Hammurabi?","Babylonian king who created a famous law code"
"What was the Code of Hammurabi?","One of the earliest written law codes"
"What principle did Hammurabi's Code follow?","An eye for an eye"
"Who were the Assyrians?","A militaristic Mesopotamian empire"
"What was the Assyrian capital?","Nineveh"
"Who were the Babylonians?","Civilization that built the Hanging Gardens"
"What were the Hanging Gardens?","One of the Seven Wonders of the Ancient World"
"Where did ancient Egypt develop?","Along the Nile River"
"Why was the Nile important?","Annual floods made the land fertile"
"Who were the pharaohs?","Egyptian god-kings"
"What were pyramids built for?","Tombs for pharaohs"
"What is the Great Pyramid of Giza?","Largest Egyptian pyramid built for Khufu"
"What is the Sphinx?","Limestone statue with lion body and human head"
"What is hieroglyphics?","Ancient Egyptian picture writing"
"What is the Rosetta Stone?","Key to deciphering hieroglyphics"
"Who was Cleopatra?","Last pharaoh of ancient Egypt"
"What was mummification?","Preserving bodies for the afterlife"
"Who was the Egyptian god of the dead?","Osiris"
"What is the Book of the Dead?","Egyptian guide to the afterlife"
"Where did the Indus Valley civilization develop?","Modern-day Pakistan and India"
"What were the main Indus Valley cities?","Mohenjo-Daro and Harappa"
"What was remarkable about Indus cities?","Advanced urban planning and sanitation"
"Where did ancient Chinese civilization begin?","Along the Yellow River"
"What dynasty built the Great Wall?","Multiple dynasties but mainly Qin and Ming"
"Who was Shi Huangdi?","First Emperor of unified China"
"What is the Terracotta Army?","Clay soldiers buried with Shi Huangdi"
"What is Confucianism?","Chinese philosophy emphasizing ethics and order"
"Who was Confucius?","Chinese philosopher who taught moral values"
"What is the Mandate of Heaven?","Chinese belief that rulers need divine approval"
"What was the Silk Road?","Trade route connecting China to the West"
"Where did Greek civilization develop?","Greek peninsula and Aegean islands"
"What were Greek city-states called?","Poleis"
"What was Athens known for?","Democracy and philosophy"
"What was Sparta known for?","Military strength and discipline"
"What is democracy?","Government by the people"
"Who was the father of democracy?","Cleisthenes of Athens"
"What was the Parthenon?","Temple to Athena on the Acropolis"
"Who fought in the Persian Wars?","Greeks against the Persian Empire"
"What was the Battle of Marathon?","Greek victory over Persia in 490 BCE"
"What was the Battle of Thermopylae?","300 Spartans held off Persian army"
"Who was Alexander the Great?","Macedonian king who conquered a vast empire"
"What was Hellenistic culture?","Blend of Greek and Eastern cultures"
"Who was Socrates?","Greek philosopher who used questioning method"
"Who was Plato?","Student of Socrates who wrote The Republic"
"Who was Aristotle?","Greek philosopher and tutor of Alexander"
"What did Hippocrates contribute?","Father of medicine and medical ethics"
"Who wrote the Iliad and Odyssey?","Homer"
"What were the Olympic Games?","Athletic competition honoring Zeus"
"Where did Roman civilization begin?","Italian Peninsula along the Tiber River"
"What was the Roman Republic?","Roman government with elected officials"
"What was the Roman Senate?","Assembly of wealthy Roman citizens"
"Who were the consuls?","Two elected leaders of the Roman Republic"
"What were the Punic Wars?","Wars between Rome and Carthage"
"Who was Hannibal?","Carthaginian general who crossed the Alps"
"Who was Julius Caesar?","Roman general who became dictator"
"When was Julius Caesar assassinated?","44 BCE on the Ides of March"
"Who was Augustus?","First Roman Emperor"
"What was Pax Romana?","200 years of Roman peace and prosperity"
"What was the Colosseum?","Roman amphitheater for gladiator fights"
"What were Roman aqueducts?","Structures that carried water to cities"
"What language did Romans speak?","Latin"
"What was Roman law?","Legal system that influenced modern law"
"Why did the Roman Empire fall?","Invasions and internal problems"
"When did the Western Roman Empire fall?","476 CE"
"What were the Phoenicians known for?","Alphabet and sea trade"
"Where was Phoenicia located?","Modern-day Lebanon"
"What did the Phoenicians invent?","The alphabet that influenced Greek and Latin"
"Who were the Hebrews?","Ancient people who developed Judaism"
"What is monotheism?","Belief in one god"
"Who was Abraham?","Patriarch of the Hebrew people"
"Who was Moses?","Leader who received the Ten Commandments"
"What is the Torah?","Sacred text of Judaism"
"Where was the Kingdom of Israel?","Modern-day Israel and Palestine"
"Who built the First Temple in Jerusalem?","King Solomon"
"What was the Babylonian Captivity?","Exile of Jews to Babylon"
"Who were the Persians?","Empire that freed Jews from Babylon"
"Who was Cyrus the Great?","Persian king who built a vast empire"
"What religion did Persians practice?","Zoroastrianism"
"What is Zoroastrianism?","Religion with concepts of good versus evil"
"Where was Nubia located?","South of Egypt along the Nile"
"What was the Kingdom of Kush?","Nubian kingdom that traded with Egypt"
"Where was Carthage?","North Africa in modern-day Tunisia"
"What was the Olmec civilization?","First major civilization in Mesoamerica"
"What were Olmec heads?","Giant stone head sculptures"
"Where did the Maya civilization develop?","Central America and southern Mexico"
"What was the Mayan calendar?","Sophisticated astronomical calendar"
"What writing did the Maya use?","Hieroglyphic writing system"
