"front","back"
"Viés de Confirmação","A tendência de buscar, interpretar e lembrar informações que confirmam nossas crenças pré-existentes, ignorando evidências contraditórias."
"Viés de Ancoragem","Confiar excessivamente na primeira informação encontrada (a 'âncora') ao tomar decisões."
"Heurística da Disponibilidade","Superestimar a probabilidade de eventos com base na facilidade com que exemplos vêm à mente, frequentemente influenciados por memórias recentes ou vívidas."
"Efeito Dunning-Kruger","Um viés cognitivo em que pessoas com conhecimento limitado superestimam sua competência, enquanto especialistas tendem a subestimar a sua."
"Viés Retrospectivo","A tendência de acreditar, após um evento ocorrer, que teríamos previsto ou esperado o resultado ('Eu sabia o tempo todo')."
"Falácia do Custo Afundado","Continuar investindo em algo por causa de recursos previamente investidos (tempo, dinheiro, esforço) em vez de valor futuro."
"Efeito Manada","A tendência de adotar crenças ou comportamentos porque muitas outras pessoas fazem o mesmo, independentemente das evidências."
"Viés de Negatividade","Dar mais peso a experiências ou informações negativas do que às positivas, mesmo quando têm igual intensidade."
"Efeito Halo","Deixar uma característica positiva (como aparência ou sucesso) influenciar nosso julgamento geral de uma pessoa ou coisa."
"Efeito de Enquadramento","Tirar conclusões diferentes da mesma informação dependendo de como ela é apresentada ou 'enquadrada'."
"Aversão à Perda","A tendência de preferir evitar perdas a adquirir ganhos equivalentes; perder R$100 é pior do que ganhar R$100 é bom."
"Viés do Otimismo","A crença de que somos menos propensos a experimentar eventos negativos e mais propensos a experimentar eventos positivos em comparação com outros."
"Viés Autosservidor","Atribuir sucessos às nossas próprias habilidades enquanto culpamos fatores externos pelos fracassos."
"Pensamento de Grupo","Priorizar o consenso do grupo sobre o pensamento crítico, levando a decisões ruins para evitar conflitos."
"Viés de Recência","Dar mais importância a eventos ou informações recentes do que a dados mais antigos, mesmo que os mais antigos sejam mais relevantes."
"Viés do Status Quo","Preferir o estado atual das coisas em vez de mudanças, mesmo quando a mudança pode ser benéfica."
"Erro Fundamental de Atribuição","Atribuir o comportamento dos outros ao seu caráter, enquanto atribuímos nosso próprio comportamento às circunstâncias."
"Viés de Sobrevivência","Focar em exemplos bem-sucedidos enquanto ignora os fracassos, levando a conclusões falsas sobre o que leva ao sucesso."
"Viés de Grupo","Favorecer membros do próprio grupo em detrimento daqueles de outros grupos, frequentemente de forma inconsciente."
"Viés de Projeção","Assumir que outros compartilham nossas crenças, valores ou estados emocionais atuais."
"Falácia do Planejamento","Subestimar o tempo, custos e riscos de ações futuras enquanto superestima seus benefícios."
"Maldição do Conhecimento","Dificuldade em imaginar como é não saber algo quando já se sabe."
"Viés de Apoio à Escolha","Atribuir retroativamente características positivas a uma opção escolhida, enquanto atribui características negativas às opções rejeitadas."
"Efeito Holofote","Superestimar o quanto os outros notam nossa aparência, comportamento ou erros."
"Regra do Pico-Fim","Julgar experiências com base em como nos sentimos no pico e no fim, em vez da média de todos os momentos."
"Efeito da Mera Exposição","Desenvolver preferência por coisas simplesmente porque estamos familiarizados com elas através de exposição repetida."
"Viés do Ponto Cego","Reconhecer vieses cognitivos nos outros enquanto falhamos em vê-los em nós mesmos."
"Falácia do Jogador","Acreditar que eventos aleatórios passados afetam a probabilidade de eventos aleatórios futuros (ex: 'Estou devendo uma vitória')."
"Viés de Autoridade","Dar mais peso às opiniões de figuras de autoridade, independentemente da qualidade real de seu argumento."
"Viés de Risco Zero","Preferir eliminar completamente um pequeno risco em vez de reduzir o risco geral em uma quantidade maior."
