front,back
¿Qué juego de Nintendo de 1985 presentaba a un plomero rescatando a una princesa?,Super Mario Bros.
¿Quién es el personaje principal de "The Legend of Zelda"?,Link (no es Zelda)
¿Qué empresa creó Sonic the Hedgehog?,Sega
¿Qué RPG de 1997 presentaba a Cloud Strife?,Final Fantasy VII
¿Qué juego de arcade de 1980 presentaba un círculo amarillo comiendo puntos?,Pac-Man
¿Quién creó a Mario?,Shigeru Miyamoto
¿Qué juego de 1993 popularizó el género de disparos en primera persona?,Doom
¿Cómo se llamaba el Nintendo Entertainment System (NES) en Japón?,Famicom
¿Qué juego de 1996 presentaba a Lara Croft?,Tomb Raider
¿Cuál fue el primer videojuego comercialmente exitoso?,Pong (1972)
¿El nombre de qué empresa de juegos significa "deja la suerte al cielo" en japonés?,Nintendo
¿Qué juego de 1991 presentaba a un erizo azul corriendo por loops?,Sonic the Hedgehog
¿Quién es el hermano de Mario?,Luigi
¿Qué juego de espionaje de 1998 presentaba a Solid Snake?,Metal Gear Solid
¿Qué empresa creó el PlayStation?,Sony
¿Qué consola portátil de 1989 dominó los juegos portátiles?,Game Boy
¿Qué juego de rompecabezas venía con el Game Boy?,Tetris
¿Qué juego de 2001 lanzó el Xbox?,Halo: Combat Evolved
¿Qué juego de 1999 permitía capturar y entrenar criaturas?,Pokémon Rojo y Azul (1996 Japón, 1999 EE.UU.)
¿Quién es el antagonista en la serie Super Mario?,Bowser
¿Qué juego de 2004 presentaba a un criminal en San Andreas?,Grand Theft Auto: San Andreas
¿Qué serie de carreras presenta a Mario y amigos?,Mario Kart
¿Qué juego de lucha de 1992 presentaba fatalities?,Mortal Kombat
¿Qué empresa creó Street Fighter?,Capcom
¿Qué juego de 2000 presentaba una simulación de la vida?,Los Sims
¿Quién creó Los Sims?,Will Wright
¿Qué juego de 1994 presentaba a Donkey Kong regresando como héroe?,Donkey Kong Country
¿Qué juego de 2007 presentaba portales y un pastel mentiroso?,Portal
¿Qué juego de 2011 presentaba minería y construcción en un mundo de bloques?,Minecraft
¿Qué empresa creó Minecraft?,Mojang (ahora propiedad de Microsoft)
