"front","back"
"Confirmation Bias","The tendency to search for, interpret, and remember information that confirms our pre-existing beliefs while ignoring contradictory evidence."
"Anchoring Bias","Relying too heavily on the first piece of information encountered (the 'anchor') when making decisions."
"Availability Heuristic","Overestimating the likelihood of events based on how easily examples come to mind, often influenced by recent or vivid memories."
"Dunning-Kruger Effect","A cognitive bias where people with limited knowledge overestimate their competence, while experts tend to underestimate theirs."
"Hindsight Bias","The tendency to believe, after an event has occurred, that we would have predicted or expected the outcome beforehand ('I knew it all along')."
"Sunk Cost Fallacy","Continuing to invest in something because of previously invested resources (time, money, effort) rather than future value."
"Bandwagon Effect","The tendency to adopt beliefs or behaviors because many other people do the same, regardless of underlying evidence."
"Negativity Bias","Giving more weight to negative experiences or information than positive ones, even when they are of equal intensity."
"Halo Effect","Letting one positive trait (like attractiveness or success) influence our overall judgment of a person or thing."
"Framing Effect","Drawing different conclusions from the same information depending on how it is presented or 'framed'."
"Loss Aversion","The tendency to prefer avoiding losses over acquiring equivalent gains; losing $100 feels worse than gaining $100 feels good."
"Optimism Bias","The belief that we are less likely to experience negative events and more likely to experience positive events compared to others."
"Self-Serving Bias","Attributing successes to our own abilities while blaming failures on external factors."
"Groupthink","Prioritizing group consensus over critical thinking, leading to poor decision-making to avoid conflict."
"Recency Bias","Giving more importance to recent events or information over older data, even if the older data is more relevant."
"Status Quo Bias","Preferring the current state of affairs over change, even when change might be beneficial."
"Fundamental Attribution Error","Attributing others' behavior to their character while attributing our own behavior to circumstances."
"Survivorship Bias","Focusing on successful examples while overlooking failures, leading to false conclusions about what leads to success."
"In-Group Bias","Favoring members of one's own group over those in other groups, often unconsciously."
"Projection Bias","Assuming others share our beliefs, values, or current emotional states."
"Planning Fallacy","Underestimating the time, costs, and risks of future actions while overestimating their benefits."
"Curse of Knowledge","Difficulty in imagining what it's like not to know something once you already know it."
"Choice-Supportive Bias","Retroactively attributing positive features to an option we chose, while attributing negative features to rejected options."
"Spotlight Effect","Overestimating how much others notice our appearance, behavior, or mistakes."
"Peak-End Rule","Judging experiences based on how they felt at their peak and at the end, rather than the average of all moments."
"Mere Exposure Effect","Developing a preference for things simply because we are familiar with them through repeated exposure."
"Blind Spot Bias","Recognizing cognitive biases in others while failing to see them in ourselves."
"Gambler's Fallacy","Believing that past random events affect the probability of future random events (e.g., 'I'm due for a win')."
"Authority Bias","Giving more weight to the opinions of authority figures, regardless of the actual quality of their argument."
"Zero-Risk Bias","Preferring to completely eliminate one small risk rather than reducing overall risk by a greater amount."
