"front","back"
"Quem foi o primeiro humano no espaço?","Yuri Gagarin (União Soviética) em 12 de abril de 1961"
"Qual foi o primeiro satélite artificial lançado ao espaço?","Sputnik 1 (União Soviética) em 4 de outubro de 1957"
"Quem foi o primeiro americano no espaço?","Alan Shepard em 5 de maio de 1961"
"Quem foi a primeira mulher no espaço?","Valentina Tereshkova (União Soviética) em 16 de junho de 1963"
"Qual missão Apollo pousou humanos na Lua pela primeira vez?","Apollo 11 em 20 de julho de 1969"
"Quem foi a primeira pessoa a pisar na Lua?","Neil Armstrong"
"Quais foram as primeiras palavras ditas na Lua?","""Um pequeno passo para o homem, um salto gigante para a humanidade"""
"Quem foi a segunda pessoa a pisar na Lua?","Buzz Aldrin"
"Qual era o nome do módulo lunar da Apollo 11?","Eagle (Águia)"
"Qual estação espacial foi a primeira estação modular em órbita?","Mir (Soviética/Russa) lançada em 1986"
"Quando a Estação Espacial Internacional (ISS) foi lançada pela primeira vez?","20 de novembro de 1998"
"Qual foi a primeira nave espacial reutilizável?","Ônibus Espacial Columbia (primeiro voo em 12 de abril de 1981)"
"Qual desastre do Ônibus Espacial ocorreu em 1986?","Desastre do Challenger (28 de janeiro de 1986)"
"Qual desastre do Ônibus Espacial ocorreu em 2003?","Desastre do Columbia (1 de fevereiro de 2003)"
"Qual sonda passou por Júpiter e Saturno pela primeira vez?","Pioneer 10 (Júpiter) e Pioneer 11 (Júpiter e Saturno)"
"Quais são os nomes das sondas gêmeas lançadas em 1977 para explorar os planetas exteriores?","Voyager 1 e Voyager 2"
"Qual nave espacial é o objeto fabricado pelo homem mais distante da Terra?","Voyager 1"
"Qual foi o primeiro rover de Marte a operar com sucesso?","Sojourner (1997, parte da missão Mars Pathfinder)"
"Quais são os nomes dos rovers gêmeos da NASA lançados em 2003?","Spirit e Opportunity"
"Qual rover de Marte pousou em 2012 e ainda está operando?","Curiosity"
"Qual rover de Marte pousou em 2021?","Perseverance"
"Qual helicóptero fez o primeiro voo motorizado em outro planeta?","Ingenuity (Marte, 2021)"
"Quem foi a primeira pessoa a fazer uma caminhada espacial (EVA)?","Alexei Leonov (União Soviética) em 18 de março de 1965"
"O que significa NASA?","National Aeronautics and Space Administration (Administração Nacional da Aeronáutica e Espaço)"
"O que é a ESA?","Agência Espacial Europeia"
"Qual é o nome da estação espacial chinesa?","Tiangong (Estação Espacial Chinesa)"
"Quem fundou a SpaceX?","Elon Musk em 2002"
"Qual foi o primeiro foguete privado a alcançar órbita?","Falcon 1 da SpaceX (2008)"
"Qual sistema de foguete reutilizável a SpaceX usa?","Falcon 9 (com primeiro estágio reutilizável)"
"Qual é o nome da nave tripulada da SpaceX?","Dragon (Crew Dragon para astronautas)"
"Por qual veículo o Telescópio Espacial Hubble foi lançado?","Ônibus Espacial Discovery em 24 de abril de 1990"
"Qual telescópio espacial foi lançado em 2021 como sucessor do Hubble?","Telescópio Espacial James Webb"
"Qual sonda orbitou Saturno de 2004 a 2017?","Cassini"
"Qual sonda pousou na lua Titã de Saturno em 2005?","Huygens"
"Qual missão retornou amostras de asteroide à Terra em 2020?","Hayabusa2 (Japonesa) do asteroide Ryugu"
