front,back
What was the Industrial Revolution?,A period of major industrialization and technological change
When did the Industrial Revolution begin?,Around 1760
When did the Industrial Revolution end?,Around 1840
Where did the Industrial Revolution begin?,Great Britain
What was the Second Industrial Revolution?,A phase of rapid industrialization from 1870 to 1914
What powered the First Industrial Revolution?,Water and steam power
What powered the Second Industrial Revolution?,Electricity and petroleum
Who invented the spinning jenny?,James Hargreaves
What year was the spinning jenny invented?,1764
What did the spinning jenny do?,Allowed one worker to spin multiple threads at once
Who invented the water frame?,Richard Arkwright
What did the water frame do?,Used water power to spin cotton thread
Who invented the spinning mule?,Samuel Crompton
What did the spinning mule combine?,Features of the spinning jenny and water frame
Who invented the power loom?,Edmund Cartwright
What did the power loom do?,Mechanized the weaving of cloth
Who invented the steam engine?,James Watt improved it in 1769
What did James Watt add to the steam engine?,A separate condenser for efficiency
Who invented the cotton gin?,Eli Whitney
What year was the cotton gin invented?,1793
What did the cotton gin do?,Separated cotton fibers from seeds quickly
Who invented the locomotive?,George Stephenson
What was the first public railway?,Stockton and Darlington Railway in 1825
What was the Rocket?,George Stephenson's famous steam locomotive
Who invented the telegraph?,Samuel Morse
What year was the telegraph patented?,1837
What is Morse code?,A system of dots and dashes for telegraph communication
Who invented the telephone?,Alexander Graham Bell
What year was the telephone invented?,1876
Who invented the light bulb?,Thomas Edison
What year was the practical light bulb invented?,1879
What was the factory system?,Centralized production using machines and workers
What replaced the domestic system?,The factory system
What was the domestic system?,Production of goods in homes by hand
What were the Luddites?,Workers who destroyed machines in protest
Why did the Luddites protest?,Fear of losing jobs to machines
What was urbanization?,Movement of people from rural areas to cities
What city became the center of textile manufacturing?,Manchester
What natural resources helped Britain industrialize?,Coal and iron ore
Why was coal important?,Fuel for steam engines and iron production
What is smelting?,Extracting metal from ore using heat
Who developed the Bessemer process?,Henry Bessemer
What did the Bessemer process do?,Mass produced steel cheaply
What replaced iron as the main industrial metal?,Steel
What were canals used for?,Transporting heavy goods like coal
Who built the Bridgewater Canal?,James Brindley for the Duke of Bridgewater
What was the significance of railways?,Faster transport of goods and people
What were working conditions like in early factories?,Long hours and dangerous conditions
How many hours did factory workers typically work?,12 to 16 hours per day
Did children work in factories?,Yes many children worked in factories
What were workhouses?,Institutions for the poor who could not support themselves
What was child labor?,Employment of children in factories and mines
What act limited child labor in Britain?,Factory Act of 1833
What did the Factory Act of 1833 do?,Limited working hours for children
What was the minimum age for factory work after 1833?,Nine years old
Who were the chartists?,A movement demanding political reform for workers
What did the chartists demand?,Universal male suffrage and secret ballots
What were trade unions?,Organizations of workers to improve conditions
Were early trade unions legal?,No they were often illegal
What act legalized trade unions in Britain?,Trade Union Act of 1871
What was the middle class?,A new social class of factory owners and professionals
How did the Industrial Revolution affect population?,Population grew rapidly
What caused population growth?,Better food supply and medical advances
What were slums?,Overcrowded and unsanitary urban housing
What diseases spread in industrial cities?,Cholera and typhoid
What was laissez-faire economics?,Government should not interfere in business
Who promoted laissez-faire economics?,Adam Smith
What book did Adam Smith write?,The Wealth of Nations
What is capitalism?,An economic system based on private ownership and profit
What is socialism?,An economic system advocating shared ownership
Who wrote The Communist Manifesto?,Karl Marx and Friedrich Engels
What did Karl Marx criticize?,Exploitation of workers under capitalism
What was the enclosure movement?,Consolidation of common lands into private farms
How did enclosure affect farmers?,Many lost access to land and moved to cities
What is mass production?,Manufacturing large quantities of standardized goods
What are interchangeable parts?,Identical components that can replace each other
Who pioneered interchangeable parts?,Eli Whitney
What industry started the Industrial Revolution?,Textile industry
What raw material was crucial for textiles?,Cotton
Where did Britain get its cotton?,Mainly from the American South
How did the Industrial Revolution spread?,From Britain to Europe and North America
Which country industrialized after Britain?,Belgium
When did the US industrialize rapidly?,After the Civil War in the 1860s
What was the Gilded Age?,Period of rapid US industrialization 1870s to 1900
Who were the robber barons?,Wealthy industrialists like Carnegie and Rockefeller
What industry did Andrew Carnegie dominate?,Steel industry
What industry did John D Rockefeller dominate?,Oil industry
What is a monopoly?,Control of an entire industry by one company
What were assembly lines?,Production method where workers add parts in sequence
Who popularized the assembly line?,Henry Ford
What did Henry Ford manufacture?,Automobiles
What was the Model T?,Ford's affordable mass-produced car
How did industrialization affect the environment?,Pollution and resource depletion
What is smog?,Air pollution from smoke and fog
How did the Industrial Revolution change warfare?,New weapons and mass production of arms
What long-term effect did industrialization have?,Created modern industrial economies
