"front","back"
"Qual é o vulcão mais ativo da Terra?","Kīlauea no Havaí, EUA — está em erupção quase continuamente desde 1983"
"Qual erupção vulcânica soterrou a cidade romana de Pompeia em 79 d.C.?","Monte Vesúvio, localizado perto de Nápoles, Itália"
"O que é o Anel de Fogo?","Uma zona em forma de ferradura de 40.000 km ao redor do Oceano Pacífico onde cerca de 75% dos vulcões do mundo são encontrados"
"Qual vulcão teve sua erupção de 1883 ouvida a 4.800 km de distância?","Krakatoa (Krakatau) na Indonésia — um dos sons mais altos da história registrada"
"O que é uma caldeira vulcânica?","Uma grande cratera vulcânica formada quando um vulcão colapsa na câmara magmática após uma erupção"
"Qual supervulcão fica sob o Parque Nacional de Yellowstone?","A Caldeira de Yellowstone, com sua última grande erupção há cerca de 640.000 anos"
"Que tipo de vulcão é o Monte Fuji?","Um estratovulcão (vulcão composto) — o pico mais alto do Japão com 3.776 metros"
"Qual erupção de 1980 nos EUA causou o maior deslizamento de terra já registrado?","Monte Santa Helena no estado de Washington — sua face norte colapsou em uma avalanche massiva de detritos"
"Qual é a diferença entre magma e lava?","Magma é rocha derretida abaixo da superfície terrestre; lava é magma que chegou à superfície"
"Qual ilha vulcânica emergiu do mar perto da Islândia em 1963?","Surtsey — formou-se durante uma erupção que durou até 1967 e agora é Patrimônio da UNESCO"
"O que é um lahar?","Um fluxo de lama destrutivo de detritos vulcânicos e água que desce pelas encostas de um vulcão"
"Qual vulcão é conhecido como o 'Farol do Mediterrâneo'?","Stromboli, na Itália — está em erupção quase continuamente há mais de 2.000 anos"
"O que causou o 'Ano Sem Verão' em 1816?","A erupção de 1815 do Monte Tambora na Indonésia — a erupção mais poderosa da história registrada (VEI 7)"
"O que significa VEI em vulcanologia?","Índice de Explosividade Vulcânica — uma escala de 0 a 8 que mede o poder explosivo das erupções"
"Qual vulcão africano é a montanha isolada mais alta do mundo?","Monte Kilimanjaro na Tanzânia (5.895 m) — um estratovulcão adormecido com três cones"
"O que é um vulcão-escudo?","Um vulcão amplo e de inclinação suave construído por fluxos de lava fluida — como Mauna Loa no Havaí"
"Qual vulcão destruiu a civilização minoica por volta de 1600 a.C.?","A erupção de Thera (Santorini) na Grécia — possivelmente inspirando a lenda de Atlântida"
"O que é fluxo piroclástico?","Uma corrente rápida de gás quente, cinzas e fragmentos de rocha que desce um vulcão a até 700 km/h"
"Qual país tem mais vulcões ativos?","Indonésia, com cerca de 130 vulcões ativos ao longo de seu arquipélago"
"Qual é o maior vulcão do nosso sistema solar?","Olympus Mons em Marte — cerca de 21,9 km de altura e 600 km de diâmetro"
"O que é um ponto quente vulcânico?","Um local onde o magma sobe das profundezas do manto terrestre, independente dos limites das placas tectônicas (ex.: Havaí)"
"Qual vulcão islandês interrompeu o tráfego aéreo europeu em 2010?","Eyjafjallajökull — sua nuvem de cinzas suspendeu voos pela Europa por semanas"
"Quais são os três principais tipos de vulcões?","Vulcões-escudo, estratovulcões (compostos) e cones de escória"
"O que é tufo vulcânico?","Um tipo de rocha formada a partir de cinzas vulcânicas consolidadas e outros materiais piroclásticos"
"Qual vulcão nas Filipinas entrou em erupção catastroficamente em 1991?","Monte Pinatubo — reduziu as temperaturas globais em cerca de 0,5°C por dois anos"
"O que é uma fumarola?","Uma abertura na superfície terrestre que emite vapor e gases vulcânicos"
"Qual é o corpo mais vulcanicamente ativo do nosso sistema solar?","Io, lua de Júpiter, com mais de 400 vulcões ativos"
"Qual vulcão no Equador detém o recorde do ponto mais distante do centro da Terra?","Chimborazo (6.263 m) — devido à protuberância equatorial, seu cume está mais longe do centro da Terra que o Everest"
"O que é obsidiana?","Um vidro vulcânico natural formado quando a lava esfria muito rapidamente com crescimento mínimo de cristais"
"O que é um maar?","Uma cratera vulcânica ampla e rasa formada por uma erupção freatomagmática (magma encontrando água subterrânea)"
