"front","back"
"¿Qué es una civilización?","Una sociedad compleja con ciudades y gobierno organizado"
"¿Dónde se desarrollaron las primeras civilizaciones?","Cerca de ríos en valles fértiles"
"¿Qué es Mesopotamia?","Tierra entre los ríos Tigris y Éufrates"
"¿Qué significa Mesopotamia?","Tierra entre dos ríos"
"¿Dónde está ubicada Mesopotamia hoy?","Irak moderno"
"¿Quiénes eran los sumerios?","La primera civilización en Mesopotamia"
"¿Qué inventaron los sumerios?","Escritura llamada cuneiforme"
"¿Qué es cuneiforme?","Escritura en forma de cuña en tablillas de arcilla"
"¿Qué eran los zigurats?","Torres de templos escalonados sumerios"
"¿Quién fue Hammurabi?","Rey babilónico que creó un famoso código de leyes"
"¿Qué fue el Código de Hammurabi?","Uno de los primeros códigos de leyes escritos"
"¿Qué principio seguía el Código de Hammurabi?","Ojo por ojo"
"¿Quiénes eran los asirios?","Un imperio militarista de Mesopotamia"
"¿Cuál era la capital asiria?","Nínive"
"¿Quiénes eran los babilonios?","Civilización que construyó los Jardines Colgantes"
"¿Qué eran los Jardines Colgantes?","Una de las Siete Maravillas del Mundo Antiguo"
"¿Dónde se desarrolló el Antiguo Egipto?","A lo largo del Río Nilo"
"¿Por qué era importante el Nilo?","Las inundaciones anuales hacían la tierra fértil"
"¿Quiénes eran los faraones?","Reyes-dioses egipcios"
"¿Para qué se construyeron las pirámides?","Tumbas para faraones"
"¿Qué es la Gran Pirámide de Guiza?","La pirámide egipcia más grande construida para Keops"
"¿Qué es la Esfinge?","Estatua de piedra caliza con cuerpo de león y cabeza humana"
"¿Qué son los jeroglíficos?","Escritura pictórica del Antiguo Egipto"
"¿Qué es la Piedra de Rosetta?","Clave para descifrar jeroglíficos"
"¿Quién fue Cleopatra?","Última faraón del Antiguo Egipto"
"¿Qué era la momificación?","Preservación de cuerpos para la vida después de la muerte"
"¿Quién era el dios egipcio de los muertos?","Osiris"
"¿Qué es el Libro de los Muertos?","Guía egipcia para la vida después de la muerte"
"¿Dónde se desarrolló la civilización del Valle del Indo?","Pakistán e India modernos"
"¿Cuáles eran las principales ciudades del Valle del Indo?","Mohenjo-Daro y Harappa"
"¿Qué era notable en las ciudades del Indo?","Planificación urbana avanzada y saneamiento"
