"front","back"
"Which famous ocean liner sank on April 15, 1912 after hitting an iceberg?","RMS Titanic — it sank on its maiden voyage in the North Atlantic, killing over 1,500 people"
"What was the name of the Spanish galleon that sank off Florida in 1622 and was found by Mel Fisher in 1985?","Nuestra Señora de Atocha — it carried an estimated $450 million in treasure"
"Which Swedish warship sank in Stockholm harbor on its maiden voyage in 1628?","Vasa — it capsized and sank just 1,300 meters into its first journey due to being top-heavy"
"What British luxury liner was torpedoed by a German U-boat in 1915, helping draw the US into WWI?","RMS Lusitania — sank off the coast of Ireland, killing 1,198 people"
"Which ship carried treasure from the Spanish Empire and sank near Cartagena, Colombia in 1708?","San José — often called the 'Holy Grail of shipwrecks,' its cargo is estimated at billions of dollars"
"What famous pirate ship, captained by Blackbeard, ran aground off North Carolina in 1718?","Queen Anne's Revenge — its wreck was discovered in 1996 near Beaufort Inlet"
"Which passenger ferry sank in the Baltic Sea in 1994, killing 852 people?","MS Estonia — one of the deadliest maritime disasters in European waters"
"What was the name of the ship that explorer Ernest Shackleton lost in Antarctic ice in 1915?","Endurance — it was crushed by pack ice in the Weddell Sea; its wreck was found in 2022"
"Which Japanese battleship, the largest ever built, was sunk by US aircraft in 1945?","Yamato — it was sunk during Operation Ten-Go while heading to Okinawa"
"What German battleship was scuttled by its crew in 1919 at Scapa Flow, Scotland?","SMS Bayern — part of the mass scuttling of the German High Seas Fleet after WWI"
"Which ship carried the Liberty Bell replica and sank in Lake Michigan in 1860?","Lady Elgin — an excursion steamer that collided with a lumber schooner, killing about 300 people"
"What famous ship did explorer Henry Hudson use to search for the Northwest Passage?","Discovery — Hudson's crew mutinied in 1611 and set him adrift in Hudson Bay"
"Which ocean liner was deliberately sunk as an artificial reef off the coast of Florida in 2006?","USNS General Hoyt S. Vandenberg — now one of the world's largest artificial reefs"
"What WWI hospital ship was torpedoed in the English Channel in 1916?","HMHS Britannic — Titanic's sister ship, sank in the Aegean Sea (not English Channel) after hitting a mine in 1916"
"Which Portuguese ship sank in 1606 near Mozambique carrying treasures from India?","São João Baptista — one of many Portuguese carracks lost on the Carreira da Índia route"
"What Arctic exploration ship was trapped in ice and abandoned in 1845?","HMS Erebus — part of Franklin's lost expedition; its wreck was found in 2014 in the Canadian Arctic"
"Which cruise ship capsized off the Italian island of Giglio in 2012?","Costa Concordia — Captain Francesco Schettino was convicted of manslaughter for 32 deaths"
"What ancient Greek merchant ship, dating to 300 BC, was found off the coast of Cyprus?","Kyrenia ship — one of the best-preserved ancient shipwrecks, now displayed in a museum in Cyprus"
"Which ironclad warship was the first to sink another ship using a torpedo in combat, in 1878?","HMS Shah did not sink its target; the first torpedo sinking was by a Russian torpedo boat against the Ottoman ship Intibah in 1878"
"What famous Dutch East India Company ship sank off Western Australia in 1629?","Batavia — after the wreck, a mutiny and massacre occurred among the survivors"
"Which ship was the subject of the 'most famous maritime mystery' when it was found abandoned in 1872?","Mary Celeste — found drifting in the Atlantic with no crew aboard, their fate remains unknown"
"What British warship exploded and sank during the Battle of Jutland in 1916?","HMS Queen Mary — it broke apart after its magazines detonated, killing 1,266 crew"
"Which oil tanker ran aground in Alaska in 1989, causing one of the worst oil spills in US history?","Exxon Valdez — spilled 11 million gallons of crude oil into Prince William Sound"
"What Confederate submarine was the first to sink an enemy warship in combat?","H.L. Hunley — it sank the USS Housatonic in 1864 but was also lost with all hands"
"Which treasure ship sank in a hurricane off Florida in 1715 as part of a Spanish fleet?","The 1715 Treasure Fleet — eleven ships were lost, scattering gold and silver along Florida's coast"
"What famous ship was part of Columbus's fleet and ran aground off Haiti in 1492?","Santa María — Columbus used its timber to build La Navidad, the first European settlement in the Americas"
"Which luxury liner was sunk by the Italian navy in WWII while being used as a troop transport?","SS Rex — the Italian-built Blue Riband holder was sunk by RAF rockets in 1944 in Trieste harbor"
"What ship carrying convicts sank off the coast of Tasmania in 1835?","George III — one of Australia's worst convict ship disasters, killing 134 people"
"Which famous warship was Admiral Nelson's flagship and survived the Battle of Trafalgar in 1805?","HMS Victory — trick question! Victory survived and is preserved in Portsmouth. Nelson died aboard it."
"What 17th-century ship was found nearly intact in the Black Sea in 2018, dating to 400 BC?","A Greek trading vessel — the oldest intact shipwreck ever discovered, found at 2 km depth where lack of oxygen preserved it"
