"front","back"
"Qual ponte, concluída em 1937, atravessa o estreito Golden Gate em São Francisco?","Golden Gate Bridge — ponte suspensa de 2.737m projetada por Joseph Strauss, icônica por sua cor International Orange"
"Qual é a ponte mais longa do mundo em comprimento total?","Ponte Danyang–Kunshan na China (164,8 km), parte da ferrovia de alta velocidade Pequim–Xangai, concluída em 2010"
"Qual ponte medieval em Praga, ladeada por 30 estátuas barrocas, cruza o rio Vltava?","Ponte Carlos (Karlův most), construída entre 1357 e 1402 sob o rei Carlos IV"
"Qual famosa ponte em Sydney, Austrália, é apelidada de 'The Coathanger' (O Cabide)?","Sydney Harbour Bridge — ponte em arco de aço inaugurada em 1932, a maior ponte em arco de aço do mundo em largura de tabuleiro"
"Qual ponte em Londres pode ser levantada para permitir a passagem de navios?","Tower Bridge — ponte basculante e suspensa inaugurada em 1894, frequentemente confundida com a London Bridge"
"Qual antigo aqueduto romano no sul da França tem três níveis de arcos?","Pont du Gard — construído no século I d.C. perto de Nîmes, com 49m de altura, Patrimônio Mundial da UNESCO"
"Qual ponte suspensa em Nova York, concluída em 1883, foi a primeira ponte suspensa com cabos de aço?","Ponte do Brooklyn — projetada por John Augustus Roebling, conectando Manhattan e Brooklyn sobre o East River"
"Qual é a ponte mais famosa de Veneza que cruza o Grande Canal?","Ponte de Rialto — construída entre 1588 e 1591, foi a primeira ponte de pedra sobre o Grande Canal de Veneza"
"Qual ponte japonesa, reconstruída a cada 20 anos, leva ao Grande Santuário de Ise?","Ponte Uji (Ujibashi) no Grande Santuário de Ise — ponte de madeira de 101,8m simbolizando a transição do cotidiano ao sagrado"
"Qual é a ponte mais alta do mundo em relação à altura do tabuleiro?","Ponte Beipanjiang na China — 565m acima do rio Beipan na província de Guizhou, inaugurada em 2016"
"Qual tipo de ponte coberta usa um padrão de treliça e é comum na Nova Inglaterra?","Treliça Town — patenteada por Ithiel Town em 1820, usando pranchas diagonais em padrão cruzado"
"Qual famosa ponte em Istambul conecta a Europa e a Ásia?","A Ponte do Bósforo (agora Ponte dos Mártires de 15 de Julho), inaugurada em 1973, foi a primeira ponte sobre o estreito do Bósforo"
"Qual ponte em Mostar, Bósnia, foi destruída em 1993 e reconstruída em 2004?","Stari Most (Ponte Velha) — ponte otomana do século XVI sobre o rio Neretva, Patrimônio Mundial da UNESCO"
"Qual tipo de ponte usa cabos presos diretamente às torres para sustentar o tabuleiro?","Ponte estaiada — diferente de pontes suspensas onde os cabos pendem de um cabo principal entre as torres"
"Qual ponte na Baía de São Francisco substituiu uma seção que colapsou no terremoto de 1989?","O vão leste da Bay Bridge São Francisco–Oakland, substituído por um novo vão suspenso auto-ancorado inaugurado em 2013"
"Qual famosa ponte natural na Virgínia, EUA, já pertenceu a Thomas Jefferson?","Natural Bridge — arco de calcário de 66m esculpido pelo Cedar Creek, comprado por Jefferson em 1774"
"Qual ponte em Portugal é nomeada em homenagem a uma data e cruza o rio Tejo em Lisboa?","Ponte 25 de Abril — nomeada em homenagem à Revolução dos Cravos de 25 de abril de 1974; inaugurada em 1966, lembra a Golden Gate Bridge"
"O que é um viaduto?","Uma estrutura longa semelhante a uma ponte que transporta estrada ou ferrovia sobre um vale, com múltiplos vãos apoiados em arcos ou pilares"
"Qual viaduto francês, projetado por Norman Foster, é a estrutura de ponte mais alta do mundo?","Viaduto de Millau — 343m de altura (mais alto que a Torre Eiffel), cruzando o vale do rio Tarn no sul da França, inaugurado em 2004"
"Qual famosa ponte em Florença, Itália, tem lojas construídas em ambos os lados?","Ponte Vecchio — ponte medieval em arco de pedra sobre o rio Arno, famosa por suas joalherias; reconstruída após enchente de 1345"
"Qual ponte conecta a Dinamarca e a Suécia através do estreito de Øresund?","Ponte de Øresund — ponte-túnel rodoferroviária inaugurada em 2000, 7,8 km de comprimento, conectando Copenhague e Malmö"
"Qual tipo de ponte gira ou levanta para permitir a passagem de embarcações?","Ponte móvel — tipos incluem basculante, giratória, de elevação vertical e retrátil"
"Qual ponte icônica nas Florida Keys foi construída pela ferrovia de Henry Flagler?","Seven Mile Bridge — a original fazia parte da Overseas Railroad (1912); uma ponte rodoviária moderna corre paralela (1982)"
"Qual técnica antiga de ponte usa um arco semicircular feito de pedras em cunha?","Construção de ponte em arco romano — usando aduelas (pedras em cunha) com pedra-chave no topo, permitindo vãos mais largos que vigas"
"Qual ponte na Índia, feita de raízes vivas, é cultivada pelo povo Khasi?","As pontes de raízes vivas de Meghalaya — feitas das raízes aéreas de Ficus elastica, algumas com mais de 500 anos"
"Qual ponte na China, construída durante a Dinastia Sui, é a ponte em arco de tímpano aberto mais antiga do mundo?","Ponte Anji (Ponte Zhaozhou) — construída por volta de 605 d.C. por Li Chun, com vão de 50,82m e arco notavelmente plano"
"Qual famosa ponte cruza o rio Kwai na Tailândia?","A Ponte sobre o Rio Kwai em Kanchanaburi — parte da Ferrovia da Birmânia construída por prisioneiros de guerra na Segunda Guerra Mundial (1943)"
"Qual inovação de engenharia permite que a Ponte Akashi Kaikyo resista a terremotos e tufões?","Sistema de pêndulos em cada torre e amortecedores de massa sintonizados; é a ponte suspensa mais longa do mundo com 3.911m de vão principal (inaugurada em 1998)"
"Qual ponte para pedestres em Londres balançou tanto no dia da inauguração que foi temporariamente fechada?","Millennium Bridge — inaugurada em junho de 2000, fechada após 2 dias devido a oscilação lateral, reaberta em 2002 com amortecedores instalados"
"Qual ponte na Argentina e Uruguai cruza o estuário do Rio da Prata?","Não existe ponte sobre o Rio da Prata; uma ponte Colonia–Buenos Aires foi proposta mas nunca construída. O estuário é cruzado por balsa."
"Qual desastre de ponte nos EUA em 1940 se tornou um famoso exemplo de ressonância na engenharia?","O colapso da Ponte Tacoma Narrows ('Galloping Gertie') — a ponte oscilou com o vento e colapsou em 7 de novembro de 1940, no estado de Washington"
