question,answer
¿Quién desarrolló la teoría de la relatividad general?,Albert Einstein
¿Quién es considerado el padre de la física moderna y descubrió las leyes del movimiento?,Isaac Newton
¿Quién descubrió la penicilina?,Alexander Fleming
¿Quién propuso la teoría de la evolución por selección natural?,Charles Darwin
¿Quién descubrió la radioactividad y ganó dos Premios Nobel en ciencias diferentes?,Marie Curie
¿A quién se le atribuye la invención del teléfono?,Alexander Graham Bell
¿Quién desarrolló la vacuna contra la poliomielitis?,Jonas Salk
¿Quién formuló el modelo heliocéntrico del sistema solar?,Nicolás Copérnico
¿Quién descubrió la estructura del ADN junto con Francis Crick?,James Watson
¿Quién inventó la primera bombilla eléctrica práctica y el fonógrafo?,Thomas Edison
¿Quién es conocido por sus leyes del movimiento planetario?,Johannes Kepler
¿Quién descubrió el electrón?,J.J. Thomson
¿Quién desarrolló la primera vacuna exitosa (contra la viruela)?,Edward Jenner
¿Quién es el padre de la química moderna y nombró al oxígeno?,Antoine Lavoisier
¿Quién descubrió los rayos X?,Wilhelm Röntgen
¿Quién propuso la teoría del Big Bang?,Georges Lemaître
¿Quién inventó la World Wide Web?,Tim Berners-Lee
¿Quién descubrió el neutrón?,James Chadwick
¿Quién formuló el principio de incertidumbre en la mecánica cuántica?,Werner Heisenberg
¿Quién es conocido por la ecuación de onda en la mecánica cuántica?,Erwin Schrödinger
¿Quién descubrió la carga del electrón con el experimento de la gota de aceite?,Robert Millikan
¿Quién inventó la tabla periódica de los elementos?,Dmitri Mendeléyev
¿Quién es el padre de la microbiología y desarrolló la pasteurización?,Louis Pasteur
¿Quién descubrió la inducción electromagnética?,Michael Faraday
¿Quién propuso el modelo planetario del átomo?,Niels Bohr
¿Quién descubrió la circulación de la sangre en el cuerpo humano?,William Harvey
¿Quién inventó la dinamita y estableció los Premios Nobel?,Alfred Nobel
¿Quién es conocido por sus contribuciones a la informática y la prueba de Turing?,Alan Turing
¿Quién descubrió la radiación infrarroja?,William Herschel
¿Quién desarrolló el sistema de clasificación para organismos vivos?,Carl Linnaeus
