"front","back"
"Em que ano foi realizada a primeira Copa do Mundo FIFA?","1930"
"Qual país sediou a primeira Copa do Mundo?","Uruguai"
"Qual país venceu a primeira Copa do Mundo?","Uruguai"
"Quantas seleções jogaram na Copa do Mundo de 1930?","13"
"Qual país venceu a Copa do Mundo de 1934?","Itália"
"Qual país sediou a Copa do Mundo de 1934?","Itália"
"Qual país venceu a Copa do Mundo de 1938?","Itália"
"Por que não houve Copa do Mundo em 1942?","Segunda Guerra Mundial"
"Por que não houve Copa do Mundo em 1946?","Segunda Guerra Mundial"
"Qual país venceu a Copa do Mundo de 1950?","Uruguai"
"Qual país sediou a Copa do Mundo de 1950?","Brasil"
"Qual partida famosa ocorreu no Maracanazo de 1950?","Uruguai venceu o Brasil"
"Qual país venceu a Copa do Mundo de 1954?","Alemanha Ocidental"
"Qual final é conhecida como o Milagre de Berna?","Final de 1954"
"Qual país venceu a Copa do Mundo de 1958?","Brasil"
"Quem foi a estrela adolescente da Copa do Mundo de 1958?","Pelé"
"Qual país sediou a Copa do Mundo de 1958?","Suécia"
"Qual país venceu a Copa do Mundo de 1962?","Brasil"
"Qual jogador ganhou duas Copas do Mundo até 1962?","Pelé"
"Qual país sediou a Copa do Mundo de 1962?","Chile"
"Qual país venceu a Copa do Mundo de 1966?","Inglaterra"
"Qual país sediou a Copa do Mundo de 1966?","Inglaterra"
"Quem fez um hat-trick na final de 1966?","Geoff Hurst"
"Qual país venceu a Copa do Mundo de 1970?","Brasil"
"Qual país sediou a Copa do Mundo de 1970?","México"
"Por que a seleção brasileira de 1970 é famosa?","Considerada a melhor seleção"
"Qual país venceu a Copa do Mundo de 1974?","Alemanha Ocidental"
"Qual país sediou a Copa do Mundo de 1974?","Alemanha Ocidental"
"Qual seleção popularizou o Futebol Total?","Holanda"
"Qual país venceu a Copa do Mundo de 1978?","Argentina"
"Qual país sediou a Copa do Mundo de 1978?","Argentina"
"Qual país venceu a Copa do Mundo de 1982?","Itália"
"Qual país sediou a Copa do Mundo de 1982?","Espanha"
"Qual país venceu a Copa do Mundo de 1986?","Argentina"
"Qual país sediou a Copa do Mundo de 1986?","México"
"Quem marcou o gol da Mão de Deus?","Diego Maradona"
"Qual país venceu a Copa do Mundo de 1990?","Alemanha Ocidental"
"Qual país sediou a Copa do Mundo de 1990?","Itália"
"Qual país venceu a Copa do Mundo de 1994?","Brasil"
"Qual país sediou a Copa do Mundo de 1994?","Estados Unidos"
"Qual final foi decidida nos pênaltis em 1994?","Brasil x Itália"
"Qual país venceu a Copa do Mundo de 1998?","França"
"Qual país sediou a Copa do Mundo de 1998?","França"
"Quem marcou duas vezes na final de 1998?","Zinedine Zidane"
"Qual país venceu a Copa do Mundo de 2002?","Brasil"
"Quais países sediaram a Copa do Mundo de 2002?","Japão e Coreia do Sul"
"Quem foi o artilheiro em 2002?","Ronaldo"
"Qual país venceu a Copa do Mundo de 2006?","Itália"
"Qual país sediou a Copa do Mundo de 2006?","Alemanha"
"Quem deu uma cabeçada na final de 2006?","Zinedine Zidane"
"Qual país venceu a Copa do Mundo de 2010?","Espanha"
"Qual país sediou a Copa do Mundo de 2010?","África do Sul"
"Quem marcou o gol da vitória em 2010?","Andrés Iniesta"
"Qual país venceu a Copa do Mundo de 2014?","Alemanha"
"Qual país sediou a Copa do Mundo de 2014?","Brasil"
"Qual gol famoso aconteceu na final de 2014?","Gol de Götze na prorrogação"
"Qual país venceu a Copa do Mundo de 2018?","França"
"Qual país sediou a Copa do Mundo de 2018?","Rússia"
"Quem foi o artilheiro da Copa do Mundo de 2018?","Harry Kane"
"Qual país venceu a Copa do Mundo de 2022?","Argentina"
"Qual país sediou a Copa do Mundo de 2022?","Catar"
"Quem ganhou o prêmio de melhor jogador em 2022?","Lionel Messi"
"Qual país ganhou mais Copas do Mundo?","Brasil"
"Quantas Copas do Mundo o Brasil ganhou?","Cinco"
"Quais dois países ganharam quatro títulos?","Alemanha e Itália"
"Qual país ganhou três Copas do Mundo?","Argentina"
"Qual troféu é entregue aos vencedores?","Troféu da Copa do Mundo FIFA"
"Como era chamado o antigo troféu?","Troféu Jules Rimet"
"Qual jogador tem mais gols em Copas do Mundo?","Miroslav Klose"
"Qual jogador marcou em quatro Copas do Mundo?","Pelé"
"Qual país mais participou de Copas do Mundo?","Brasil"
"Em que ano começou a Copa do Mundo Feminina?","1991"
"Em qual Copa do Mundo o VAR foi usado pela primeira vez?","2018"
"De quanto em quanto tempo a Copa do Mundo é realizada?","A cada quatro anos"
"Qual continente sediou a Copa do Mundo em 2010?","África"
"Qual Copa do Mundo teve 32 seleções pela primeira vez?","1998"
"Qual Copa do Mundo terá 48 seleções?","2026"
"Quais países sediarão a Copa do Mundo de 2026?","EUA, Canadá e México"
"Qual país nunca perdeu uma Copa do Mundo?","Brasil"
