front,back
Qual banda britânica liderou a "Invasão Britânica"?,The Beatles
Em que ano os Beatles apareceram pela primeira vez no Ed Sullivan?,1964
Quem eram os quatro membros dos Beatles?,"John Lennon, Paul McCartney, George Harrison, Ringo Starr"
Qual foi o primeiro hit número um dos Beatles nos EUA?,I Want to Hold Your Hand
Qual banda era conhecida como "A Maior Banda de Rock and Roll do Mundo"?,The Rolling Stones
Quem era o vocalista dos Rolling Stones?,Mick Jagger
Qual grupo da Motown cantou "My Girl"?,The Temptations
Quem fundou a Motown Records?,Berry Gordy
Em qual cidade a Motown Records estava sediada?,Detroit
Quem era conhecida como a "Rainha do Soul"?,Aretha Franklin
Qual era a música símbolo de Aretha Franklin?,Respect (1967)
Qual festival de 1969 se tornou símbolo da contracultura?,Woodstock
Onde foi realizado o Woodstock?,"Bethel, Nova York"
Quem tocou "The Star-Spangled Banner" em Woodstock?,Jimi Hendrix
Qual banda Jimi Hendrix liderou?,The Jimi Hendrix Experience
Quem cantou "Like a Rolling Stone"?,Bob Dylan
Para qual instrumento Bob Dylan controversamente mudou em 1965?,Guitarra elétrica
Quem cantou "Good Vibrations"?,The Beach Boys
Qual álbum inovador os Beach Boys lançaram em 1966?,Pet Sounds
Qual álbum dos Beatles é considerado o primeiro álbum conceitual?,Sgt. Pepper's Lonely Hearts Club Band
Quem cantou "A Change Is Gonna Come"?,Sam Cooke
Qual banda britânica cantou "My Generation"?,The Who
Quem era o vocalista do The Doors?,Jim Morrison
Qual foi o maior sucesso do The Doors?,Light My Fire
Quem cantou "Brown Eyed Girl"?,Van Morrison
Qual trio feminino cantou "Stop! In the Name of Love"?,The Supremes
Quem era a vocalista do The Supremes?,Diana Ross
Qual gênero surgiu na Jamaica nos anos 1960?,Reggae
Quem é considerado o pai do reggae?,Toots Hibbert
Qual banda de rock psicodélico cantou "White Rabbit"?,Jefferson Airplane
