"front","back"
"¿Qué es el existencialismo?","Un movimiento filosófico que enfatiza la existencia individual, la libertad y la elección"
"¿Quién es considerado el padre del existencialismo?","Søren Kierkegaard"
"¿Qué significa ""la existencia precede a la esencia""?","Los humanos existen primero y se definen a través de acciones en lugar de tener una naturaleza predeterminada"
"¿Quién dijo ""El hombre está condenado a ser libre""?","Jean-Paul Sartre"
"¿Qué es la autenticidad en el existencialismo?","Vivir de acuerdo con los propios valores y elecciones en lugar de conformarse a expectativas externas"
"¿Qué es la mala fe (mauvaise foi)?","Autoengaño donde uno niega su propia libertad y responsabilidad"
"¿Qué es el absurdo según Camus?","El conflicto entre la búsqueda humana de significado y la indiferencia silenciosa del universo"
"¿Quién escribió ""El Mito de Sísifo""?","Albert Camus"
"¿Qué es el concepto de ""el Otro"" de Sartre?","Otras personas cuya mirada nos objetiva y limita nuestra libertad"
"¿Quién escribió ""El Ser y la Nada""?","Jean-Paul Sartre"
"¿Qué es el concepto de Dasein de Heidegger?","Existencia humana o ""ser-ahí"" - nuestra manera de existir en el mundo"
"¿Qué es ser-arrojado (Geworfenheit)?","La condición de encontrarnos existiendo en un mundo que no elegimos"
"¿Qué es la angustia o ansiedad existencial?","El pavor que surge de la consciencia de la libertad y responsabilidad"
"¿Quién escribió ""Temor y Temblor""?","Søren Kierkegaard"
"¿Qué es el salto de fe?","El concepto de Kierkegaard de comprometerse con la creencia a pesar de la incertidumbre racional"
"¿Quién escribió ""El Segundo Sexo""?","Simone de Beauvoir"
"¿Qué quiso decir de Beauvoir con ""No se nace mujer, se llega a serlo""?","El género es socialmente construido, no biológicamente determinado"
"¿Qué es el concepto de Übermensch de Nietzsche?","El ideal de una persona que crea sus propios valores y significado"
"¿Qué significa ""Dios ha muerto"" para Nietzsche?","Las fundaciones religiosas y morales tradicionales han perdido su autoridad en la vida moderna"
"¿Qué es el eterno retorno?","El experimento mental de Nietzsche: ¿vivirías tu vida de la misma manera infinitamente?"
"¿Qué es el nihilismo?","La creencia de que la vida carece de significado, propósito o valor objetivo"
"¿Quién escribió ""Así Habló Zaratustra""?","Friedrich Nietzsche"
"¿Qué es la facticidad?","Los hechos concretos de la situación de uno que limitan pero no determinan las elecciones"
"¿Qué es la trascendencia en el existencialismo?","La capacidad de ir más allá de la situación actual a través de elecciones y proyectos"
"¿Quién escribió ""El Extranjero""?","Albert Camus"
"¿Qué es el ser-para-la-muerte de Heidegger?","La existencia auténtica requiere confrontar nuestra mortalidad"
"¿Cuál es la visión existencialista de la naturaleza humana?","No hay naturaleza humana fija - nos creamos a nosotros mismos a través de nuestras elecciones"
"¿Quién escribió ""La Náusea""?","Jean-Paul Sartre"
"¿Qué es el compromiso (engagement) en el existencialismo?","Asumir responsabilidad a través de involucramiento activo en el mundo"
"¿Cuál es la relación entre libertad y responsabilidad en el existencialismo?","Libertad completa implica responsabilidad completa por las elecciones y sus consecuencias"
