"front","back"
"O que é existencialismo?","Um movimento filosófico que enfatiza a existência individual, liberdade e escolha"
"Quem é considerado o pai do existencialismo?","Søren Kierkegaard"
"O que significa ""a existência precede a essência""?","Humanos existem primeiro e se definem através de ações em vez de terem uma natureza predeterminada"
"Quem disse ""O homem está condenado a ser livre""?","Jean-Paul Sartre"
"O que é autenticidade no existencialismo?","Viver de acordo com seus próprios valores e escolhas em vez de se conformar a expectativas externas"
"O que é má-fé (mauvaise foi)?","Autoengano onde se nega a própria liberdade e responsabilidade"
"O que é o absurdo segundo Camus?","O conflito entre a busca humana por significado e a indiferença silenciosa do universo"
"Quem escreveu ""O Mito de Sísifo""?","Albert Camus"
"O que é o conceito de ""o Outro"" de Sartre?","Outras pessoas cujo olhar nos objetifica e limita nossa liberdade"
"Quem escreveu ""O Ser e o Nada""?","Jean-Paul Sartre"
"O que é o conceito de Dasein de Heidegger?","Existência humana ou ""ser-aí"" - nossa maneira de existir no mundo"
"O que é ser-lançado (Geworfenheit)?","A condição de nos encontrarmos existindo em um mundo que não escolhemos"
"O que é angústia ou ansiedade existencial?","O pavor que surge da consciência da liberdade e responsabilidade"
"Quem escreveu ""Temor e Tremor""?","Søren Kierkegaard"
"O que é o salto de fé?","O conceito de Kierkegaard de se comprometer com a crença apesar da incerteza racional"
"Quem escreveu ""O Segundo Sexo""?","Simone de Beauvoir"
"O que de Beauvoir quis dizer com ""Não se nasce mulher, torna-se mulher""?","Gênero é socialmente construído, não biologicamente determinado"
"O que é o conceito de Übermensch de Nietzsche?","O ideal de uma pessoa que cria seus próprios valores e significado"
"O que significa ""Deus está morto"" para Nietzsche?","As fundações religiosas e morais tradicionais perderam sua autoridade na vida moderna"
"O que é eterno retorno?","O experimento mental de Nietzsche: você viveria sua vida da mesma forma infinitamente?"
"O que é niilismo?","A crença de que a vida carece de significado, propósito ou valor objetivo"
"Quem escreveu ""Assim Falou Zaratustra""?","Friedrich Nietzsche"
"O que é facticidade?","Os fatos concretos da situação de alguém que limitam mas não determinam escolhas"
"O que é transcendência no existencialismo?","A capacidade de ir além da situação atual através de escolhas e projetos"
"Quem escreveu ""O Estrangeiro""?","Albert Camus"
"O que é o ser-para-a-morte de Heidegger?","A existência autêntica requer confrontar nossa mortalidade"
"Qual é a visão existencialista da natureza humana?","Não há natureza humana fixa - nós nos criamos através de nossas escolhas"
"Quem escreveu ""A Náusea""?","Jean-Paul Sartre"
"O que é compromisso (engagement) no existencialismo?","Assumir responsabilidade através de envolvimento ativo no mundo"
"Qual é a relação entre liberdade e responsabilidade no existencialismo?","Liberdade completa implica responsabilidade completa por suas escolhas e suas consequências"
