"front","back"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"Who painted The Starry Night?","Vincent van Gogh"
"Who painted The Scream?","Edvard Munch"
"Who sculpted David?","Michelangelo"
"Who painted the Sistine Chapel ceiling?","Michelangelo"
"What art movement featured melting clocks and dreamlike imagery?","Surrealism"
"What art movement used bold colors and visible brushstrokes?","Impressionism"
"What art movement featured geometric shapes and multiple perspectives?","Cubism"
"Who founded Cubism?","Pablo Picasso and Georges Braque"
"Who painted Guernica?","Pablo Picasso"
"What is the Renaissance?","A cultural rebirth in Europe from the 14th to 17th century"
"Who painted The Birth of Venus?","Sandro Botticelli"
"Who painted The Last Supper?","Leonardo da Vinci"
"What art movement rejected traditional techniques for abstract expression?","Abstract Expressionism"
"Who is known for drip painting?","Jackson Pollock"
"Who painted Campbell's Soup Cans?","Andy Warhol"
"What art movement used popular culture imagery?","Pop Art"
"Who sculpted The Thinker?","Auguste Rodin"
"What is Baroque art known for?","Dramatic lighting, rich colors, and emotional intensity"
"Who painted Girl with a Pearl Earring?","Johannes Vermeer"
"What is chiaroscuro?","The use of strong contrasts between light and dark"
"Who painted The Persistence of Memory?","Salvador Dalí"
"What art movement sought to capture light and movement?","Impressionism"
"Who is considered the father of Impressionism?","Claude Monet"
"Who painted Water Lilies series?","Claude Monet"
"What is Pointillism?","A technique using small dots of color to form images"
"Who developed Pointillism?","Georges Seurat"
"What is Fauvism known for?","Wild brushwork and bold, non-naturalistic colors"
"Who led the Fauvist movement?","Henri Matisse"
"What art movement emerged in early 20th century Russia?","Constructivism"
"Who painted The Kiss?","Gustav Klimt"
"What is Art Nouveau?","A decorative style featuring flowing, organic lines"
"What is Art Deco?","A geometric decorative style popular in the 1920s-30s"
"Who designed Fallingwater?","Frank Lloyd Wright"
"What is the Bauhaus?","A German art school that combined crafts and fine arts"
"Who founded the Bauhaus?","Walter Gropius"
"What is Dadaism?","An avant-garde movement rejecting logic and reason"
"Who created the readymade ""Fountain""?","Marcel Duchamp"
"What is a fresco?","A painting technique on wet plaster"
"Who painted The Night Watch?","Rembrandt van Rijn"
"What art period featured dark backgrounds and dramatic poses?","Baroque"
"Who painted Las Meninas?","Diego Velázquez"
"What is trompe l'oeil?","An art technique creating optical illusions of 3D space"
"Who painted American Gothic?","Grant Wood"
"What is Minimalism?","An art movement using simple geometric forms"
"Who is known for large-scale steel sculptures?","Richard Serra"
"What is installation art?","Art designed for a specific space or environment"
"Who wrapped buildings in fabric?","Christo and Jeanne-Claude"
"What is street art?","Art created in public spaces, often without permission"
"Who is the anonymous street artist known for stencil works?","Banksy"
