"front","back"
"O que é ES6 (ECMAScript 2015)?","A 6ª edição do padrão ECMAScript, que introduziu novos recursos e sintaxe importantes ao JavaScript"
"O que são arrow functions no ES6?","Uma sintaxe mais curta para escrever funções usando '=>', ex: const soma = (a, b) => a + b"
"O que é 'let' no ES6?","Uma declaração de variável com escopo de bloco, limitando sua visibilidade ao bloco em que foi declarada"
"O que é 'const' no ES6?","Uma declaração de variável de escopo de bloco cuja referência não pode ser reatribuída após a inicialização"
"Qual a diferença entre 'let' e 'var'?","'let' tem escopo de bloco e não sofre hoisting ao topo da função; 'var' tem escopo de função e sofre hoisting"
"O que são template literals no ES6?","Strings delimitadas por crases (`) que permitem expressões embutidas com ${expressão}"
"O que é destructuring (desestruturação) no ES6?","Sintaxe que desempacota valores de arrays ou propriedades de objetos em variáveis distintas, ex: const {a, b} = obj"
"O que são parâmetros padrão de função no ES6?","Parâmetros com valores predefinidos usados quando nenhum argumento é fornecido, ex: function saudar(nome = 'Mundo')"
"O que é o parâmetro rest (...) no ES6?","Permite que uma função aceite um número indefinido de argumentos como array, ex: function soma(...nums)"
"O que é o operador spread (...) no ES6?","Expande um iterável (array, objeto) em elementos individuais, ex: const unido = [...arr1, ...arr2]"
"O que são classes ES6?","Açúcar sintático sobre a herança baseada em protótipos do JavaScript, com sintaxe mais limpa para constructor e métodos"
"O que é a palavra-chave 'extends' no ES6?","Usada para criar uma subclasse (classe filha) que herda de uma classe pai"
"O que é a palavra-chave 'super' no ES6?","Refere-se ao constructor ou métodos da classe pai; usado dentro de uma subclasse"
"O que são Promises no ES6?","Objetos que representam a conclusão ou falha eventual de uma operação assíncrona, com .then() e .catch()"
"Quais são os três estados de uma Promise?","Pendente (inicial), Cumprida (concluída com sucesso) e Rejeitada (falhou)"
"O que é Promise.all()?","Método que recebe um array de promises e resolve quando todas são cumpridas, ou rejeita se alguma falhar"
"O que são módulos ES6?","Sistema para organizar código em arquivos reutilizáveis usando instruções 'export' e 'import'"
"O que 'export default' faz no ES6?","Exporta um único valor padrão de um módulo, podendo ser importado sem chaves"
"O que é 'import' no ES6?","Instrução para trazer valores exportados de outro módulo, ex: import { funcao } from './modulo'"
"O que é o objeto Map no ES6?","Uma coleção de pares chave-valor onde as chaves podem ser de qualquer tipo (não apenas strings)"
"O que é o objeto Set no ES6?","Uma coleção de valores únicos — duplicatas são automaticamente ignoradas"
"O que são Symbols no ES6?","Um tipo de dado primitivo para identificadores únicos e imutáveis, criados com Symbol('descricao')"
"O que é notação abreviada de objetos no ES6?","Quando o nome da propriedade coincide com o nome da variável, pode-se escrever {nome} em vez de {nome: nome}"
"O que são nomes de propriedade computados no ES6?","Permite usar expressões como chaves de propriedade em literais de objeto, ex: { [nomeVar]: valor }"
"O que é o loop for...of no ES6?","Itera sobre objetos iteráveis (arrays, strings, Maps, Sets), ex: for (const item of array)"
"Qual a diferença entre for...in e for...of?","for...in itera sobre as chaves de um objeto; for...of itera sobre os valores de um iterável"
"O que são generators no ES6?","Funções que podem pausar a execução e retomá-la depois, definidas com function* e usando 'yield'"
"O que é 'yield' em uma função generator?","Pausa o generator e retorna um valor; a execução recomeça desse ponto na próxima chamada .next()"
"O que é o protocolo Iterator no ES6?","Uma interface que exige um método .next() que retorna objetos {value, done} para percorrer uma sequência"
"O que é Object.assign() no ES6?","Copia propriedades enumeráveis próprias de um ou mais objetos fonte para um objeto destino"
"O que é Array.from() no ES6?","Cria um novo array a partir de um objeto array-like ou iterável, ex: Array.from('ola') → ['o','l','a']"
"O que é Array.find() no ES6?","Retorna o primeiro elemento do array que satisfaz uma função de teste, ou undefined se não encontrado"
"O que é Array.includes() no ES6?","Retorna true se o array contém um elemento especificado, ou false caso contrário"
