"front","back"
"Qual maravilha antiga era um farol na ilha de Faros no Egito?","Farol de Alexandria — uma das Sete Maravilhas do Mundo Antigo, construído por volta de 280 a.C., tinha aproximadamente 100 metros de altura"
"Qual marco italiano é famoso por sua inclinação não intencional?","Torre de Pisa — torre sineira iniciada em 1173, inclina devido ao solo macio, atualmente inclinada cerca de 4 graus"
"Qual é o maior anfiteatro antigo já construído?","O Coliseu de Roma — concluído em 80 d.C., comportava 50.000-80.000 espectadores para combates de gladiadores"
"Qual monumento indiano foi construído por Shah Jahan como mausoléu para sua esposa?","Taj Mahal — mausoléu de mármore branco em Agra, concluído por volta de 1653, considerado obra-prima da arquitetura mogol"
"Qual é o edifício mais alto do mundo em 2024?","Burj Khalifa em Dubai — tem 828 metros de altura, concluído em 2010, possui 163 andares"
"Qual antigo templo grego na Acrópole era dedicado a Atena?","O Partenon — construído entre 447-432 a.C. em Atenas, considerado o melhor exemplo de arquitetura dórica"
"Qual estrutura famosa conecta os bairros de Manhattan e Brooklyn?","Ponte do Brooklyn — concluída em 1883, primeira ponte suspensa com cabos de aço, projetada por John Augustus Roebling"
"Qual arquiteto espanhol projetou a inacabada basílica da Sagrada Família?","Antoni Gaudí — construção iniciada em 1882 em Barcelona, combina formas góticas e Art Nouveau"
"Qual é a maior catedral gótica do mundo?","Catedral de Sevilha na Espanha — concluída no século XVI, construída no local de uma antiga mesquita"
"Qual marco australiano tem um design distintivo em forma de vela?","Ópera de Sydney — projetada por Jørn Utzon, inaugurada em 1973, Patrimônio Mundial da UNESCO"
"Qual forma de templo mesopotâmico antigo lembra uma pirâmide escalonada?","Zigurate — estruturas terraplanadas massivas construídas na antiga Mesopotâmia, serviam como templos"
"Qual palácio francês foi a principal residência real de 1682 a 1789?","Palácio de Versalhes — originalmente um pavilhão de caça, expandido por Luís XIV em um complexo opulento"
"Qual é a muralha mais longa já construída por humanos?","Grande Muralha da China — mais de 21.000 km incluindo todos os ramais, construída ao longo de séculos desde o século VII a.C."
"Qual arranha-céu de Nova York foi o mais alto do mundo por quase 40 anos?","Empire State Building — concluído em 1931, tinha 381 metros, manteve o recorde até 1970"
"Qual antigo monumento de pedra na Inglaterra consiste em um círculo de pedras verticais?","Stonehenge — monumento pré-histórico construído em etapas de cerca de 3000-2000 a.C., propósito ainda debatido"
"Qual torre foi construída como arco de entrada para a Feira Mundial de 1889?","Torre Eiffel em Paris — projetada por Gustave Eiffel, originalmente 300 metros de altura, deveria ser temporária"
"Qual é o maior monumento religioso do mundo?","Angkor Wat no Camboja — complexo de templos hindu-budista construído no século XII, cobre 162,6 hectares"
"Qual marco de São Francisco é pintado de 'Laranja Internacional'?","Ponte Golden Gate — ponte suspensa concluída em 1937, extensão total de 2.737 metros"
"Qual maravilha antiga era um túmulo massivo para o faraó egípcio Quéops?","Grande Pirâmide de Gizé — construída por volta de 2560 a.C., mais antiga das Sete Maravilhas e única ainda de pé"
"Qual edifício em Bilbao revitalizou a cidade e foi pioneiro na 'arquitetura de grife'?","Museu Guggenheim Bilbao — projetado por Frank Gehry, inaugurado em 1997, conhecido pelas curvas de titânio"
"Qual marco russo apresenta cúpulas coloridas em forma de cebola?","Catedral de São Basílio em Moscou — construída 1555-1561 por Ivan, o Terrível, possui nove capelas"
"Qual antiga cidade jordaniana foi esculpida em falésias rosa-avermelhadas?","Petra — antiga cidade nabateia estabelecida por volta de 312 a.C., famosa por sua arquitetura escavada na rocha"
"Qual é a maior cúpula construída antes do século XX?","Cúpula do Panteão em Roma — 43,3 metros de diâmetro, construída por volta de 125 d.C., concreto não armado"
"Qual marco londrino contém as Casas do Parlamento?","Palácio de Westminster — edifício neogótico reconstruído após incêndio de 1834, inclui a torre do Big Ben"
"Qual fortaleza medieval em Praga domina o rio Vltava?","Castelo de Praga — maior complexo de castelo antigo do mundo com cerca de 70.000 metros quadrados"
"Qual arranha-céu de Chicago foi pioneiro no método de construção com estrutura de aço?","Home Insurance Building — construído em 1885, demolido em 1931, considerado primeiro verdadeiro arranha-céu"
"Qual antigo teatro grego ao ar livre tinha acústica excepcional?","Teatro de Epidauro — construído no século IV a.C., comporta 14.000 pessoas, sussurros audíveis do palco"
"Qual marco de Pequim foi o palácio imperial chinês por 500 anos?","Cidade Proibida — construída 1406-1420, possui 980 edifícios, maior complexo palaciano do mundo"
"Qual castelo alemão inspirou o Castelo da Bela Adormecida da Disney?","Castelo de Neuschwanstein — construído para Luís II da Baviera a partir de 1869, estilo neorromânico"
"Qual antiga cidadela inca fica no alto dos Andes peruanos?","Machu Picchu — construída por volta de 1450 d.C. a 2.430 metros de altitude, redescoberta em 1911"
