"front","back"
"¿Qué es la energía renovable?","Energía de fuentes naturales que se reponen en una escala de tiempo humana, como sol, viento, agua y biomasa"
"¿Cuál es la fuente renovable más abundante en la Tierra?","La energía solar"
"¿Cómo generan electricidad los paneles solares fotovoltaicos (PV)?","Convierten la luz solar directamente en electricidad usando celdas semiconductoras"
"¿Qué convierte una turbina eólica?","La energía cinética del viento en energía eléctrica"
"¿Qué es la energía hidroeléctrica?","Electricidad generada a partir del flujo o caída del agua"
"¿Qué es la energía geotérmica?","Energía obtenida del calor almacenado bajo la superficie de la Tierra"
"¿Qué es la energía de biomasa?","Energía producida a partir de materiales orgánicos como madera, residuos agrícolas y biogás"
"¿Cuál es el principal beneficio climático de las renovables?","Reducen en gran medida las emisiones de gases de efecto invernadero frente a los combustibles fósiles"
"¿Qué es la intermitencia en renovables?","Variación de la generación por cambios del clima o de la luz solar"
"¿Por qué es importante el almacenamiento en baterías para renovables?","Almacena electricidad excedente y entrega energía cuando la generación baja"
"¿Qué es la compensación de excedentes (net metering)?","Sistema de facturación que acredita a dueños de solar por la energía enviada a la red"
"¿Qué es un PPA?","Un contrato de largo plazo para comprar electricidad a un precio acordado"
"¿Qué significa LCOE?","Costo nivelado de la energía, métrica para comparar costos de generación durante la vida útil"
"¿Qué es la eólica marina (offshore)?","Energía eólica generada por turbinas instaladas en cuerpos de agua, normalmente en el mar"
"¿Qué es la energía solar de concentración (CSP)?","Tecnología que usa espejos para concentrar luz solar y producir calor para generar electricidad"
"¿Qué es una red eléctrica inteligente (smart grid)?","Una red con controles digitales para mejorar eficiencia y confiabilidad"
"¿Qué es la generación distribuida?","Producción eléctrica desde muchas fuentes pequeñas y locales cerca de los usuarios"
"¿Qué es el curtailment en sistemas renovables?","Reducir la producción renovable porque la red no puede absorber toda la energía disponible"
"¿Qué es el hidrógeno verde?","Hidrógeno producido con electricidad renovable para separar agua mediante electrólisis"
"¿Por qué son importantes las líneas de transmisión para energía limpia?","Llevan electricidad desde zonas con muchos recursos hacia centros de demanda"
"¿Qué es el factor de capacidad de una planta?","Producción real en un periodo dividida por la producción máxima posible"
"¿Qué fuente renovable se usa más globalmente para electricidad hoy?","La hidroeléctrica"
"¿Qué es el almacenamiento hidroeléctrico por bombeo?","Método que bombea agua cuesta arriba cuando la energía es barata y la libera después"
"¿Qué son los certificados de energía renovable (RECs)?","Certificados comerciables que prueban la generación de electricidad renovable"
"¿Cuál es un reto de la adopción de solar en tejados?","El costo inicial de instalación, aunque los costos operativos sean bajos"
"¿Cómo mejoran las renovables la seguridad energética?","Reducen dependencia de combustibles importados y diversifican el suministro"
"¿Cuál es el papel de los inversores en sistemas solares?","Convertir electricidad DC de paneles en AC para hogares y red"
"¿Qué es la energía solar comunitaria?","Proyecto solar compartido que permite a varios usuarios recibir créditos en su factura"
"¿Qué significa descarbonizar la electricidad?","Reducir emisiones del sector eléctrico sustituyendo generación fósil por fuentes de bajo carbono"
"¿Cuál es un co-beneficio clave de reemplazar carbón por renovables?","Aire más limpio y menor impacto en salud pública"
