front,back
¿Qué es el sesgo de confirmación?,"La tendencia a buscar, interpretar y recordar información que confirma las creencias preexistentes"
¿Qué es el efecto placebo?,"Un efecto beneficioso producido por un tratamiento que no puede atribuirse al tratamiento en sí, causado por la creencia del paciente"
¿Qué es la disonancia cognitiva?,"Malestar mental experimentado al mantener dos creencias, valores o actitudes conflictivas simultáneamente"
¿Quién realizó el Experimento de la Prisión de Stanford?,"Philip Zimbardo en 1971"
¿Qué es el efecto espectador?,"El fenómeno donde los individuos son menos propensos a ayudar a una víctima cuando otros están presentes"
¿Qué es el condicionamiento clásico?,"Un proceso de aprendizaje donde un estímulo neutro se asocia con una respuesta involuntaria, descubierto por Ivan Pavlov"
¿Qué es el condicionamiento operante?,"Un método de aprendizaje usando recompensas y castigos para modificar el comportamiento, desarrollado por B.F. Skinner"
¿Qué es la jerarquía de necesidades de Maslow?,"Una teoría motivacional con cinco niveles: fisiológico, seguridad, amor/pertenencia, estima y autorrealización"
¿Qué es el efecto Dunning-Kruger?,"Un sesgo cognitivo donde las personas con competencia limitada sobreestiman sus habilidades"
¿Qué es el efecto halo?,"La tendencia de que una impresión en un área influya en la opinión en otra área (ej: personas atractivas vistas como más inteligentes)"
¿Cuál es la capacidad de la memoria a corto plazo?,"Típicamente 7±2 elementos (Ley de Miller)"
¿Qué demostraron los experimentos de obediencia de Stanley Milgram?,"Que las personas comunes seguirían órdenes para administrar descargas eléctricas aparentemente dañinas a otros"
¿Qué es la respuesta de lucha o huida?,"Una reacción fisiológica ante amenazas percibidas, activando el sistema nervioso simpático"
¿Qué es la motivación intrínseca?,"Motivación impulsada por recompensas internas como el disfrute o satisfacción personal, en lugar de recompensas externas"
¿Qué es el modelo del id, ego y superego de Sigmund Freud?,"Tres partes de la personalidad: id (instintos), ego (realidad), superego (moralidad)"
¿Qué es el sesgo de anclaje?,"La tendencia a confiar mucho en la primera información encontrada al tomar decisiones"
¿Qué es el efecto de mera exposición?,"La tendencia a desarrollar preferencia por las cosas simplemente porque estamos familiarizados con ellas"
¿Qué es la indefensión aprendida?,"Una condición donde una persona se siente impotente después de fracasos repetidos, descubierta por Martin Seligman"
¿Qué es el sueño REM?,"Sueño de Movimiento Rápido de los Ojos, asociado con sueños vívidos y consolidación de la memoria"
¿Qué es la neuroplasticidad?,"La capacidad del cerebro de reorganizarse formando nuevas conexiones neuronales a lo largo de la vida"
¿Qué es la inteligencia emocional (CE)?,"La capacidad de reconocer, entender y gestionar las propias emociones y las emociones de los demás"
¿Qué es la heurística de disponibilidad?,"Un atajo mental que se basa en ejemplos inmediatos que vienen a la mente al evaluar un tema"
¿Qué es la proyección (mecanismo de defensa)?,"Atribuir los propios pensamientos o sentimientos inaceptables a otros"
¿Qué es el efecto Stroop?,"Tiempo de reacción retrasado cuando el color de una palabra difiere de la palabra misma (ej: la palabra 'ROJO' escrita en azul)"
¿Quién es el padre de la psicología moderna?,"Wilhelm Wundt, quien estableció el primer laboratorio de psicología en 1879"
¿Qué es el efecto de recencia?,"La tendencia a recordar mejor la información presentada más recientemente"
¿Qué es el efecto de primacía?,"La tendencia a recordar mejor la información presentada primero que la presentada después"
¿Qué es la holgazanería social?,"La tendencia de los individuos a esforzarse menos cuando trabajan en grupo que cuando trabajan solos"
¿Qué es el efecto foco?,"La tendencia a sobreestimar cuánto los demás notan nuestra apariencia o comportamiento"
¿Qué es el aprendizaje observacional?,"Aprender observando e imitando a otros, estudiado extensivamente por Albert Bandura"
