"front","back"
"¿Cuál es la capital de Estados Unidos?","Washington D.C."
"¿Cuál es la capital de Canadá?","Ottawa"
"¿Cuál es la capital de México?","Ciudad de México"
"¿Cuál es la capital de Brasil?","Brasilia"
"¿Cuál es la capital de Argentina?","Buenos Aires"
"¿Cuál es la capital de Chile?","Santiago"
"¿Cuál es la capital de Colombia?","Bogotá"
"¿Cuál es la capital de Perú?","Lima"
"¿Cuál es la capital de Venezuela?","Caracas"
"¿Cuál es la capital de Ecuador?","Quito"
"¿Cuál es la capital de Bolivia?","La Paz y Sucre"
"¿Cuál es la capital de Paraguay?","Asunción"
"¿Cuál es la capital de Uruguay?","Montevideo"
"¿Cuál es la capital de Cuba?","La Habana"
"¿Cuál es la capital de Jamaica?","Kingston"
"¿Cuál es la capital de Haití?","Puerto Príncipe"
"¿Cuál es la capital de República Dominicana?","Santo Domingo"
"¿Cuál es la capital de Costa Rica?","San José"
"¿Cuál es la capital de Panamá?","Ciudad de Panamá"
"¿Cuál es la capital de Guatemala?","Ciudad de Guatemala"
"¿Cuál es la capital del Reino Unido?","Londres"
"¿Cuál es la capital de Francia?","París"
"¿Cuál es la capital de Alemania?","Berlín"
"¿Cuál es la capital de Italia?","Roma"
"¿Cuál es la capital de España?","Madrid"
"¿Cuál es la capital de Portugal?","Lisboa"
"¿Cuál es la capital de Países Bajos?","Ámsterdam"
"¿Cuál es la capital de Bélgica?","Bruselas"
"¿Cuál es la capital de Suiza?","Berna"
"¿Cuál es la capital de Austria?","Viena"
"¿Cuál es la capital de Polonia?","Varsovia"
"¿Cuál es la capital de República Checa?","Praga"
"¿Cuál es la capital de Hungría?","Budapest"
"¿Cuál es la capital de Grecia?","Atenas"
"¿Cuál es la capital de Suecia?","Estocolmo"
"¿Cuál es la capital de Noruega?","Oslo"
"¿Cuál es la capital de Dinamarca?","Copenhague"
"¿Cuál es la capital de Finlandia?","Helsinki"
"¿Cuál es la capital de Irlanda?","Dublín"
"¿Cuál es la capital de Rusia?","Moscú"
"¿Cuál es la capital de Ucrania?","Kiev"
"¿Cuál es la capital de Rumania?","Bucarest"
"¿Cuál es la capital de Bulgaria?","Sofía"
"¿Cuál es la capital de Serbia?","Belgrado"
"¿Cuál es la capital de Croacia?","Zagreb"
"¿Cuál es la capital de Eslovenia?","Liubliana"
"¿Cuál es la capital de Eslovaquia?","Bratislava"
"¿Cuál es la capital de Turquía?","Ankara"
"¿Cuál es la capital de China?","Pekín"
"¿Cuál es la capital de Japón?","Tokio"
"¿Cuál es la capital de Corea del Sur?","Seúl"
"¿Cuál es la capital de Corea del Norte?","Pyongyang"
"¿Cuál es la capital de India?","Nueva Delhi"
"¿Cuál es la capital de Pakistán?","Islamabad"
"¿Cuál es la capital de Bangladesh?","Daca"
"¿Cuál es la capital de Indonesia?","Yakarta"
"¿Cuál es la capital de Filipinas?","Manila"
"¿Cuál es la capital de Vietnam?","Hanói"
"¿Cuál es la capital de Tailandia?","Bangkok"
"¿Cuál es la capital de Malasia?","Kuala Lumpur"
"¿Cuál es la capital de Singapur?","Singapur"
"¿Cuál es la capital de Myanmar?","Naypyidaw"
"¿Cuál es la capital de Camboya?","Phnom Penh"
"¿Cuál es la capital de Nepal?","Katmandú"
"¿Cuál es la capital de Sri Lanka?","Colombo"
"¿Cuál es la capital de Mongolia?","Ulán Bator"
"¿Cuál es la capital de Taiwán?","Taipéi"
"¿Cuál es la capital de Australia?","Canberra"
"¿Cuál es la capital de Nueva Zelanda?","Wellington"
"¿Cuál es la capital de Egipto?","El Cairo"
"¿Cuál es la capital de Sudáfrica?","Pretoria, Ciudad del Cabo y Bloemfontein"
"¿Cuál es la capital de Nigeria?","Abuya"
"¿Cuál es la capital de Kenia?","Nairobi"
"¿Cuál es la capital de Etiopía?","Adís Abeba"
"¿Cuál es la capital de Marruecos?","Rabat"
"¿Cuál es la capital de Argelia?","Argel"
"¿Cuál es la capital de Ghana?","Acra"
"¿Cuál es la capital de Tanzania?","Dodoma"
"¿Cuál es la capital de Uganda?","Kampala"
"¿Cuál es la capital de Zimbabue?","Harare"
"¿Cuál es la capital de Senegal?","Dakar"
"¿Cuál es la capital de Costa de Marfil?","Yamusukro"
"¿Cuál es la capital de Camerún?","Yaundé"
"¿Cuál es la capital de Angola?","Luanda"
"¿Cuál es la capital de Arabia Saudita?","Riad"
"¿Cuál es la capital de Irán?","Teherán"
"¿Cuál es la capital de Irak?","Bagdad"
"¿Cuál es la capital de Israel?","Jerusalén"
"¿Cuál es la capital de Jordania?","Amán"
"¿Cuál es la capital de Líbano?","Beirut"
"¿Cuál es la capital de Siria?","Damasco"
"¿Cuál es la capital de Emiratos Árabes Unidos?","Abu Dabi"
"¿Cuál es la capital de Catar?","Doha"
"¿Cuál es la capital de Kuwait?","Ciudad de Kuwait"
"¿Cuál es la capital de Afganistán?","Kabul"
"¿Cuál es la capital de Kazajistán?","Astaná"
"¿Cuál es la capital de Uzbekistán?","Taskent"
"¿Cuál es la capital de Islandia?","Reikiavik"
"¿Cuál es la capital de Luxemburgo?","Ciudad de Luxemburgo"
"¿Cuál es la capital de Malta?","La Valeta"
"¿Cuál es la capital de Chipre?","Nicosia"
"¿Cuál es la capital de Estonia?","Tallin"
"¿Cuál es la capital de Letonia?","Riga"
"¿Cuál es la capital de Lituania?","Vilna"
"¿Cuál es la capital de Bielorrusia?","Minsk"
"¿Cuál es la capital de Moldavia?","Chisináu"
"¿Cuál es la capital de Albania?","Tirana"
"¿Cuál es la capital de Macedonia del Norte?","Skopje"
"¿Cuál es la capital de Montenegro?","Podgorica"
"¿Cuál es la capital de Bosnia y Herzegovina?","Sarajevo"
"¿Cuál es la capital de Kosovo?","Pristina"
"¿Cuál es la capital de Georgia?","Tiflis"
"¿Cuál es la capital de Armenia?","Ereván"
"¿Cuál es la capital de Azerbaiyán?","Bakú"
"¿Cuál es la capital de Laos?","Vientián"
"¿Cuál es la capital de Brunéi?","Bandar Seri Begawan"
"¿Cuál es la capital de Timor Oriental?","Dili"
"¿Cuál es la capital de Fiyi?","Suva"
"¿Cuál es la capital de Papúa Nueva Guinea?","Port Moresby"
"¿Cuál es la capital de Libia?","Trípoli"
"¿Cuál es la capital de Túnez?","Túnez"
"¿Cuál es la capital de Sudán?","Jartum"
"¿Cuál es la capital de Sudán del Sur?","Yuba"
"¿Cuál es la capital de República Democrática del Congo?","Kinsasa"
"¿Cuál es la capital de República del Congo?","Brazzaville"
"¿Cuál es la capital de Madagascar?","Antananarivo"
"¿Cuál es la capital de Mozambique?","Maputo"
"¿Cuál es la capital de Zambia?","Lusaka"
"¿Cuál es la capital de Botsuana?","Gaborone"
"¿Cuál es la capital de Namibia?","Windhoek"
"¿Cuál es la capital de Ruanda?","Kigali"
"¿Cuál es la capital de Omán?","Mascate"
"¿Cuál es la capital de Baréin?","Manama"
"¿Cuál es la capital de Yemen?","Saná"
"¿Cuál es la capital de Bután?","Thimphu"
"¿Cuál es la capital de Maldivas?","Malé"
"¿Cuál es la capital de Mónaco?","Mónaco"
"¿Cuál es la capital de Ciudad del Vaticano?","Ciudad del Vaticano"
"¿Cuál es la capital de Andorra?","Andorra la Vieja"
"¿Cuál es la capital de Liechtenstein?","Vaduz"
"¿Cuál es la capital de San Marino?","San Marino"
