"front","back"
"Onde foram realizados os primeiros Jogos Olímpicos modernos?","Atenas, Grécia em 1896"
"Quem fundou os Jogos Olímpicos modernos?","Pierre de Coubertin"
"O que os cinco anéis olímpicos representam?","Os cinco continentes do mundo (África, Américas, Ásia, Europa, Oceania)"
"Quais são as cores dos anéis olímpicos?","Azul, amarelo, preto, verde e vermelho"
"Qual é o lema olímpico?","Citius, Altius, Fortius (Mais Rápido, Mais Alto, Mais Forte) - atualizado para incluir Communiter (Juntos) em 2021"
"Com que frequência são realizados os Jogos Olímpicos de Verão?","A cada quatro anos"
"Com que frequência são realizados os Jogos Olímpicos de Inverno?","A cada quatro anos (deslocado dois anos dos Jogos de Verão)"
"Qual país ganhou mais medalhas de ouro nos Jogos Olímpicos de Verão?","Estados Unidos"
"Qual país ganhou mais medalhas de ouro nos Jogos Olímpicos de Inverno?","Noruega"
"O que é a chama olímpica?","Um símbolo dos Jogos Olímpicos, acesa em Olímpia e carregada por revezamento de tocha até a cidade-sede"
"Quem foi a primeira mulher a competir nas Olimpíadas modernas?","Mulheres competiram pela primeira vez nos Jogos Olímpicos de Paris 1900 (tênis e golfe)"
"Qual atleta ganhou mais medalhas de ouro olímpicas?","Michael Phelps com 23 medalhas de ouro"
"Qual cidade sediou mais Jogos Olímpicos de Verão?","Londres (1908, 1948, 2012)"
"Em que ano as Olimpíadas foram canceladas devido à Primeira Guerra Mundial?","1916 (Berlim)"
"Em que anos as Olimpíadas foram canceladas devido à Segunda Guerra Mundial?","1940 e 1944"
"O que são os Jogos Paralímpicos?","Evento esportivo internacional para atletas com deficiência, realizado após as Olimpíadas"
"Quando começaram os Jogos Olímpicos de Inverno?","1924 em Chamonix, França"
"Qual é o significado do revezamento da tocha olímpica?","Simboliza a passagem das tradições olímpicas da Grécia para o país-sede"
"Quem acendeu a pira olímpica nos Jogos de Atlanta 1996?","Muhammad Ali"
"O que aconteceu nas Olimpíadas de Munique 1972?","Ataque terrorista de grupo palestino matou 11 atletas e treinadores israelenses"
"Qual país boicotou as Olimpíadas de Moscou 1980?","Estados Unidos e outros 65 países (protestando contra a invasão soviética do Afeganistão)"
"Qual país boicotou as Olimpíadas de Los Angeles 1984?","União Soviética e 13 países aliados"
"O que é o decatlo?","Um evento combinado com 10 disciplinas de atletismo em dois dias"
"Qual é a distância da maratona e por quê?","42,195 km, baseada na lenda de Fidípides correndo de Maratona a Atenas"
"Quem é Usain Bolt?","Velocista jamaicano, detém recordes mundiais nos 100m (9,58s) e 200m (19,19s)"
"O que significa COI?","Comitê Olímpico Internacional"
"Onde serão realizados os Jogos Olímpicos de Verão de 2028?","Los Angeles, EUA"
"Onde serão realizados os Jogos Olímpicos de Verão de 2032?","Brisbane, Austrália"
"Qual esporte voltou às Olimpíadas em 2016 após 112 anos?","Golfe"
"Qual esporte estreou nas Olimpíadas de Tóquio 2020?","Skate, surfe, escalada esportiva e karatê"
