"front","back"
"¿Quién fue el primer humano en el espacio?","Yuri Gagarin (Unión Soviética) el 12 de abril de 1961"
"¿Cuál fue el primer satélite artificial lanzado al espacio?","Sputnik 1 (Unión Soviética) el 4 de octubre de 1957"
"¿Quién fue el primer estadounidense en el espacio?","Alan Shepard el 5 de mayo de 1961"
"¿Quién fue la primera mujer en el espacio?","Valentina Tereshkova (Unión Soviética) el 16 de junio de 1963"
"¿Qué misión Apollo aterrizó humanos en la Luna por primera vez?","Apollo 11 el 20 de julio de 1969"
"¿Quién fue la primera persona en caminar sobre la Luna?","Neil Armstrong"
"¿Cuáles fueron las primeras palabras dichas en la Luna?","""Un pequeño paso para el hombre, un gran salto para la humanidad"""
"¿Quién fue la segunda persona en caminar sobre la Luna?","Buzz Aldrin"
"¿Cuál era el nombre del módulo lunar del Apollo 11?","Eagle (Águila)"
"¿Cuál estación espacial fue la primera estación modular en órbita?","Mir (Soviética/Rusa) lanzada en 1986"
"¿Cuándo se lanzó por primera vez la Estación Espacial Internacional (ISS)?","20 de noviembre de 1998"
"¿Cuál fue la primera nave espacial reutilizable?","Transbordador Espacial Columbia (primer vuelo el 12 de abril de 1981)"
"¿Qué desastre del Transbordador Espacial ocurrió en 1986?","Desastre del Challenger (28 de enero de 1986)"
"¿Qué desastre del Transbordador Espacial ocurrió en 2003?","Desastre del Columbia (1 de febrero de 2003)"
"¿Qué sonda sobrevoló Júpiter y Saturno por primera vez?","Pioneer 10 (Júpiter) y Pioneer 11 (Júpiter y Saturno)"
"¿Cuáles son los nombres de las sondas gemelas lanzadas en 1977 para explorar los planetas exteriores?","Voyager 1 y Voyager 2"
"¿Qué nave espacial es el objeto hecho por humanos más lejano de la Tierra?","Voyager 1"
"¿Cuál fue el primer rover de Marte en operar exitosamente?","Sojourner (1997, parte de la misión Mars Pathfinder)"
"¿Cuáles son los nombres de los rovers gemelos de NASA lanzados en 2003?","Spirit y Opportunity"
"¿Qué rover de Marte aterrizó en 2012 y sigue operando?","Curiosity"
"¿Qué rover de Marte aterrizó en 2021?","Perseverance"
"¿Qué helicóptero realizó el primer vuelo motorizado en otro planeta?","Ingenuity (Marte, 2021)"
"¿Quién fue la primera persona en realizar una caminata espacial (EVA)?","Alexei Leonov (Unión Soviética) el 18 de marzo de 1965"
"¿Qué significa NASA?","National Aeronautics and Space Administration (Administración Nacional de Aeronáutica y del Espacio)"
"¿Qué es la ESA?","Agencia Espacial Europea"
"¿Cuál es el nombre de la estación espacial china?","Tiangong (Estación Espacial China)"
"¿Quién fundó SpaceX?","Elon Musk en 2002"
"¿Cuál fue el primer cohete privado en alcanzar órbita?","Falcon 1 de SpaceX (2008)"
"¿Qué sistema de cohete reutilizable usa SpaceX?","Falcon 9 (con primera etapa reutilizable)"
"¿Cuál es el nombre de la nave tripulada de SpaceX?","Dragon (Crew Dragon para astronautas)"
"¿Con qué vehículo se lanzó el Telescopio Espacial Hubble?","Transbordador Espacial Discovery el 24 de abril de 1990"
"¿Qué telescopio espacial se lanzó en 2021 como sucesor del Hubble?","Telescopio Espacial James Webb"
"¿Qué sonda orbitó Saturno de 2004 a 2017?","Cassini"
"¿Qué sonda aterrizó en la luna Titán de Saturno en 2005?","Huygens"
"¿Qué misión devolvió muestras de asteroide a la Tierra en 2020?","Hayabusa2 (Japonesa) del asteroide Ryugu"
