"front","back"
"What are the main ingredients in a classic Margarita?","Tequila, lime juice, and triple sec (orange liqueur), typically served with salt on the rim"
"What cocktail is made with vodka, coffee liqueur, and fresh espresso?","Espresso Martini"
"Which cocktail was invented at Harry's New York Bar in Paris in 1921?","Sidecar - made with cognac, triple sec, and lemon juice"
"What is the base spirit in a Mojito?","White rum"
"What are the five ingredients in a traditional Mojito?","White rum, lime juice, sugar, soda water, and fresh mint leaves"
"Which cocktail is made with bourbon, sugar, bitters, and an orange peel?","Old Fashioned"
"What cocktail was allegedly created for a Moscow Mule?","The Mule was created to promote vodka in America, served in a distinctive copper mug"
"What are the three ingredients in a Moscow Mule?","Vodka, ginger beer, and lime juice"
"Which cocktail gets its name from the Italian word for 'bitter'?","Negroni's name comes from Count Camillo Negroni, but Amaretto means 'bitter' in Italian"
"What are the three equal-parts ingredients in a Negroni?","Gin, sweet vermouth, and Campari"
"What cocktail was invented at the Raffles Hotel in Singapore?","Singapore Sling"
"What is the main spirit in a Daiquiri?","White rum"
"Which cocktail was reportedly a favorite of author Ernest Hemingway?","The Mojito and the Daiquiri were both favorites at La Bodeguita and El Floridita bars in Havana"
"What is the base spirit in a Manhattan cocktail?","Rye whiskey (or bourbon)"
"What cocktail is made with whiskey, sweet vermouth, and Angostura bitters?","Manhattan"
"What does 'Martini' traditionally contain?","Gin and dry vermouth, garnished with an olive or lemon twist"
"What cocktail is made with tequila, orange juice, and grenadine?","Tequila Sunrise - named for its gradient color resembling a sunrise"
"Which Cuban cocktail was named after a beach near Santiago de Cuba?","Daiquiri - named after Daiquirí beach"
"What is a 'Spritz' or 'Aperol Spritz'?","A cocktail made with prosecco, Aperol, and soda water, popular as an Italian aperitivo"
"What cocktail combines vodka, tomato juice, and various spices?","Bloody Mary"
"What are the typical garnishes and seasonings in a Bloody Mary?","Celery salt, pepper, Worcestershire sauce, hot sauce, lemon, and celery stalk garnish"
"What is the origin of the Piña Colada?","Created in Puerto Rico, its name means 'strained pineapple' in Spanish"
"What are the three main ingredients in a Piña Colada?","White rum, coconut cream, and pineapple juice"
"Which cocktail was named after a Scottish folk hero?","Rob Roy - named after the Scottish outlaw, it's a Manhattan made with Scotch whisky"
"What is the difference between a Cosmopolitan and a Kamikaze?","A Cosmopolitan adds cranberry juice and uses citrus vodka, giving it its pink color"
"What are the ingredients in a Cosmopolitan?","Citrus vodka, triple sec, cranberry juice, and fresh lime juice"
"Which whiskey cocktail is named after a neighborhood in New York City?","Manhattan - named after the borough of Manhattan"
"What is a 'Highball' cocktail?","A family of mixed drinks using a spirit with a larger proportion of a non-alcoholic mixer, served in a tall glass"
"What cocktail is made with dark rum, lime juice, and ginger beer?","Dark 'n' Stormy - a trademarked cocktail from Bermuda"
"What French liqueur gives a Sidecar its orange flavor?","Triple sec or Cointreau (orange liqueur)"
"What is the Italian cocktail traditionally served before dinner as an appetite stimulant?","Aperitivo cocktails like Negroni, Aperol Spritz, or Campari Soda"
