front,back
¿Quién pintó la Mona Lisa?,Leonardo da Vinci
¿Quién pintó La Noche Estrellada?,Vincent van Gogh
¿Quién pintó El Grito?,Edvard Munch
¿Quién esculpió el David?,Miguel Ángel
¿Quién pintó el techo de la Capilla Sixtina?,Miguel Ángel
¿Qué movimiento artístico presentaba relojes derretidos e imágenes oníricas?,Surrealismo
¿Qué movimiento artístico usaba colores vibrantes y pinceladas visibles?,Impresionismo
¿Qué movimiento artístico presentaba formas geométricas y múltiples perspectivas?,Cubismo
¿Quién fundó el Cubismo?,Pablo Picasso y Georges Braque
¿Quién pintó Guernica?,Pablo Picasso
¿Qué es el Renacimiento?,Un renacimiento cultural en Europa del siglo XIV al XVII
¿Quién pintó El Nacimiento de Venus?,Sandro Botticelli
¿Quién pintó La Última Cena?,Leonardo da Vinci
¿Qué movimiento artístico rechazó técnicas tradicionales por la expresión abstracta?,Expresionismo Abstracto
¿Quién es conocido por la técnica de goteo?,Jackson Pollock
¿Quién pintó las Latas de Sopa Campbell?,Andy Warhol
¿Qué movimiento artístico usaba imágenes de la cultura popular?,Pop Art
¿Quién esculpió El Pensador?,Auguste Rodin
¿Por qué es conocido el arte Barroco?,"Iluminación dramática, colores ricos e intensidad emocional"
¿Quién pintó La Joven de la Perla?,Johannes Vermeer
¿Qué es el claroscuro?,El uso de fuertes contrastes entre luz y oscuridad
¿Quién pintó La Persistencia de la Memoria?,Salvador Dalí
¿Qué movimiento artístico buscaba capturar la luz y el movimiento?,Impresionismo
¿Quién es considerado el padre del Impresionismo?,Claude Monet
¿Quién pintó la serie de Nenúfares?,Claude Monet
¿Qué es el Puntillismo?,Técnica usando pequeños puntos de color para formar imágenes
¿Quién desarrolló el Puntillismo?,Georges Seurat
¿Por qué es conocido el Fauvismo?,"Pinceladas salvajes y colores audaces, no naturalistas"
¿Quién lideró el movimiento Fauvista?,Henri Matisse
¿Qué movimiento artístico surgió en Rusia a principios del siglo XX?,Constructivismo
¿Quién pintó El Beso?,Gustav Klimt
¿Qué es el Art Nouveau?,"Un estilo decorativo con líneas fluidas, orgánicas"
¿Qué es el Art Déco?,Un estilo decorativo geométrico popular en los años 1920-30
¿Quién diseñó Fallingwater?,Frank Lloyd Wright
¿Qué es la Bauhaus?,Una escuela de arte alemana que combinó artesanía y bellas artes
¿Quién fundó la Bauhaus?,Walter Gropius
¿Qué es el Dadaísmo?,Movimiento vanguardista que rechazaba la lógica y la razón
¿Quién creó el readymade "Fuente"?,Marcel Duchamp
¿Qué es un fresco?,Técnica de pintura sobre yeso húmedo
¿Quién pintó La Ronda de Noche?,Rembrandt van Rijn
¿Qué período artístico presentaba fondos oscuros y poses dramáticas?,Barroco
¿Quién pintó Las Meninas?,Diego Velázquez
¿Qué es el trampantojo (trompe l'oeil)?,Técnica artística que crea ilusiones ópticas de espacio 3D
¿Quién pintó Gótico Americano?,Grant Wood
¿Qué es el Minimalismo?,Movimiento artístico usando formas geométricas simples
¿Quién es conocido por esculturas de acero a gran escala?,Richard Serra
¿Qué es el arte de instalación?,Arte diseñado para un espacio o ambiente específico
¿Quién envolvió edificios en tela?,Christo y Jeanne-Claude
¿Qué es el arte callejero?,Arte creado en espacios públicos, generalmente sin permiso
¿Quién es el artista callejero anónimo conocido por obras en plantilla?,Banksy
