"front","back"
"Quem escreveu ""Orgulho e Preconceito""?","Jane Austen"
"Quem escreveu ""1984""?","George Orwell"
"Quem escreveu ""O Sol é para Todos""?","Harper Lee"
"Quem escreveu ""O Grande Gatsby""?","F. Scott Fitzgerald"
"Quem escreveu ""Cem Anos de Solidão""?","Gabriel García Márquez"
"Quem escreveu ""Dom Quixote""?","Miguel de Cervantes"
"Quem escreveu ""Guerra e Paz""?","Liev Tolstói"
"Quem escreveu ""Crime e Castigo""?","Fiódor Dostoiévski"
"Quem escreveu ""A Divina Comédia""?","Dante Alighieri"
"Quem escreveu ""Hamlet""?","William Shakespeare"
"Qual movimento literário enfatizava emoção e natureza?","Romantismo"
"Qual movimento literário focava na representação realista da vida?","Realismo"
"Qual movimento literário explorava o inconsciente?","Modernismo"
"O que é um soneto?","Um poema de 14 versos com esquema de rima específico"
"O que é uma epopeia?","Um longo poema narrativo sobre feitos heroicos"
"O que é alegoria?","Uma história com significado moral ou político oculto"
"O que é fluxo de consciência?","Técnica narrativa que retrata os pensamentos de um personagem"
"Quem é considerado o pai da literatura inglesa?","Geoffrey Chaucer"
"Qual é a obra literária mais antiga conhecida?","""A Epopeia de Gilgamesh, da antiga Mesopotâmia"""
"Quem escreveu ""A Odisseia""?","Homero"
"Quem escreveu ""Os Miseráveis""?","Victor Hugo"
"Quem escreveu ""Anna Karenina""?","Liev Tolstói"
"Quem escreveu ""Moby Dick""?","Herman Melville"
"Quem escreveu ""Os Irmãos Karamázov""?","Fiódor Dostoiévski"
"Quem escreveu ""O Morro dos Ventos Uivantes""?","Emily Brontë"
"Quem escreveu ""Jane Eyre""?","Charlotte Brontë"
"Quem escreveu ""Frankenstein""?","Mary Shelley"
"Quem escreveu ""Drácula""?","Bram Stoker"
"Quem escreveu ""O Retrato de Dorian Gray""?","Oscar Wilde"
"O que foi o Renascimento do Harlem?","Movimento cultural celebrando a arte e literatura afro-americana nos anos 1920"
"Quem escreveu ""Amada""?","Toni Morrison"
"Quem escreveu ""A Cor Púrpura""?","Alice Walker"
"Quem escreveu ""O Apanhador no Campo de Centeio""?","J.D. Salinger"
"Quem escreveu ""Admirável Mundo Novo""?","Aldous Huxley"
"Quem escreveu ""O Senhor das Moscas""?","William Golding"
"O que é realismo mágico?","Gênero que mistura narrativa realista com elementos mágicos"
"Quem ganhou o primeiro Prêmio Nobel de Literatura?","Sully Prudhomme em 1901"
"Quem escreveu ""Em Busca do Tempo Perdido""?","Marcel Proust"
"Quem escreveu ""Ulisses""?","James Joyce"
"Quem escreveu ""Mrs Dalloway""?","Virginia Woolf"
"O que foi a Geração Beat?","Movimento literário dos anos 1950 rejeitando valores tradicionais"
"Quem escreveu ""On the Road"" (Pé na Estrada)?","Jack Kerouac"
"Quem escreveu ""A Metamorfose""?","Franz Kafka"
"O que é ficção distópica?","Ficção retratando uma sociedade futura sombria e opressiva"
"Quem escreveu ""Fahrenheit 451""?","Ray Bradbury"
"Quem escreveu ""O Conto da Aia""?","Margaret Atwood"
"O que é um bildungsroman?","Romance de formação sobre o amadurecimento de um personagem"
"Quem escreveu ""Grandes Esperanças""?","Charles Dickens"
"Quem escreveu ""Um Conto de Duas Cidades""?","Charles Dickens"
"Quem escreveu ""O Velho e o Mar""?","Ernest Hemingway"
