front,back
What is the largest country by area?,Russia (17.1 million km²)
What is the smallest country by area?,Vatican City (0.44 km²)
What is the most populous country?,India (over 1.4 billion people)
Which country has the longest coastline?,Canada (202,080 km)
What is the only country that spans all four hemispheres?,Kiribati
Which country is known as the Land of the Rising Sun?,Japan
What is the only country to border both the Atlantic and Indian Oceans in Africa?,South Africa
Which two countries are doubly landlocked (surrounded only by landlocked countries)?,Liechtenstein and Uzbekistan
What is the newest internationally recognized country?,South Sudan (2011)
Which country has the most time zones?,France (12 time zones including overseas territories)
What is the only country whose name begins with Q?,Qatar
Which country is both in Europe and Asia?,Turkey (also Russia and Kazakhstan)
What country has the most UNESCO World Heritage Sites?,Italy (59 sites)
Which African country was never colonized by European powers?,Ethiopia (briefly occupied by Italy 1936-1941)
What is the only country with a non-rectangular flag?,Nepal
Which country has the highest population density?,Monaco (about 26,000 people per km²)
What is the official name of North Korea?,Democratic People's Republic of Korea (DPRK)
Which country is known as the Pearl of Africa?,Uganda
What European country has the most borders with other countries?,Germany (9 bordering countries)
Which country produces the most coffee in the world?,Brazil
What is the only predominantly Christian country in Asia?,Philippines (also East Timor)
Which country is home to the ancient city of Petra?,Jordan
What country has the longest river?,Egypt (the Nile - though it flows through multiple countries)
Which Nordic country is not part of the European Union?,Norway (also Iceland)
What is the largest landlocked country?,Kazakhstan
Which country has Portuguese as its official language in Asia?,East Timor (Timor-Leste)
What country is known as the Land of Fire and Ice?,Iceland
Which country has the most islands?,Sweden (approximately 267,570 islands)
What is the only country in Southeast Asia never colonized?,Thailand
Which country spans the most degrees of longitude?,Russia
