front,back
What is ethics?,The branch of philosophy dealing with moral principles and what is right and wrong
What is metaethics?,The study of the nature, foundations, and meaning of moral judgments
What is normative ethics?,The study of ethical theories that prescribe how we ought to act
What is applied ethics?,The application of ethical theories to specific real-world issues
What is utilitarianism?,The theory that the right action maximizes overall happiness or well-being
Who founded classical utilitarianism?,Jeremy Bentham and John Stuart Mill
What is the principle of utility?,Actions are right if they promote happiness and wrong if they produce unhappiness
What is deontological ethics?,Ethics focused on duties and rules rather than consequences
Who developed the categorical imperative?,Immanuel Kant
What is the categorical imperative (first formulation)?,Act only according to maxims you could will to be universal laws
What is the categorical imperative (humanity formulation)?,Treat humanity never merely as a means but always also as an end
What is virtue ethics?,Ethics focused on developing good character traits rather than following rules
Who is the founder of virtue ethics?,Aristotle
What is eudaimonia?,Human flourishing or well-being - the goal of life according to Aristotle
What is moral relativism?,The view that moral truths vary between cultures or individuals
What is moral objectivism?,The view that some moral truths are universal and independent of opinion
What is the trolley problem?,A thought experiment about whether it's ethical to sacrifice one to save many
What is the doctrine of double effect?,It may be permissible to cause harm as a side effect but not as a means
What is moral luck?,The way luck affects moral judgment of actions and their outcomes
What is consequentialism?,The view that actions should be judged solely by their consequences
What is the difference between act and rule utilitarianism?,Act: judge each action's utility; Rule: follow rules that generally maximize utility
What is social contract theory?,The view that moral and political rules are based on agreements among individuals
Who wrote "A Theory of Justice"?,John Rawls
What is the veil of ignorance?,Rawls' thought experiment for determining fair principles of justice
What is the is-ought problem?,The difficulty of deriving moral conclusions from factual premises (Hume)
What is moral autonomy?,The capacity to make moral decisions based on one's own reasoning
What is ethical egoism?,The view that one ought to act in one's own self-interest
What is altruism?,Selfless concern for the well-being of others
What are prima facie duties?,Duties that are binding unless overridden by stronger duties (W.D. Ross)
What is the golden rule?,Treat others as you would want to be treated
