"front","back"
"Quem fez o discurso 'Eu Tenho um Sonho' em 1963?","Martin Luther King Jr., durante a Marcha sobre Washington por Empregos e Liberdade"
"Qual foi a frase de abertura do Discurso de Gettysburg de Lincoln (1863)?","'Há oitenta e sete anos nossos pais fundaram neste continente uma nova nação, concebida na Liberdade'"
"Quem disse 'Lutaremos nas praias' em 1940?","Winston Churchill, discursando na Câmara dos Comuns após a evacuação de Dunquerque"
"Que discurso JFK fez em 20 de janeiro de 1961?","Seu discurso inaugural, famoso por 'Não pergunte o que seu país pode fazer por você — pergunte o que você pode fazer pelo seu país'"
"Quem fez o discurso 'Estou Preparado para Morrer' em 1964?","Nelson Mandela, no Julgamento de Rivonia na África do Sul"
"O que FDR disse sobre o medo em seu discurso inaugural de 1933?","'A única coisa que devemos temer é o próprio medo'"
"Quem fez o discurso 'Derrubem Este Muro' em 1987?","Ronald Reagan, no Portão de Brandemburgo em Berlim Ocidental"
"O que foi o Sermão da Montanha?","Uma coleção de ensinamentos de Jesus Cristo, incluindo as Bem-aventuranças, registrada no Evangelho de Mateus"
"Quem disse 'Dê-me liberdade ou dê-me a morte!' em 1775?","Patrick Henry, na Segunda Convenção da Virgínia"
"Que famoso discurso Sojourner Truth fez em 1851?","'Não Sou Eu uma Mulher?', na Convenção das Mulheres em Akron, Ohio"
"Quem fez o discurso 'A Cédula ou a Bala' em 1964?","Malcolm X, na Igreja Metodista Cory em Cleveland, Ohio"
"Qual foi a mensagem principal do discurso 'Liberdade ou Morte' de Emmeline Pankhurst (1913)?","Que o sufrágio feminino valia a pena lutar, mesmo ao custo da própria vida"
"Quem fez o discurso 'Sangue, Trabalho, Lágrimas e Suor' em 1940?","Winston Churchill, em seu primeiro discurso como Primeiro-Ministro na Câmara dos Comuns"
"O que Mahatma Gandhi defendeu em seu discurso 'Deixem a Índia' de 1942?","O fim imediato do domínio britânico na Índia por meio de desobediência civil não violenta"
"Quem disse 'Um pequeno passo para o homem, um grande salto para a humanidade' em 1969?","Neil Armstrong, ao pisar na superfície da Lua"
"Qual foi o tema principal do discurso 'Não Lutarei Mais Para Sempre' do Chefe Joseph (1877)?","A rendição da tribo Nez Perce após uma longa retirada, expressando exaustão e tristeza"
"Quem fez o discurso 'Yes We Can' em 2008?","Barack Obama, durante a campanha das primárias de New Hampshire"
"Que famoso discurso a Rainha Elizabeth I fez em 1588?","O Discurso de Tilbury, motivando tropas contra a Armada Espanhola: 'Tenho o corpo de uma mulher fraca, mas tenho o coração e o estômago de um rei'"
"Quem fez o discurso 'Ich bin ein Berliner' em 1963?","John F. Kennedy, em Berlim Ocidental, expressando solidariedade com os moradores da cidade"
"Qual foi a mensagem-chave do discurso de Frederick Douglass 'O Que é o Quatro de Julho para o Escravo?' (1852)?","Que celebrar a liberdade americana era hipócrita enquanto milhões permaneciam escravizados"
"Quem fez o discurso 'Uma Data que Viverá na Infâmia' em 1941?","Franklin D. Roosevelt, pedindo ao Congresso que declarasse guerra após o ataque a Pearl Harbor"
"Que discurso Malala Yousafzai fez nas Nações Unidas em 2013?","Um discurso defendendo a educação de meninas no mundo todo, dizendo 'Uma criança, um professor, um livro, uma caneta podem mudar o mundo'"
"Quem disse 'Sr. Gorbachev, abra este portão!' antes da frase mais famosa sobre o muro?","Ronald Reagan, no mesmo discurso de 1987 em Berlim"
"Sobre o que foi o discurso 'Casa Dividida' de Abraham Lincoln (1858)?","Que a nação não poderia perdurar permanentemente metade escrava e metade livre"
"Quem fez o discurso 'Átomos pela Paz' em 1953?","Presidente Dwight D. Eisenhower, na Assembleia Geral das Nações Unidas"
"Qual foi a importância do 'Discurso Secreto' de Nikita Khrushchev em 1956?","Ele denunciou o culto à personalidade e os expurgos de Stalin perante o 20º Congresso do Partido Comunista"
"Quem fez o discurso 'Rios de Sangue' em 1968?","Enoch Powell, um controverso discurso britânico contra a imigração em massa"
"Que discurso Susan B. Anthony fez após ser presa por votar em 1873?","'É Crime um Cidadão dos Estados Unidos Votar?', argumentando que a Constituição garantia o sufrágio feminino"
"Quem disse 'A dama não está para voltar atrás' em 1980?","Margaret Thatcher, na Conferência do Partido Conservador, recusando-se a reverter suas políticas econômicas"
"Qual foi a mensagem central do 'Discurso de Ano Novo' de Vaclav Havel em 1990?","Um apelo à verdade, renovação moral e responsabilidade na transição da Tchecoslováquia do comunismo para a democracia"
