"front","back"
"¿Quién es el Padre de Todos y gobernante de Asgard?","Odín — el dios tuerto de la sabiduría, la guerra, la muerte y la poesía"
"¿Cuál es el nombre del gran árbol que conecta los nueve mundos?","Yggdrasil — el Árbol del Mundo, un inmenso fresno"
"¿Cuáles son los nueve mundos en la cosmología nórdica?","Asgard, Midgard, Jotunheim, Vanaheim, Alfheim, Svartalfheim, Niflheim, Muspelheim y Helheim"
"¿Quién es Thor?","El dios del trueno, hijo de Odín, portador del martillo Mjölnir"
"¿Qué es Mjölnir?","El martillo mágico de Thor, que siempre regresa a su mano después de ser lanzado"
"¿Quién es Loki?","El dios embaucador, un cambiaformas y hermano de sangre de Odín (en algunas tradiciones)"
"¿Qué es el Ragnarök?","El fin del mundo profetizado — una gran batalla que lleva a la muerte de muchos dioses y al renacimiento del mundo"
"¿Quiénes son las Valquirias?","Espíritus guerreros femeninos que eligen qué guerreros caídos van al Valhalla"
"¿Qué es el Valhalla?","El gran salón de Odín en Asgard, donde los guerreros caídos en batalla festejan y entrenan para el Ragnarök"
"¿Qué es Bifröst?","El puente arcoíris que conecta Midgard (el mundo humano) con Asgard (el reino de los dioses)"
"¿Quién es Freya?","La diosa del amor, la belleza, la fertilidad, la guerra y la muerte — líder de las Valquirias"
"¿Quién es Heimdall?","El vigía de los dioses que custodia Bifröst, dotado de sentidos extraordinarios"
"¿Qué es Midgard?","El reino de los humanos, ubicado en el centro de los nueve mundos"
"¿Quién es Fenrir?","Un lobo monstruoso, hijo de Loki, profetizado para devorar a Odín durante el Ragnarök"
"¿Qué es Jörmungandr?","La Serpiente de Midgard — una gigantesca serpiente marina, hija de Loki, que rodea el mundo"
"¿Quién es Hel?","La hija de Loki que gobierna Helheim, el reino de los muertos deshonrados"
"¿Qué es Jotunheim?","El reino de los gigantes (Jötnar) en la cosmología nórdica"
"¿Quién es Tyr?","El dios de la guerra y la justicia, famoso por sacrificar su mano para atar a Fenrir"
"¿Qué es Gungnir?","La lanza mágica de Odín, forjada por enanos, que nunca falla su objetivo"
"¿Quiénes son las Nornas?","Tres seres femeninos (Urd, Verdandi y Skuld) que controlan los destinos de dioses y hombres"
"¿Qué sacrificio hizo Odín para obtener sabiduría?","Se colgó de Yggdrasil durante nueve días y noches, atravesado por su propia lanza, para aprender las runas"
"¿Por qué Odín tiene un solo ojo?","Sacrificó un ojo en el Pozo de Mímir a cambio de un trago que le otorgó sabiduría cósmica"
"¿Quién es Balder?","El dios de la luz, la belleza y la pureza — hijo de Odín, cuya muerte desencadena los eventos del Ragnarök"
"¿Qué mató a Balder?","Un dardo de muérdago, lo único en el mundo que no había jurado no dañarlo, lanzado por el ciego Hödr bajo la dirección de Loki"
"¿Quién es Freyr?","El dios de la fertilidad, la prosperidad, la luz solar y el buen tiempo — hermano gemelo de Freya"
"¿Qué es Niflheim?","El reino primordial del hielo, el frío y la niebla — uno de los dos mundos originales"
"¿Qué es Muspelheim?","El reino primordial del fuego, hogar del gigante de fuego Surtr"
"¿Quién es Surtr?","Un gigante de fuego que empuña una espada flamígera y está destinado a incendiar el mundo durante el Ragnarök"
"¿Qué son los Einherjar?","Las almas de los guerreros caídos que residen en el Valhalla, entrenando diariamente para el Ragnarök"
"¿Qué son Huginn y Muninn?","Los dos cuervos de Odín — Pensamiento y Memoria — que vuelan por el mundo e informan a su amo"
"¿Qué es Draupnir?","El anillo mágico de oro de Odín que produce ocho nuevos anillos cada novena noche"
"¿Quiénes crearon a los primeros humanos, Ask y Embla?","Odín y sus hermanos Vili y Vé, quienes los moldearon a partir de dos troncos de árbol"
"¿Qué es Sleipnir?","El caballo de ocho patas de Odín, el más veloz de todos los caballos, hijo de Loki"
"¿Quién es Skadi?","Una giganta y diosa asociada al esquí, el invierno y las montañas"
"¿Qué es Fólkvangr?","El reino del más allá de Freya, donde recibe a la mitad de los que mueren en batalla"
