"front","back"
"Who was the first European to reach India by sea in 1498?","Vasco da Gama, a Portuguese explorer who sailed around the Cape of Good Hope"
"Which explorer led the first expedition to circumnavigate the globe (1519-1522)?","Ferdinand Magellan (though he died in the Philippines; Juan Sebastián Elcano completed the voyage)"
"Who is credited with 'discovering' the Americas in 1492?","Christopher Columbus, an Italian navigator sailing for Spain, who reached the Caribbean"
"Which Norwegian explorer led the first expedition to reach the South Pole in 1911?","Roald Amundsen, arriving on December 14, 1911 — beating Robert Falcon Scott by 34 days"
"Who was the first European to reach Brazil in 1500?","Pedro Álvares Cabral, a Portuguese navigator who landed near present-day Porto Seguro"
"Which explorer is known for mapping much of the Pacific Northwest coast of North America?","Captain James Cook, a British Royal Navy officer who made three Pacific voyages"
"Who led the Corps of Discovery expedition across the western United States (1804-1806)?","Meriwether Lewis and William Clark"
"Which Venetian merchant traveled the Silk Road to China and served at the court of Kublai Khan?","Marco Polo, who documented his travels in 'The Travels of Marco Polo' (c. 1300)"
"Who was the first person to reach the North Pole, traditionally credited in 1909?","Robert Peary (though this claim is disputed; Frederick Cook also claimed to have reached it in 1908)"
"Which Portuguese prince sponsored many exploration voyages along the African coast in the 15th century?","Henry the Navigator (Infante Dom Henrique), who established a navigation school at Sagres"
"Who led the first European expedition to see the Pacific Ocean from the Americas in 1513?","Vasco Núñez de Balboa, a Spanish explorer who crossed the Isthmus of Panama"
"Which explorer conquered the Aztec Empire in 1519-1521?","Hernán Cortés, a Spanish conquistador who defeated Montezuma II"
"Who conquered the Inca Empire in 1532-1533?","Francisco Pizarro, a Spanish conquistador who captured Emperor Atahualpa"
"Which English privateer was the second person to circumnavigate the globe (1577-1580)?","Sir Francis Drake, aboard the Golden Hind"
"Who explored the St. Lawrence River and claimed Canada for France in the 1530s?","Jacques Cartier, a French navigator from Saint-Malo"
"Which explorer gave the Pacific Ocean its name in 1520?","Ferdinand Magellan, who called it 'Mar Pacífico' (peaceful sea) due to its calm waters"
"Who was the first European to reach Australia's east coast in 1770?","Captain James Cook, who mapped the coast and claimed it for Britain as New South Wales"
"Which Moroccan scholar is considered one of history's greatest travelers, covering 120,000 km in the 14th century?","Ibn Battuta, who traveled across Africa, Asia, and Europe over nearly 30 years"
"Who led the first successful expedition through the Northwest Passage (1903-1906)?","Roald Amundsen, aboard the Gjøa"
"Which Chinese admiral commanded massive treasure fleets across the Indian Ocean in the early 1400s?","Zheng He, a Ming dynasty admiral who led seven major expeditions"
"Who was the first woman to fly solo across the Atlantic Ocean in 1932?","Amelia Earhart, flying from Newfoundland to Northern Ireland"
"Which explorer discovered the sea route around the southern tip of Africa in 1488?","Bartolomeu Dias, a Portuguese navigator who rounded the Cape of Good Hope"
"Who led the expedition that first reached the summit of Mount Everest in 1953?","Edmund Hillary (New Zealand) and Tenzing Norgay (Nepal/Tibet)"
"Which Spanish explorer searched for the Fountain of Youth and discovered Florida in 1513?","Juan Ponce de León"
"Who was the first person to reach the deepest point in the ocean, the Mariana Trench, in 1960?","Jacques Piccard and Don Walsh, aboard the bathyscaphe Trieste"
"Which Viking explorer is believed to have reached North America around 1000 AD?","Leif Erikson, who established a settlement at Vinland (likely Newfoundland, Canada)"
"Who explored the Amazon River and became the first European to navigate its entire length in 1542?","Francisco de Orellana, a Spanish explorer"
"Which British explorer searched for the source of the Nile and explored Lake Tanganyika?","Richard Francis Burton and John Hanning Speke (1850s-1860s)"
"Who was the first person to sail solo around the world (1895-1898)?","Joshua Slocum, a Canadian-American sailor aboard the Spray"
"Which explorer mapped much of the African interior and was famously 'found' by Henry Morton Stanley?","David Livingstone, a Scottish missionary and explorer ('Dr. Livingstone, I presume?')"
