front,back
Quem inventou o telefone em 1876?,Alexander Graham Bell
Quem inventou a lâmpada incandescente prática em 1879?,Thomas Edison
Quem inventou a World Wide Web em 1989?,Tim Berners-Lee
Quem inventou a prensa tipográfica por volta de 1440?,Johannes Gutenberg
Quem inventou a máquina a vapor (versão aprimorada) em 1769?,James Watt
Quem inventou a dinamite em 1867?,Alfred Nobel
Quem inventou o rádio nos anos 1890?,Guglielmo Marconi
Quem inventou o avião em 1903?,Os Irmãos Wright (Orville e Wilbur)
Quem inventou o automóvel (primeiro carro a gasolina prático) em 1885?,Karl Benz
Quem inventou o telescópio em 1608?,Hans Lippershey
Quem inventou o microscópio por volta de 1590?,Hans e Zacharias Janssen
Quem inventou o fonógrafo em 1877?,Thomas Edison
Quem inventou o sistema elétrico de corrente alternada (CA)?,Nikola Tesla
Quem inventou a vacina contra a poliomielite em 1955?,Jonas Salk
Quem descobriu a penicilina em 1928?,Alexander Fleming
Quem inventou o descaroçador de algodão em 1794?,Eli Whitney
Quem inventou a máquina de costura (versão prática) em 1846?,Elias Howe
Quem inventou o zíper em 1893?,Whitcomb Judson
Quem inventou a caneta esferográfica em 1938?,László Bíró
Quem inventou o microprocessador (Intel 4004) em 1971?,Ted Hoff e Federico Faggin
Quem inventou o transistor em 1947?,John Bardeen, Walter Brattain e William Shockley
Quem inventou o laser em 1960?,Theodore Maiman
Quem inventou a fotografia (daguerreótipo) em 1839?,Louis Daguerre
Quem inventou a geladeira (versão prática) em 1834?,Jacob Perkins
Quem inventou a bicicleta em 1817?,Karl von Drais
Quem inventou o freio de segurança do elevador em 1852?,Elisha Otis
Quem inventou o motor a diesel em 1893?,Rudolf Diesel
Quem inventou o barômetro em 1643?,Evangelista Torricelli
Quem inventou o termômetro em 1714?,Daniel Gabriel Fahrenheit
Quem inventou a máquina de raio-X em 1895?,Wilhelm Röntgen
