front,back
O que é a Primeira Lei de Newton do Movimento?,Um objeto em repouso permanece em repouso e um objeto em movimento permanece em movimento a menos que seja atuado por uma força externa
O que é a Segunda Lei de Newton do Movimento?,Força é igual a massa vezes aceleração (F = ma)
O que é a Terceira Lei de Newton do Movimento?,Para toda ação há uma reação igual e oposta
O que é velocidade?,A taxa de variação da posição em relação ao tempo (rapidez com direção)
O que é aceleração?,A taxa de variação da velocidade em relação ao tempo
O que é momento linear?,Massa vezes velocidade (p = mv)
O que é energia cinética?,Energia do movimento: EC = ½mv²
O que é energia potencial?,Energia armazenada devido à posição ou configuração
O que é a lei da conservação de energia?,A energia não pode ser criada nem destruída, apenas transformada de uma forma para outra
O que é a lei da conservação do momento?,O momento total em um sistema fechado permanece constante
O que é atrito?,Uma força que se opõe ao movimento entre superfícies em contato
O que é gravidade?,A força de atração entre objetos com massa
O que é a constante gravitacional (G)?,6,674 × 10⁻¹¹ N⋅m²/kg²
O que é peso?,A força da gravidade sobre um objeto (P = mg)
O que é massa?,Uma medida da quantidade de matéria em um objeto
O que é trabalho em física?,Força vezes deslocamento na direção da força (W = Fd)
O que é potência?,A taxa de realização de trabalho ou transferência de energia (P = W/t)
Qual é a unidade de força?,Newton (N)
Qual é a unidade de energia?,Joule (J)
Qual é a unidade de potência?,Watt (W)
O que é pressão?,Força por unidade de área (P = F/A)
O que é densidade?,Massa por unidade de volume (ρ = m/V)
O que é velocidade terminal?,A velocidade máxima constante de um objeto em queda quando o arrasto iguala a força gravitacional
O que é torque?,Uma força rotacional que causa aceleração angular (τ = r × F)
O que é momento angular?,O equivalente rotacional do momento linear (L = Iω)
O que é força centrípeta?,Força direcionada para o centro do movimento circular
O que é movimento harmônico simples?,Movimento oscilatório onde a força restauradora é proporcional ao deslocamento
Qual é a velocidade do som no ar?,Aproximadamente 343 m/s à temperatura ambiente
O que é o efeito Doppler?,A mudança na frequência de uma onda devido ao movimento relativo entre fonte e observador
O que é ressonância?,Quando um sistema oscila com amplitude máxima em sua frequência natural
