front,back
¿Quién inventó el teléfono en 1876?,Alexander Graham Bell
¿Quién inventó la bombilla incandescente práctica en 1879?,Thomas Edison
¿Quién inventó la World Wide Web en 1989?,Tim Berners-Lee
¿Quién inventó la imprenta alrededor de 1440?,Johannes Gutenberg
¿Quién inventó la máquina de vapor (versión mejorada) en 1769?,James Watt
¿Quién inventó la dinamita en 1867?,Alfred Nobel
¿Quién inventó la radio en los años 1890?,Guglielmo Marconi
¿Quién inventó el avión en 1903?,Los Hermanos Wright (Orville y Wilbur)
¿Quién inventó el automóvil (primer coche de gasolina práctico) en 1885?,Karl Benz
¿Quién inventó el telescopio en 1608?,Hans Lippershey
¿Quién inventó el microscopio alrededor de 1590?,Hans y Zacharias Janssen
¿Quién inventó el fonógrafo en 1877?,Thomas Edison
¿Quién inventó el sistema eléctrico de corriente alterna (CA)?,Nikola Tesla
¿Quién inventó la vacuna contra la polio en 1955?,Jonas Salk
¿Quién descubrió la penicilina en 1928?,Alexander Fleming
¿Quién inventó la desmotadora de algodón en 1794?,Eli Whitney
¿Quién inventó la máquina de coser (versión práctica) en 1846?,Elias Howe
¿Quién inventó la cremallera en 1893?,Whitcomb Judson
¿Quién inventó el bolígrafo en 1938?,László Bíró
¿Quién inventó el microprocesador (Intel 4004) en 1971?,Ted Hoff y Federico Faggin
¿Quién inventó el transistor en 1947?,John Bardeen, Walter Brattain y William Shockley
¿Quién inventó el láser en 1960?,Theodore Maiman
¿Quién inventó la fotografía (daguerrotipo) en 1839?,Louis Daguerre
¿Quién inventó el refrigerador (versión práctica) en 1834?,Jacob Perkins
¿Quién inventó la bicicleta en 1817?,Karl von Drais
¿Quién inventó el freno de seguridad del ascensor en 1852?,Elisha Otis
¿Quién inventó el motor diésel en 1893?,Rudolf Diesel
¿Quién inventó el barómetro en 1643?,Evangelista Torricelli
¿Quién inventó el termómetro en 1714?,Daniel Gabriel Fahrenheit
¿Quién inventó la máquina de rayos X en 1895?,Wilhelm Röntgen
