"front","back"
"¿Quién era el rey de los dioses egipcios y dios del sol?","Ra (también conocido como Re) — viajaba por el inframundo por la noche y renacía cada mañana"
"¿Qué dios egipcio tenía cabeza de chacal y era el dios de la momificación?","Anubis — guiaba las almas al más allá y supervisaba el proceso de embalsamamiento"
"¿Cómo se llamaba el inframundo egipcio donde se juzgaban las almas?","Duat — el reino por el que Ra viajaba de noche y donde Osiris reinaba como rey de los muertos"
"¿Qué diosa era conocida como madre de todos los faraones y llevaba un tocado en forma de trono?","Isis — diosa de la magia, la curación y la maternidad, esposa de Osiris"
"¿Qué ocurría durante la ceremonia de la 'Pesada del Corazón'?","El corazón del difunto se pesaba contra la pluma de Ma'at (verdad); si era más ligero, entraba al más allá; si era más pesado, era devorado por Ammit"
"¿Qué dios egipcio fue asesinado por su hermano Set y se convirtió en gobernante del inframundo?","Osiris — dios del más allá, la resurrección y la fertilidad"
"¿Qué criatura tenía cuerpo de león y cabeza humana y custodiaba las pirámides de Guiza?","La Gran Esfinge — se cree que representa al Faraón Kefrén"
"¿Qué dios egipcio tenía cabeza de ibis y era el dios de la escritura y la sabiduría?","Thoth — inventor de los jeroglíficos y patrón de los escribas"
"¿Quién era la diosa egipcia de los gatos, la protección y la fertilidad?","Bastet — originalmente representada como una leona feroz, luego como un gato doméstico"
"¿Qué dios era representado con cabeza de halcón y era el dios del cielo?","Horus — hijo de Isis y Osiris, protector del faraón"
"¿Cuál era el escarabajo sagrado que simbolizaba el renacimiento y el sol naciente?","El escarabajo (Khepri) — los egipcios creían que el escarabajo rodaba el sol por el cielo"
"¿Quién era el dios egipcio del caos, las tormentas y el desierto?","Set (Seth) — asesinó a su hermano Osiris y luchó contra Horus por el trono"
"¿Qué es el Libro de los Muertos?","Una colección de hechizos e instrucciones colocada en las tumbas para ayudar al difunto a navegar por el más allá y pasar el juicio de Osiris"
"¿Qué diosa tenía cabeza de leona y era la diosa de la guerra y la curación?","Sekhmet — se decía que su aliento creaba el desierto; era tanto temida como venerada"
"¿Para qué se usaban los vasos canopos en las prácticas funerarias egipcias?","Para almacenar los órganos preservados (pulmones, hígado, estómago, intestinos) del difunto momificado, cada uno protegido por uno de los Cuatro Hijos de Horus"
"¿Qué diosa egipcia personificaba la verdad, la justicia y el orden cósmico?","Ma'at — representada con una pluma de avestruz en la cabeza, su pluma se usaba en la Pesada del Corazón"
"¿Quién era el dios con cabeza de carnero que creaba humanos en su torno de alfarero?","Khnum — se creía que moldeaba niños de arcilla antes de colocarlos en el vientre materno"
"¿Qué era la piedra Benben en la mitología egipcia?","El montículo primordial que surgió de las aguas del caos (Nun) al inicio de la creación; se cree que las pirámides lo representan"
"¿Qué diosa era representada como una vaca o mujer con cuernos de vaca y disco solar?","Hathor — diosa del amor, la belleza, la música y la alegría"
"¿Qué era el Ojo de Horus y qué simbolizaba?","Un poderoso símbolo protector que representaba curación, restauración y poder real — Horus perdió su ojo en la batalla contra Set y Thoth lo restauró"
"¿Quién era Ammit en la mitología egipcia?","Un demonio con cabeza de cocodrilo, parte delantera de leopardo y trasera de hipopótamo — devoraba los corazones de los muertos indignos"
"¿Qué dios era el patrón de los artesanos y se dice que creó el mundo mediante la palabra?","Ptah — dios principal de Menfis, trajo el mundo a la existencia por el poder de su corazón y lengua"
"¿Cuáles eran los Cuatro Hijos de Horus?","Imsety (hígado), Hapy (pulmones), Duamutef (estómago) y Qebehsenuef (intestinos) — protegían los vasos canopos"
"¿Qué diosa egipcia era representada como un escorpión y protegía a madres e hijos?","Serqet (Selket) — también protegía a los muertos y estaba asociada con la curación de picaduras venenosas"
"¿Qué era la Ogdóada en la mitología egipcia?","Ocho deidades primordiales de Hermópolis que representaban el caos antes de la creación: Nun/Naunet (agua), Heh/Hauhet (infinito), Kek/Kauket (oscuridad), Amun/Amaunet (lo oculto)"
"¿Quién era el dios enano que protegía los hogares, especialmente durante el parto?","Bes — una deidad protectora y jovial representada como un enano barbudo; su imagen adornaba hogares y amuletos"
"¿Qué papel desempeñaba el río Nilo en la mitología egipcia?","Era considerado un regalo de los dioses; su inundación anual se atribuía a las lágrimas de Isis llorando por Osiris, trayendo fertilidad a la tierra"
"¿Qué faraón intentó reemplazar todos los dioses egipcios por un único dios sol, el Atón?","Akenatón (Amenhotep IV) — estableció un culto monoteísta al Atón alrededor de 1350 a.C."
"¿Cuál era el significado del símbolo ankh?","El ankh representaba la vida eterna; los dioses eran frecuentemente representados sosteniéndolo, y era uno de los símbolos más importantes de la cultura egipcia"
"¿Quién era Sobek y por qué era adorado?","Un dios con cabeza de cocodrilo del Nilo, proezas militares y fertilidad — los egipcios mantenían cocodrilos sagrados en templos dedicados a él"
