"front","back"
"O que significa a sigla SQL?","Structured Query Language (Linguagem de Consulta Estruturada)"
"Qual comando SQL é usado para recuperar dados de uma tabela?","SELECT"
"Qual comando SQL é usado para inserir novas linhas em uma tabela?","INSERT INTO"
"Qual comando SQL é usado para modificar linhas existentes em uma tabela?","UPDATE"
"Qual comando SQL é usado para remover linhas de uma tabela?","DELETE"
"Qual comando SQL cria uma nova tabela?","CREATE TABLE"
"Qual comando SQL remove uma tabela inteira e seus dados?","DROP TABLE"
"Qual cláusula filtra as linhas retornadas por uma consulta SELECT?","WHERE"
"Qual cláusula agrupa linhas com propriedades em comum em uma consulta SELECT?","GROUP BY"
"Qual cláusula filtra os resultados de uma agregação GROUP BY?","HAVING"
"Qual cláusula ordena o conjunto de resultados de uma consulta?","ORDER BY"
"Qual palavra-chave remove linhas duplicadas de um resultado SELECT?","DISTINCT"
"Qual função SQL conta o número de linhas?","COUNT()"
"Qual função SQL retorna o maior valor de uma coluna?","MAX()"
"Qual função SQL retorna o menor valor de uma coluna?","MIN()"
"Qual função SQL retorna a soma de uma coluna numérica?","SUM()"
"Qual função SQL retorna a média de uma coluna numérica?","AVG()"
"Que tipo de JOIN retorna todas as linhas correspondentes de ambas as tabelas?","INNER JOIN"
"Que tipo de JOIN retorna todas as linhas da tabela esquerda mesmo sem correspondência na direita?","LEFT JOIN (LEFT OUTER JOIN)"
"Que tipo de JOIN retorna todas as linhas de ambas as tabelas?","FULL OUTER JOIN"
"O que é uma CHAVE PRIMÁRIA (PRIMARY KEY)?","Uma coluna (ou conjunto de colunas) que identifica exclusivamente cada linha de uma tabela"
"O que é uma CHAVE ESTRANGEIRA (FOREIGN KEY)?","Uma coluna que referencia a PRIMARY KEY de outra tabela, estabelecendo um relacionamento"
"O que é um valor NULL em SQL?","Um marcador que indica que o valor é desconhecido ou está ausente"
"Qual operador verifica valores NULL em SQL?","IS NULL"
"Qual cláusula SQL limita o número de linhas retornadas?","LIMIT (MySQL/PostgreSQL) ou TOP (SQL Server)"
"O que o operador LIKE faz em SQL?","Pesquisa um padrão específico em uma coluna usando caracteres curinga (% e _)"
"O que é uma subconsulta (subquery) em SQL?","Uma consulta aninhada dentro de outra consulta, usada para retornar dados para a consulta externa"
"O que o operador IN faz em SQL?","Testa se um valor corresponde a qualquer valor em uma lista ou subconsulta"
"O que é um ÍNDICE (INDEX) em SQL?","Um objeto do banco de dados que acelera a recuperação de dados em uma coluna de tabela"
"O que a palavra-chave ALIAS AS faz em SQL?","Renomeia uma coluna ou tabela com um nome temporário para uso na consulta"
"O que é uma VIEW em SQL?","Uma tabela virtual baseada no resultado de uma consulta SELECT armazenada"
"O que é uma transação SQL?","Uma sequência de instruções SQL executadas como uma única unidade, garantindo a integridade dos dados"
"O que o comando COMMIT faz em uma transação SQL?","Salva permanentemente todas as alterações feitas durante a transação atual"
"O que o comando ROLLBACK faz em uma transação SQL?","Desfaz todas as alterações feitas durante a transação atual"
