front,back
What was the Cold War?,Ideological conflict between USA and USSR without direct war
When did the Cold War begin?,1947
When did the Cold War end?,1991 with the fall of the Soviet Union
Why was it called the Cold War?,No direct military conflict between superpowers
What were the two opposing ideologies?,Capitalism and communism
Who led the Western bloc?,United States
Who led the Eastern bloc?,Soviet Union
What was the Iron Curtain?,Division between Western and Eastern Europe
Who coined the term Iron Curtain?,Winston Churchill in 1946
What was the Truman Doctrine?,US policy to contain communism
What was containment?,Strategy to prevent spread of communism
What was the Marshall Plan?,US aid program to rebuild Western Europe
When was the Marshall Plan implemented?,1948
What was NATO?,North Atlantic Treaty Organization military alliance
When was NATO formed?,1949
What was the Warsaw Pact?,Soviet military alliance with Eastern Europe
When was the Warsaw Pact formed?,1955
What was the Berlin Blockade?,Soviet attempt to cut off West Berlin
When was the Berlin Blockade?,1948 to 1949
What was the Berlin Airlift?,Western response flying supplies into Berlin
What was the Berlin Wall?,Wall dividing East and West Berlin
When was the Berlin Wall built?,1961
When did the Berlin Wall fall?,1989
What was the Korean War?,Conflict between North and South Korea
When was the Korean War?,1950 to 1953
How did the Korean War end?,Armistice with Korea still divided
What parallel divides Korea?,38th parallel
What was the Vietnam War?,US involvement against communist North Vietnam
When did US involvement in Vietnam peak?,1960s to 1975
How did the Vietnam War end?,Communist victory in 1975
What was the domino theory?,Belief that if one country fell to communism others would follow
What was the Cuban Revolution?,Castro's overthrow of Batista in 1959
Who was Fidel Castro?,Communist leader of Cuba
What was the Bay of Pigs invasion?,Failed US attempt to overthrow Castro in 1961
What was the Cuban Missile Crisis?,Confrontation over Soviet missiles in Cuba
When was the Cuban Missile Crisis?,October 1962
Who was the US president during the crisis?,John F Kennedy
Who was the Soviet leader during the crisis?,Nikita Khrushchev
How close did the world come to nuclear war?,Closest point during the Cuban Missile Crisis
What was MAD?,Mutually Assured Destruction
What did MAD prevent?,Direct nuclear war between superpowers
What was the arms race?,Competition to build more nuclear weapons
What was the space race?,Competition for space exploration supremacy
What was Sputnik?,First artificial satellite launched by USSR
When was Sputnik launched?,1957
Who was the first human in space?,Yuri Gagarin in 1961
Who was the first American in space?,Alan Shepard in 1961
When did humans first land on the Moon?,1969
Who first walked on the Moon?,Neil Armstrong
What was detente?,Period of reduced Cold War tensions
When was detente?,1970s
What were SALT treaties?,Strategic Arms Limitation Talks
What did SALT limit?,Nuclear weapons
What was the Soviet invasion of Afghanistan?,USSR military intervention from 1979 to 1989
How did the US respond to Afghanistan invasion?,Boycotted 1980 Olympics and armed rebels
Who were the Mujahideen?,Afghan fighters against Soviet occupation
Who was Ronald Reagan?,US president who escalated Cold War
What was Reagan's approach?,Military buildup and aggressive rhetoric
What was Star Wars?,Strategic Defense Initiative missile defense
Who was Mikhail Gorbachev?,Last leader of the Soviet Union
What was glasnost?,Policy of openness in the USSR
What was perestroika?,Economic restructuring in the USSR
What happened in Eastern Europe in 1989?,Communist governments collapsed
What was the Solidarity movement?,Polish trade union that challenged communism
Who was Lech Walesa?,Leader of Solidarity movement
What happened to the Soviet Union in 1991?,It dissolved into independent states
What replaced the Soviet Union?,Russian Federation and other republics
What was the KGB?,Soviet intelligence agency
What was the CIA?,US Central Intelligence Agency
What were proxy wars?,Conflicts where superpowers supported opposing sides
What was the Red Scare?,Fear of communist infiltration in the US
What was McCarthyism?,Anti-communist accusations in 1950s America
Who was Joseph McCarthy?,Senator who led anti-communist investigations
What was the House Un-American Activities Committee?,Congressional body investigating communism
What was the Hollywood blacklist?,Banning suspected communists from film industry
What was the Non-Aligned Movement?,Countries not allied with either superpower
Who led the Non-Aligned Movement?,India and Yugoslavia and Egypt
What was the Prague Spring?,1968 reform movement in Czechoslovakia
How did the USSR respond to Prague Spring?,Military invasion
What was the Brezhnev Doctrine?,Soviet right to intervene in socialist countries
What was the Hungarian Revolution?,1956 uprising against Soviet control
How did the USSR respond to Hungary?,Military suppression
What was the Sino-Soviet split?,Division between China and Soviet Union
Who was Mao Zedong?,Communist leader of China
What was the Cultural Revolution?,Mao's radical campaign in China
What was the Helsinki Accords?,1975 agreement on human rights and borders
What was the Reagan Doctrine?,US support for anti-communist movements
What ended the Cold War?,Soviet economic collapse and reform movements
What was the significance of the Cold War?,Shaped global politics for nearly 50 years
