"front","back"
"¿Cuál es el volcán más activo de la Tierra?","Kīlauea en Hawái, EE.UU. — ha estado en erupción casi continuamente desde 1983"
"¿Qué erupción volcánica sepultó la ciudad romana de Pompeya en el 79 d.C.?","El Monte Vesubio, ubicado cerca de Nápoles, Italia"
"¿Qué es el Cinturón de Fuego?","Una zona en forma de herradura de 40.000 km alrededor del Océano Pacífico donde se encuentran aproximadamente el 75% de los volcanes del mundo"
"¿Qué volcán tuvo su erupción de 1883 escuchada a 4.800 km de distancia?","Krakatoa (Krakatau) en Indonesia — uno de los sonidos más fuertes de la historia registrada"
"¿Qué es una caldera volcánica?","Un gran cráter volcánico formado cuando un volcán colapsa en la cámara magmática después de una erupción"
"¿Qué supervolcán se encuentra bajo el Parque Nacional de Yellowstone?","La Caldera de Yellowstone, con su última gran erupción hace unos 640.000 años"
"¿Qué tipo de volcán es el Monte Fuji?","Un estratovolcán (volcán compuesto) — el pico más alto de Japón con 3.776 metros"
"¿Qué erupción de 1980 en EE.UU. causó el mayor deslizamiento de tierra registrado?","Monte Santa Elena en el estado de Washington — su cara norte colapsó en una avalancha masiva de escombros"
"¿Cuál es la diferencia entre magma y lava?","El magma es roca fundida debajo de la superficie terrestre; la lava es magma que ha llegado a la superficie"
"¿Qué isla volcánica emergió del mar cerca de Islandia en 1963?","Surtsey — se formó durante una erupción que duró hasta 1967 y ahora es Patrimonio de la UNESCO"
"¿Qué es un lahar?","Un flujo de lodo destructivo de escombros volcánicos y agua que desciende por las laderas de un volcán"
"¿Qué volcán es conocido como el 'Faro del Mediterráneo'?","Stromboli, en Italia — ha estado en erupción casi continuamente durante más de 2.000 años"
"¿Qué causó el 'Año sin Verano' en 1816?","La erupción de 1815 del Monte Tambora en Indonesia — la erupción más poderosa de la historia registrada (VEI 7)"
"¿Qué significa VEI en vulcanología?","Índice de Explosividad Volcánica — una escala de 0 a 8 que mide el poder explosivo de las erupciones"
"¿Qué volcán africano es la montaña independiente más alta del mundo?","El Monte Kilimanjaro en Tanzania (5.895 m) — un estratovolcán inactivo con tres conos"
"¿Qué es un volcán en escudo?","Un volcán amplio y de pendiente suave construido por flujos de lava fluida — como Mauna Loa en Hawái"
"¿Qué volcán destruyó la civilización minoica alrededor del 1600 a.C.?","La erupción de Thera (Santorini) en Grecia — posiblemente inspirando la leyenda de la Atlántida"
"¿Qué es un flujo piroclástico?","Una corriente rápida de gas caliente, ceniza y fragmentos de roca que desciende por un volcán a hasta 700 km/h"
"¿Qué país tiene más volcanes activos?","Indonesia, con unos 130 volcanes activos a lo largo de su archipiélago"
"¿Cuál es el volcán más grande de nuestro sistema solar?","Olympus Mons en Marte — aproximadamente 21,9 km de alto y 600 km de diámetro"
"¿Qué es un punto caliente volcánico?","Un lugar donde el magma asciende desde las profundidades del manto terrestre, independiente de los límites de placas tectónicas (ej.: Hawái)"
"¿Qué volcán islandés interrumpió el tráfico aéreo europeo en 2010?","Eyjafjallajökull — su nube de ceniza suspendió vuelos por toda Europa durante semanas"
"¿Cuáles son los tres tipos principales de volcanes?","Volcanes en escudo, estratovolcanes (compuestos) y conos de escoria"
"¿Qué es la toba volcánica?","Un tipo de roca formada a partir de ceniza volcánica consolidada y otros materiales piroclásticos"
"¿Qué volcán en Filipinas hizo erupción catastróficamente en 1991?","El Monte Pinatubo — redujo las temperaturas globales en aproximadamente 0,5°C durante dos años"
"¿Qué es una fumarola?","Una abertura en la superficie terrestre que emite vapor y gases volcánicos"
"¿Cuál es el cuerpo más volcánicamente activo de nuestro sistema solar?","Ío, luna de Júpiter, con más de 400 volcanes activos"
"¿Qué volcán en Ecuador tiene el récord del punto más lejano del centro de la Tierra?","Chimborazo (6.263 m) — debido al abultamiento ecuatorial, su cumbre está más lejos del centro de la Tierra que el Everest"
"¿Qué es la obsidiana?","Un vidrio volcánico natural formado cuando la lava se enfría muy rápidamente con mínimo crecimiento de cristales"
"¿Qué es un maar?","Un cráter volcánico amplio y poco profundo formado por una erupción freatomagmática (magma encontrando agua subterránea)"
