"front","back"
"What is Python?","A high-level, interpreted, general-purpose programming language known for its readability and simplicity"
"What does 'print()' do in Python?","Outputs (displays) the specified value or message to the console"
"How do you declare a variable in Python?","Simply assign a value: x = 10 (no type declaration needed)"
"What are Python's basic data types?","int, float, str, bool, list, tuple, dict, set"
"What is a list in Python?","An ordered, mutable collection of items: e.g., my_list = [1, 2, 3]"
"What is a tuple in Python?","An ordered, immutable collection of items: e.g., my_tuple = (1, 2, 3)"
"What is a dictionary in Python?","An unordered collection of key-value pairs: e.g., {'name': 'Alice', 'age': 30}"
"What is a set in Python?","An unordered collection of unique elements: e.g., my_set = {1, 2, 3}"
"How do you write a comment in Python?","Using the # symbol: # This is a comment"
"What is a Python function and how is it defined?","A reusable block of code defined with the 'def' keyword: def my_func(): ..."
"What does the 'len()' function do?","Returns the number of items in an object (string, list, etc.)"
"What is an f-string in Python?","A formatted string literal using f'...' syntax that allows embedding expressions: f'Hello {name}'"
"What does 'range()' do?","Generates a sequence of numbers, e.g., range(5) produces 0, 1, 2, 3, 4"
"How do you write a for loop in Python?","for item in iterable: (e.g., for i in range(5): print(i))"
"How do you write a while loop in Python?","while condition: (e.g., while x > 0: x -= 1)"
"What is the difference between '==' and 'is' in Python?","'==' checks value equality; 'is' checks object identity (same memory address)"
"What are Python list comprehensions?","A concise way to create lists: [expression for item in iterable if condition]"
"What does 'import' do in Python?","Loads a module or library so its functions and classes can be used"
"What is 'None' in Python?","Python's null value representing the absence of a value"
"What is exception handling in Python?","Using try/except blocks to catch and handle runtime errors gracefully"
"What does 'append()' do to a list?","Adds a single item to the end of the list: my_list.append(4)"
"What does 'split()' do on a string?","Splits a string into a list of substrings based on a delimiter: 'a,b,c'.split(',') → ['a','b','c']"
"What is the purpose of '__init__' in a class?","It's the constructor method, automatically called when a new instance of the class is created"
"What is inheritance in Python?","A class (child) can inherit attributes and methods from another class (parent): class Dog(Animal):"
"What does the 'return' statement do?","Exits a function and sends a value back to the caller"
"What is a lambda function in Python?","An anonymous, single-line function: lambda x: x * 2"
"What does 'sorted()' do?","Returns a new sorted list from the items of any iterable"
"What is a Python module?","A file containing Python code (functions, classes, variables) that can be imported and reused"
"What is the difference between 'break' and 'continue' in loops?","'break' exits the loop entirely; 'continue' skips the rest of the current iteration and moves to the next"
"What does 'isinstance()' do?","Checks if an object is an instance of a specified class: isinstance(5, int) → True"
