"front","back"
"Quais são os ingredientes principais de uma Margarita clássica?","Tequila, suco de limão e triple sec (licor de laranja), geralmente servida com sal na borda do copo"
"Qual coquetel é feito com vodka, licor de café e café expresso?","Espresso Martini"
"Qual coquetel foi inventado no Harry's New York Bar em Paris em 1921?","Sidecar - feito com conhaque, triple sec e suco de limão"
"Qual é a bebida base de um Mojito?","Rum branco"
"Quais são os cinco ingredientes de um Mojito tradicional?","Rum branco, suco de limão, açúcar, água com gás e folhas de hortelã fresca"
"Qual coquetel é feito com bourbon, açúcar, bitters e casca de laranja?","Old Fashioned"
"Qual coquetel foi supostamente criado para promover o Moscow Mule?","O Mule foi criado para promover vodka na América, servido em uma distintiva caneca de cobre"
"Quais são os três ingredientes de um Moscow Mule?","Vodka, cerveja de gengibre e suco de limão"
"Qual coquetel recebeu o nome de um conde italiano?","Negroni - batizado em homenagem ao Conde Camillo Negroni"
"Quais são os três ingredientes em partes iguais de um Negroni?","Gin, vermute doce e Campari"
"Qual coquetel foi inventado no Raffles Hotel em Singapura?","Singapore Sling"
"Qual é a bebida principal de um Daiquiri?","Rum branco"
"Qual coquetel era supostamente favorito do autor Ernest Hemingway?","O Mojito e o Daiquiri eram favoritos nos bares La Bodeguita e El Floridita em Havana"
"Qual é a bebida base de um coquetel Manhattan?","Whisky de centeio (ou bourbon)"
"Qual coquetel é feito com whisky, vermute doce e Angostura bitters?","Manhattan"
"O que um Martini tradicionalmente contém?","Gin e vermute seco, decorado com uma azeitona ou torção de limão"
"Qual coquetel é feito com tequila, suco de laranja e grenadine?","Tequila Sunrise - batizado pela cor gradiente que lembra um nascer do sol"
"Qual coquetel cubano foi batizado em homenagem a uma praia perto de Santiago de Cuba?","Daiquiri - batizado em homenagem à praia Daiquirí"
"O que é um 'Spritz' ou 'Aperol Spritz'?","Um coquetel feito com prosecco, Aperol e água com gás, popular como aperitivo italiano"
"Qual coquetel combina vodka, suco de tomate e várias especiarias?","Bloody Mary"
"Quais são os temperos e guarnições típicos de um Bloody Mary?","Sal de aipo, pimenta, molho inglês, molho picante, limão e talo de aipo como guarnição"
"Qual é a origem da Piña Colada?","Criada em Porto Rico, seu nome significa 'abacaxi coado' em espanhol"
"Quais são os três ingredientes principais de uma Piña Colada?","Rum branco, creme de coco e suco de abacaxi"
"Qual coquetel foi batizado em homenagem a um herói folclórico escocês?","Rob Roy - batizado em homenagem ao fora-da-lei escocês, é um Manhattan feito com whisky escocês"
"Qual é a diferença entre um Cosmopolitan e um Kamikaze?","O Cosmopolitan adiciona suco de cranberry e usa vodka cítrica, dando sua cor rosa"
"Quais são os ingredientes de um Cosmopolitan?","Vodka cítrica, triple sec, suco de cranberry e suco de limão fresco"
"Qual coquetel de whisky recebeu o nome de um bairro de Nova York?","Manhattan - batizado em homenagem ao bairro de Manhattan"
"O que é um coquetel 'Highball'?","Uma família de drinks usando um destilado com uma proporção maior de mixer não alcoólico, servido em copo alto"
"Qual coquetel é feito com rum escuro, suco de limão e cerveja de gengibre?","Dark 'n' Stormy - um coquetel com marca registrada de Bermuda"
"Qual licor francês dá ao Sidecar seu sabor de laranja?","Triple sec ou Cointreau (licor de laranja)"
"Qual é o coquetel italiano tradicionalmente servido antes do jantar como estimulante de apetite?","Coquetéis aperitivos como Negroni, Aperol Spritz ou Campari Soda"
