"front","back"
"Hello","Olá"
"Good morning","Bom dia"
"Good afternoon","Boa tarde"
"Good evening","Boa noite"
"Goodbye","Tchau"
"See you later","Até logo"
"Please","Por favor"
"Thank you","Obrigado / Obrigada"
"You're welcome","De nada"
"Excuse me","Com licença"
"I'm sorry","Desculpe"
"Yes","Sim"
"No","Não"
"How are you?","Como você está?"
"I'm fine","Estou bem"
"What is your name?","Qual é o seu nome?"
"My name is...","Meu nome é..."
"Nice to meet you","Prazer em conhecê-lo"
"Do you speak English?","Você fala inglês?"
"I don't speak Portuguese","Não falo português"
"I don't understand","Não entendo"
"Can you repeat please?","Pode repetir por favor?"
"Can you speak slower?","Pode falar mais devagar?"
"How do you say this in Portuguese?","Como se diz isso em português?"
"Where is the bathroom?","Onde fica o banheiro?"
"Where is the hotel?","Onde fica o hotel?"
"Where is the airport?","Onde fica o aeroporto?"
"Where is the bus station?","Onde fica a rodoviária?"
"Where is the train station?","Onde fica a estação de trem?"
"Where is the subway?","Onde fica o metrô?"
"How do I get to...?","Como chego a...?"
"Is it far?","É longe?"
"Is it close?","É perto?"
"Turn left","Vire à esquerda"
"Turn right","Vire à direita"
"Go straight","Siga em frente"
"I need a taxi","Preciso de um táxi"
"How much does it cost?","Quanto custa?"
"That's too expensive","Está muito caro"
"Can you give me a discount?","Pode me dar um desconto?"
"I would like to buy this","Gostaria de comprar isso"
"Do you accept credit card?","Aceita cartão de crédito?"
"Where can I exchange money?","Onde posso trocar dinheiro?"
"I need help","Preciso de ajuda"
"Can you help me?","Pode me ajudar?"
"I'm lost","Estou perdido / Estou perdida"
"I have a reservation","Tenho uma reserva"
"I would like a room","Gostaria de um quarto"
"For one night","Por uma noite"
"For two nights","Por duas noites"
"What time is check-out?","Que horas é o check-out?"
"Is breakfast included?","O café da manhã está incluído?"
"The air conditioning doesn't work","O ar condicionado não funciona"
"I need more towels","Preciso de mais toalhas"
"A table for two please","Uma mesa para dois por favor"
"Can I see the menu?","Posso ver o cardápio?"
"I would like to order","Gostaria de pedir"
"What do you recommend?","O que você recomenda?"
"I am vegetarian","Sou vegetariano / Sou vegetariana"
"I have an allergy","Tenho alergia"
"The check please","A conta por favor"
"Is the tip included?","A gorjeta está incluída?"
"It was delicious","Estava delicioso"
"Water","Água"
"Beer","Cerveja"
"Wine","Vinho"
"Coffee","Café"
"Tea","Chá"
"Juice","Suco"
"Bread","Pão"
"Rice","Arroz"
"Beans","Feijão"
"Meat","Carne"
"Chicken","Frango"
"Fish","Peixe"
"I need a doctor","Preciso de um médico"
"I need medicine","Preciso de remédio"
"Where is the hospital?","Onde fica o hospital?"
"Where is the pharmacy?","Onde fica a farmácia?"
"I feel sick","Estou me sentindo mal"
"It hurts here","Dói aqui"
"Call the police","Chame a polícia"
"It's an emergency","É uma emergência"
"I lost my passport","Perdi meu passaporte"
"I lost my wallet","Perdi minha carteira"
"What time is it?","Que horas são?"
"Today","Hoje"
"Tomorrow","Amanhã"
"Yesterday","Ontem"
"Now","Agora"
"Later","Mais tarde"
"One ticket please","Uma passagem por favor"
"Round trip","Ida e volta"
"One way","Só ida"
"What time does it leave?","Que horas sai?"
"What time does it arrive?","Que horas chega?"
"Is this seat taken?","Este lugar está ocupado?"
"Where can I find a supermarket?","Onde posso encontrar um supermercado?"
"Where is the beach?","Onde fica a praia?"
"Can I take a photo?","Posso tirar uma foto?"
"Have a nice day","Tenha um bom dia"
