"front","back"
"Who was the king of the Egyptian gods and god of the sun?","Ra (also known as Re) — he traveled through the underworld at night and was reborn each morning"
"Which Egyptian god had the head of a jackal and was the god of mummification?","Anubis — he guided souls to the afterlife and oversaw the embalming process"
"What was the name of the Egyptian underworld where souls were judged?","Duat — the realm through which Ra traveled at night and where Osiris ruled as king of the dead"
"Which goddess was known as the mother of all pharaohs and had a throne-shaped headdress?","Isis — goddess of magic, healing, and motherhood, wife of Osiris"
"What happened during the 'Weighing of the Heart' ceremony?","The deceased's heart was weighed against the feather of Ma'at (truth); if lighter, they entered the afterlife; if heavier, it was devoured by Ammit"
"Which Egyptian god was murdered by his brother Set and became ruler of the underworld?","Osiris — god of the afterlife, resurrection, and fertility"
"What creature had the body of a lion and the head of a human and guarded the pyramids of Giza?","The Great Sphinx — believed to represent Pharaoh Khafre"
"Which Egyptian god had the head of an ibis and was the god of writing and wisdom?","Thoth — inventor of hieroglyphics and patron of scribes"
"Who was the Egyptian goddess of cats, protection, and fertility?","Bastet — originally depicted as a fierce lioness, later as a domestic cat"
"Which god was depicted with the head of a falcon and was the god of the sky?","Horus — son of Isis and Osiris, protector of the pharaoh"
"What was the sacred beetle that symbolized rebirth and the rising sun?","The scarab (Khepri) — Egyptians believed the scarab beetle rolled the sun across the sky"
"Who was the Egyptian god of chaos, storms, and the desert?","Set (Seth) — he murdered his brother Osiris and battled Horus for the throne"
"What is the Book of the Dead?","A collection of spells and instructions placed in tombs to help the deceased navigate the afterlife and pass the judgment of Osiris"
"Which goddess had the head of a lioness and was the goddess of war and healing?","Sekhmet — her breath was said to create the desert; she was both feared and revered"
"What were canopic jars used for in Egyptian burial practices?","To store the preserved organs (lungs, liver, stomach, intestines) of the mummified deceased, each protected by one of the Four Sons of Horus"
"Which Egyptian goddess personified truth, justice, and cosmic order?","Ma'at — depicted with an ostrich feather on her head, her feather was used in the Weighing of the Heart"
"Who was the ram-headed god who created humans on his potter's wheel?","Khnum — believed to mold children from clay on his wheel before placing them in their mother's womb"
"What was the Benben stone in Egyptian mythology?","The primordial mound that rose from the waters of chaos (Nun) at the beginning of creation; pyramids are thought to represent it"
"Which goddess was depicted as a cow or woman with cow horns and a sun disk?","Hathor — goddess of love, beauty, music, and joy"
"What was the Eye of Horus and what did it symbolize?","A powerful protective symbol representing healing, restoration, and royal power — Horus lost his eye in battle with Set and Thoth restored it"
"Who was Ammit in Egyptian mythology?","A demon with the head of a crocodile, front of a leopard, and back of a hippopotamus — she devoured the hearts of the unworthy dead"
"Which god was the patron of craftsmen and was said to have created the world through speech?","Ptah — chief god of Memphis, he spoke the world into existence through the power of his heart and tongue"
"What were the Four Sons of Horus?","Imsety (liver), Hapy (lungs), Duamutef (stomach), and Qebehsenuef (intestines) — they protected canopic jars"
"Which Egyptian goddess was depicted as a scorpion and protected mothers and children?","Serqet (Selket) — she also protected the dead and was associated with healing venomous stings"
"What was the Ogdoad in Egyptian mythology?","Eight primordial deities of Hermopolis representing the chaos before creation: Nun/Naunet (water), Heh/Hauhet (infinity), Kek/Kauket (darkness), Amun/Amaunet (hiddenness)"
"Who was the dwarf god that protected households, especially during childbirth?","Bes — a jovial, protective deity depicted as a bearded dwarf; his image adorned homes and amulets"
"What role did the Nile River play in Egyptian mythology?","It was considered a gift from the gods; its annual flooding was attributed to the tears of Isis mourning Osiris, bringing fertility to the land"
"Which pharaoh attempted to replace all Egyptian gods with a single sun god, the Aten?","Akhenaten (Amenhotep IV) — he established a monotheistic worship of the Aten around 1350 BCE"
"What was the significance of the ankh symbol?","The ankh represented eternal life; gods were often depicted holding it, and it was one of the most important symbols in Egyptian culture"
"Who was Sobek and why was he worshipped?","A crocodile-headed god of the Nile, military prowess, and fertility — Egyptians kept sacred crocodiles in temples dedicated to him"
