"front","back"
"Who is the Allfather and ruler of Asgard?","Odin — the one-eyed god of wisdom, war, death, and poetry"
"What is the name of the great tree that connects the nine worlds?","Yggdrasil — the World Tree, an immense ash tree"
"What are the nine worlds in Norse cosmology?","Asgard, Midgard, Jotunheim, Vanaheim, Alfheim, Svartalfheim, Niflheim, Muspelheim, and Helheim"
"Who is Thor?","The god of thunder, son of Odin, wielder of the hammer Mjölnir"
"What is Mjölnir?","Thor's magical hammer, which always returns to his hand after being thrown"
"Who is Loki?","The trickster god, a shape-shifter and Odin's blood brother (in some traditions)"
"What is Ragnarök?","The prophesied end of the world — a great battle leading to the death of many gods and the rebirth of the world"
"Who are the Valkyries?","Female warrior spirits who choose which fallen warriors go to Valhalla"
"What is Valhalla?","Odin's great hall in Asgard, where warriors slain in battle feast and train for Ragnarök"
"What is Bifröst?","The rainbow bridge that connects Midgard (the human world) to Asgard (the realm of the gods)"
"Who is Freya?","The goddess of love, beauty, fertility, war, and death — leader of the Valkyries"
"Who is Heimdall?","The watchman of the gods who guards Bifröst, possessing extraordinary senses"
"What is Midgard?","The realm of humans, located in the middle of the nine worlds"
"Who is Fenrir?","A monstrous wolf, son of Loki, prophesied to swallow Odin during Ragnarök"
"What is Jörmungandr?","The Midgard Serpent — a gigantic sea serpent, child of Loki, who encircles the world"
"Who is Hel?","Loki's daughter who rules over Helheim, the realm of the dishonorable dead"
"What is Jotunheim?","The realm of the giants (Jötnar) in Norse cosmology"
"Who is Tyr?","The god of war and justice, famous for sacrificing his hand to bind Fenrir"
"What is Gungnir?","Odin's magical spear, crafted by dwarves, which never misses its target"
"Who are the Norns?","Three female beings (Urd, Verdandi, and Skuld) who control the destinies of gods and men"
"What sacrifice did Odin make to gain wisdom?","He hung himself on Yggdrasil for nine days and nights, pierced by his own spear, to learn the runes"
"Why does Odin have only one eye?","He sacrificed it at Mimir's Well in exchange for a drink that granted cosmic wisdom"
"Who is Balder?","The god of light, beauty, and purity — son of Odin, whose death triggers the events of Ragnarök"
"What killed Balder?","A mistletoe dart, the only thing in the world that hadn't sworn not to harm him, thrown by blind Hödr at Loki's direction"
"Who is Freyr?","The god of fertility, prosperity, sunshine, and fair weather — twin brother of Freya"
"What is Niflheim?","The primordial realm of ice, cold, and mist — one of the two original worlds"
"What is Muspelheim?","The primordial realm of fire, home of the fire giant Surtr"
"Who is Surtr?","A fire giant who wields a flaming sword and is destined to set the world ablaze during Ragnarök"
"What are the Einherjar?","The souls of fallen warriors who reside in Valhalla, training daily for Ragnarök"
"What are Huginn and Muninn?","Odin's two ravens — Thought and Memory — who fly across the world and report back to him"
"What is Draupnir?","Odin's magical gold ring that produces eight new rings every ninth night"
"Who created the first humans, Ask and Embla?","Odin and his brothers Vili and Vé, who fashioned them from two tree trunks"
"What is Sleipnir?","Odin's eight-legged horse, the fastest of all horses, offspring of Loki"
"Who is Skadi?","A giantess and goddess associated with skiing, winter, and mountains"
"What is Fólkvangr?","Freya's afterlife realm, where she receives half of those who die in battle"
