"front","back"
"O que foi a Idade Média?","Período entre a antiguidade e os tempos modernos na Europa"
"Quando foi a Idade Média?","Aproximadamente de 500 a 1500 d.C."
"Que evento iniciou a Idade Média?","Queda do Império Romano Ocidental em 476 d.C."
"Que evento encerrou a Idade Média?","Queda de Constantinopla ou início do Renascimento"
"Qual é outro nome para a Idade Média?","Período medieval"
"O que era o feudalismo?","Sistema social baseado em propriedade de terra e lealdade"
"Quem estava no topo do sistema feudal?","Reis e monarcas"
"O que era um feudo?","Terra concedida por um senhor a um vassalo"
"Quem eram os vassalos?","Pessoas que recebiam terra em troca de serviço"
"Quem eram os servos?","Camponeses presos a trabalhar a terra"
"O que era um feudo senhorial?","Propriedade autossuficiente pertencente a um senhor"
"O que era o sistema senhorial?","Sistema econômico centrado no feudo senhorial"
"Quais eram os três estados?","Clero, nobreza e camponeses"
"Quem eram os cavaleiros?","Guerreiros montados que serviam senhores"
"O que era a cavalaria?","Código de conduta para cavaleiros"
"O que era um castelo?","Residência fortificada de um senhor"
"O que era um fosso?","Vala cheia de água ao redor de um castelo"
"O que era uma ponte levadiça?","Ponte que podia ser levantada para defesa"
"O que era a torre de menagem?","A torre mais forte de um castelo"
"O que foram as Cruzadas?","Guerras religiosas para capturar a Terra Santa"
"Quantas Cruzadas principais houve?","Nove Cruzadas principais"
"Quando foi a Primeira Cruzada?","1096 a 1099"
"Quem convocou a Primeira Cruzada?","Papa Urbano II"
"Que cidade os Cruzados capturaram em 1099?","Jerusalém"
"Quais foram os efeitos das Cruzadas?","Aumento do comércio e intercâmbio cultural"
"Quem eram os Cavaleiros Templários?","Ordem religiosa militar das Cruzadas"
"Qual era o papel da Igreja Católica?","Instituição religiosa e política dominante"
"Quem era o chefe da Igreja Católica?","O Papa"
"O que era excomunhão?","Ser expulso da Igreja"
"O que foi o Grande Cisma de 1054?","Divisão entre Igreja Católica Romana e Ortodoxa Oriental"
"O que foi a Querela das Investiduras?","Conflito sobre quem nomeia autoridades da Igreja"
"Quem foi Carlos Magno?","Rei franco coroado Sacro Imperador Romano"
"Quando Carlos Magno foi coroado imperador?","800 d.C."
"O que era o Sacro Império Romano?","Império medieval na Europa Central"
"Quem eram os vikings?","Invasores e comerciantes escandinavos"
"De onde vieram os vikings?","Noruega, Suécia e Dinamarca"
"Como eram chamados os navios vikings?","Drácares"
"Quem foi Leif Erikson?","Explorador viking que chegou à América do Norte"
"O que foi a Conquista Normanda?","Invasão de Guilherme da Normandia à Inglaterra"
"Quando foi a Batalha de Hastings?","1066"
"Quem foi Guilherme, o Conquistador?","Duque normando que se tornou Rei da Inglaterra"
"O que foi o Domesday Book?","Levantamento de terras inglesas ordenado por Guilherme"
"O que foi a Magna Carta?","Carta limitando o poder do rei"
"Quando a Magna Carta foi assinada?","1215"
"Quem assinou a Magna Carta?","Rei João da Inglaterra"
"Que princípio a Magna Carta estabeleceu?","O estado de direito se aplica a todos"
"O que era o Parlamento?","Assembleia representativa na Inglaterra"
"O que foi a Guerra dos Cem Anos?","Conflito entre Inglaterra e França"
"Quando foi a Guerra dos Cem Anos?","1337 a 1453"
"Quem foi Joana d'Arc?","Heroína francesa que lutou contra os ingleses"
"O que aconteceu com Joana d'Arc?","Queimada na fogueira por heresia"
"O que foi a Peste Negra?","Praga devastadora que matou milhões"
"Quando a Peste Negra chegou à Europa?","1347"
"O que causou a Peste Negra?","Bactéria espalhada por pulgas em ratos"
"Quanto da população europeia morreu?","Cerca de um terço"
"Quais foram os efeitos da Peste Negra?","Escassez de mão de obra e convulsão social"
"O que foi a Revolta dos Camponeses?","Levante inglês contra a servidão em 1381"
"O que eram as guildas?","Associações de artesãos ou comerciantes"
"O que as guildas controlavam?","Treinamento, qualidade e preços"
"O que era um aprendiz?","Jovem aprendendo um ofício"
"O que era um oficial?","Artesão treinado trabalhando para um mestre"
"O que era um mestre artesão?","Especialista que podia ter uma oficina"
"Como eram as cidades medievais?","Superlotadas e insalubres, mas centros de comércio"
"O que era uma catedral?","Grande igreja importante"
"Que estilo tinham as catedrais medievais?","Arquitetura gótica"
"O que são arcobotantes?","Suportes externos para paredes de catedrais"
"Para que serviam os vitrais?","Ensinar histórias bíblicas a pessoas analfabetas"
"Quem foi Tomás de Aquino?","Filósofo medieval que uniu fé e razão"
"O que eram universidades?","Instituições de ensino superior"
"O que era a escolástica?","Tradição acadêmica medieval usando lógica"
"Que língua os estudiosos usavam?","Latim"
"O que era o vernáculo?","Línguas locais do dia a dia"
"Quem escreveu A Divina Comédia?","Dante Alighieri"
"Quem escreveu Os Contos de Cantuária?","Geoffrey Chaucer"
"O que era um mosteiro?","Comunidade religiosa de monges"
"O que era um convento?","Comunidade religiosa de freiras"
"O que os monges preservaram?","Textos clássicos e conhecimento"
"O que era o Império Bizantino?","Império Romano Oriental centrado em Constantinopla"
"O que era Constantinopla?","Capital do Império Bizantino"
"Quando Constantinopla caiu?","1453 para os turcos otomanos"
"O que foi a Reconquista?","Reconquista cristã da Espanha dos muçulmanos"
"Quando a Reconquista terminou?","1492 com a queda de Granada"
"O que era Al-Andalus?","Território governado por muçulmanos na Espanha"
"Que contribuições vieram da Espanha Islâmica?","Avanços em ciência, medicina e filosofia"
"Quem eram os mouros?","Muçulmanos que governaram partes da Espanha"
"O que foi a Inquisição?","Tribunal da Igreja para identificar hereges"
"Que invenções se espalharam na Idade Média?","Imprensa, pólvora e bússola"
"Quem inventou a imprensa?","Johannes Gutenberg"
"Quando a imprensa foi inventada?","Por volta de 1440"
"O que a imprensa possibilitou?","Produção em massa de livros e disseminação de ideias"
